o,c,h,l,v,t
118.065,119.24,119.52,117.64,136905,1657720800000
119.31,118.46,119.7,118.38,125890,1657724400000
118.48,119.23,119.28,118.48,105670,1657728000000
119.23,119.09,119.48,118.92,92373,1657731600000
119.08,119.275,119.28,118.405,91095,1657735200000
119.27,118.58,119.27,118.2,360422,1657738800000
115.08,114.14,115.12,113.02,246687,1657807200000
114.18,115.11,115.41,113.935,118729,1657810800000
115.2,114.76,115.35,114.53,71612,1657814400000
114.59,114.84,115.18,114.51,79420,1657818000000
114.83,115.53,115.73,114.77,176235,1657821600000
115.46,115.88,115.95,115.37,318836,1657825200000
116.7,118.18,118.5,116.7,146387,1657893600000
118.14,118.41,118.88,118.12,85192,1657897200000
118.45,118.36,118.62,118.24,73403,1657900800000
118.38,118.37,118.815,118.295,71206,1657904400000
118.36,118.06,118.39,118.057,58266,1657908000000
117.965,118.73,118.83,117.965,234028,1657911600000
118.33,117.69,118.65,117.66,88597,1658152800000
117.63,117.74,117.86,117.45,64935,1658156400000
117.74,117.015,118.025,116.93,89379,1658160000000
117.02,116.44,117.45,116.35,92191,1658163600000
116.41,115.49,116.5,115.44,129417,1658167200000
115.48,115.08,115.74,114.46,386413,1658170800000
117.5,117.7,118.02,116.88,141134,1658239200000
117.73,117.93,118.03,117.61,122590,1658242800000
117.94,118.035,118.2146,117.65,100020,1658246400000
118.05,118.24,118.25,117.61,123325,1658250000000
118.33,118.92,119.19,118.33,96021,1658253600000
118.92,118.94,119.34,118.74,327259,1658257200000
119.65,120.64,121.21,119.61,133961,1658325600000
120.63,120.35,120.7182,120.12,147462,1658329200000
120.36,119.77,120.455,119.26,134800,1658332800000
119.77,119.605,120.115,119.25,117923,1658336400000
119.67,119.785,120.16,119.61,89609,1658340000000
119.81,119.85,120.56,119.81,318651,1658343600000
126.46,126.21,127.34,125.68,290797,1658412000000
126.17,126.65,127.23,126.15,200363,1658415600000
126.6,126.57,127.01,126.55,86928,1658419200000
126.61,126.64,127.12,126.54,108520,1658422800000
126.68,126.585,126.79,126.3,103500,1658426400000
126.57,127.17,127.22,126.57,412497,1658430000000
126.41,126.19,126.68,125.37,157775,1658498400000
126.24,125.575,126.32,125.22,107667,1658502000000
125.585,125.17,125.75,124.98,123693,1658505600000
125.1746,124.64,125.24,124.31,91595,1658509200000
124.53,124.77,124.92,124.32,87713,1658512800000
124.72,125.06,125.065,124.48,213899,1658516400000
125.12,123.94,125.34,123.79,120298,1658757600000
123.895,124.33,124.42,123.72,78093,1658761200000
124.34,124.37,124.55,123.87,71347,1658764800000
124.32,124.13,124.51,124.09,58862,1658768400000
124.1,123.46,124.18,123.44,120095,1658772000000
123.48,124.21,124.33,123.19,255362,1658775600000
124.1,123.795,124.34,123.465,68601,1658844000000
123.8,123.37,124.07,123.37,72235,1658847600000
123.42,125.12,125.15,123.42,229261,1658851200000
125.12,125.37,125.4011,124.83,124477,1658854800000
125.33,125.13,125.63,125.02,189250,1658858400000
125.14,125.18,125.44,124.955,268052,1658862000000
126.4,125.83,126.59,125.66,101719,1658930400000
125.87,125.52,125.965,125.52,70447,1658934000000
125.52,126.31,126.43,125.36,140647,1658937600000
126.35,126.52,126.62,126.16,71174,1658941200000
126.61,127.43,127.68,125.95,134622,1658944800000
127.51,127.68,128.33,127.5,310349,1658948400000
127.49,130.12,130.265,127.48,194506,1659016800000
130.09,130.58,131.44,130.0549,225637,1659020400000
130.61,130.63,131.155,130.38,307577,1659024000000
