o,c,h,l,v,t
42.0922,42.7,42.79,41.38,722563,1657720800000
42.71,42.64,43.41,42.58,703554,1657724400000
42.66,43.18,43.29,42.42,364175,1657728000000
43.17,43.32,43.39,42.86,274856,1657731600000
43.32,43.45,43.5299,42.95,388548,1657735200000
43.46,43.14,43.505,43.12,567681,1657738800000
40.68,40.23,40.78,39.88,692099,1657807200000
40.25,40.745,40.9399,40.1613,692920,1657810800000
40.75,40.29,40.8,40.16,592419,1657814400000
40.29,40.65,40.69,40.16,335307,1657818000000
40.66,40.61,40.78,40.471,436182,1657821600000
40.63,40.8,40.87,40.4801,892577,1657825200000
40.91,42.05,42.31,40.82,889926,1657893600000
42.06,42.255,42.47,42.05,527534,1657897200000
42.2699,42.28,42.34,42.03,372790,1657900800000
42.285,42.31,42.5,42.24,401053,1657904400000
42.31,42.53,42.69,42.3,341303,1657908000000
42.52,43.06,43.06,42.465,1127159.0,1657911600000
44.12,44.14,44.5911,43.79,994703,1658152800000
44.15,44.0594,44.22,43.84,531105,1658156400000
44.06,43.8,44.12,43.77,553321,1658160000000
43.7941,43.4,44.19,43.4,563613,1658163600000
43.39,43.51,43.83,43.25,577965,1658167200000
43.5,43.42,43.65,43.085,965123,1658170800000
43.7599,44.17,44.59,43.63,707083,1658239200000
44.18,44.54,44.62,44.16,535292,1658242800000
44.55,44.605,44.91,44.3816,491698,1658246400000
44.6,44.24,44.72,44.2,546430,1658250000000
44.25,44.46,44.65,44.25,397914,1658253600000
44.48,44.89,44.92,44.405,1155996.0,1658257200000
44.345,44.61,44.75,43.98,778901,1658325600000
44.61,44.36,44.68,44.2,637398,1658329200000
44.365,44.15,44.42,43.86,513134,1658332800000
44.105,43.62,44.14,43.6,500223,1658336400000
43.605,44.16,44.29,43.605,659709,1658340000000
44.15,45.1,45.25,44.03,2012496.0,1658343600000
45.69,44.4102,45.98,43.75,3400884.0,1658412000000
44.4,43.93,44.75,43.46,1702938.0,1658415600000
43.91,44.57,44.64,43.81,963272,1658419200000
44.57,44.115,44.57,43.83,660025,1658422800000
44.13,43.975,44.315,43.78,716883,1658426400000
43.975,45.2,45.27,43.9,1952077.0,1658430000000
47.22,48.195,48.3627,46.84,1711874.0,1658498400000
48.195,46.7999,48.235,46.76,1625360.0,1658502000000
46.78,46.73,46.99,46.585,809089,1658505600000
46.73,45.87,46.73,45.6901,809421,1658509200000
45.87,45.56,45.88,45.47,859390,1658512800000
45.55,45.82,46.33,45.47,2044380.0,1658516400000
46.8,46.36,47.33,46.31,1164814.0,1658757600000
46.36,47.18,47.48,46.2,854234,1658761200000
47.185,46.7513,47.255,46.6342,680031,1658764800000
46.74,46.47,46.96,46.39,660376,1658768400000
46.48,46.56,46.72,46.48,506382,1658772000000
46.56,46.78,46.9,46.41,1420058.0,1658775600000
47.54,47.05,47.565,46.55,1290077.0,1658844000000
47.06,46.55,47.17,46.16,731126,1658847600000
46.531,46.8498,46.87,46.5,436685,1658851200000
46.84,46.98,47.255,46.78,400784,1658854800000
46.98,46.74,47.15,46.65,295193,1658858400000
46.7499,46.99,47.12,46.58,903455,1658862000000
46.135,46.8342,46.99,45.89,562604,1658930400000
46.86,46.81,47.03,46.67,459318,1658934000000
46.79,46.64,46.9,46.5634,307405,1658937600000
46.65,46.785,46.9,46.32,469593,1658941200000
46.79,47.0301,47.22,46.19,801851,1658944800000
47.05,47.72,47.96,47.03,1163269.0,1658948400000
47.64,47.3,48.035,46.63,687134,1659016800000
47.295,47.68,48.165,47.05,519837,1659020400000
47.6999,48.48,48.51,47.662,694911,1659024000000
48.47,48.97,49.02,48.41,708133,1659027600000
48.98,48.84,48.98,48.58,480118,1659031200000
48.855,49.05,49.22,48.73,1080160.0,1659034800000
49.735,50.56,50.79,49.5,1095288.0,1659103200000
