o,c,h,l,v,t
14.72,14.83,14.96,14.63,36152,1657720800000
14.85,14.855,14.94,14.72,22754,1657724400000
14.88,14.8,14.915,14.78,13199,1657728000000
14.8,14.84,14.9,14.74,19774,1657731600000
14.83,14.9,14.905,14.77,23158,1657735200000
14.88,14.84,14.905,14.82,48530,1657738800000
14.26,14.06,14.31,13.86,53948,1657807200000
14.03,14.14,14.17,13.91,19081,1657810800000
14.1237,14.11,14.17,14.03,142499,1657814400000
14.1,13.98,14.14,13.98,35071,1657818000000
13.99,13.99,14.16,13.97,93568,1657821600000
14.005,14.1,14.14,13.97,114716,1657825200000
14.4,14.37,14.56,14.365,100418,1657893600000
14.36,14.45,14.5125,14.36,145663,1657897200000
14.48,14.57,14.65,14.44,200929,1657900800000
14.57,14.5801,14.65,14.55,112842,1657904400000
14.58,14.495,14.6,14.49,37156,1657908000000
14.49,14.665,14.67,14.47,459294,1657911600000
15.4744,15.56,15.575,15.31,33735,1658152800000
15.57,15.5,15.64,15.5,51998,1658156400000
15.5,15.39,15.51,15.35,32794,1658160000000
15.42,15.335,15.44,15.32,37032,1658163600000
15.335,15.345,15.41,15.25,56145,1658167200000
15.355,15.36,15.46,15.33,90532,1658170800000
15.72,15.4,15.81,15.351,44470,1658239200000
15.39,15.65,15.77,15.39,46806,1658242800000
15.695,15.625,15.71,15.55,29047,1658246400000
15.63,15.82,15.82,15.51,27843,1658250000000
15.83,15.9,15.94,15.82,25033,1658253600000
15.91,15.87,16,15.85,66565,1658257200000
16.07,16.32,16.32,15.9,22739,1658325600000
16.3,16.41,16.41,16.23,29706,1658329200000
16.41,16.39,16.46,16.31,16299,1658332800000
16.39,16.29,16.42,16.29,11077,1658336400000
16.29,16.51,16.52,16.29,19877,1658340000000
16.51,16.58,16.61,16.39,58138,1658343600000
16.45,16.22,16.49,16.07,22019,1658412000000
16.24,16.3025,16.31,16.125,13377,1658415600000
16.27,16.265,16.32,16.24,5729,1658419200000
16.28,16.12,16.29,16.075,18515,1658422800000
16.135,16.14,16.25,16.12,14911,1658426400000
16.13,16.27,16.28,16.13,42626,1658430000000
16.17,16.23,16.29,16.1,16710,1658498400000
16.24,16.195,16.33,16.18,11016,1658502000000
16.181,15.995,16.19,15.99,30440,1658505600000
15.98,15.8525,15.99,15.72,29602,1658509200000
15.87,15.89,15.97,15.815,20680,1658512800000
15.89,16.05,16.05,15.85,73143,1658516400000
15.885,15.75,15.9,15.58,37293,1658757600000
15.77,15.78,15.81,15.63,28253,1658761200000
15.78,15.8093,15.83,15.68,26062,1658764800000
15.81,15.59,15.825,15.55,37909,1658768400000
15.59,15.55,15.75,15.55,46586,1658772000000
15.55,15.51,15.58,15.41,178048,1658775600000
13.345,13.95,13.98,13.344,207655,1658844000000
13.9562,13.85,14.0135,13.79,105918,1658847600000
13.85,13.755,13.87,13.44,129109,1658851200000
13.77,13.58,13.77,13.46,93289,1658854800000
13.57,13.29,13.62,13.18,217739,1658858400000
13.27,13.14,13.28,12.92,253690,1658862000000
13.35,13.03,13.39,13,120193,1658930400000
13.03,13.03,13.08,12.92,80173,1658934000000
13.03,12.9,13.03,12.864,58145,1658937600000
12.91,12.865,12.92,12.75,95732,1658941200000
12.87,12.685,12.88,12.6301,139359,1658944800000
12.69,12.79,12.88,12.68,204994,1658948400000
12.32,12.041,12.34,11.98,217639,1659016800000
12.03,12.31,12.31,12,114115,1659020400000
12.3108,12.7,12.7,12.255,63060,1659024000000
12.7,12.655,12.735,12.55,106589,1659027600000
12.655,12.83,12.83,12.65,93709,1659031200000
12.82,12.84,13.02,12.8,293128,1659034800000
13.0356,13.19,13.23,13,104586,1659103200000
13.2,13.15,13.27,13.05,41985,1659106800000
13.13,13.1,13.27,13.07,54427,1659110400000
13.09,13.09,13.16,13.06,39100,1659114000000
13.12,13.17,13.2,13.07,42359,1659117600000
13.17,13.02,13.17,12.95,144910,1659121200000
13.02,12.88,13.1,12.75,48394,1659362400000
12.89,13.05,13.07,12.74,39468,1659366000000
13.04,13.1,13.14,13.02,35546,1659369600000
13.11,13.02,13.16,13.01,32058,1659373200000
13.03,13.15,13.15,13.02,34389,1659376800000
13.14,13.04,13.18,13,89483,1659380400000
12.69,12.67,12.75,12.6,38938,1659448800000
12.67,12.61,12.72,12.59,33625,1659452400000
12.6,12.82,12.84,12.575,41738,1659456000000
12.82,12.89,12.9,12.815,64724,1659459600000
12.89,12.965,12.99,12.875,71293,1659463200000
12.97,13,13.04,12.91,148875,1659466800000
13.0783,12.947,13.16,12.92,44449,1659535200000
12.9249,13.121,13.17,12.9249,38542,1659538800000
13.13,13.16,13.16,13.09,27756,1659542400000
13.17,13.17,13.19,13.11,24415,1659546000000
13.16,13.18,13.18,13.095,46970,1659549600000
13.18,13.17,13.3,13.14,128579,1659553200000
13.69,13.56,13.79,13.48,37978,1659621600000
13.5999,13.61,13.725,13.59,21260,1659625200000
13.58,13.38,13.58,13.37,19905,1659628800000
13.387,13.43,13.51,13.387,33618,1659632400000
13.44,13.37,13.45,13.36,23925,1659636000000
13.37,13.33,13.48,13.3,64894,1659639600000
13.29,13.3968,13.49,13.29,23066,1659708000000
13.37,13.29,13.37,13.25,23057,1659711600000
