o,c,h,l,v,t
183.295,182.945,183.55,180.9,112225,1657720800000
182.86,183.87,185.34,182.68,73266,1657724400000
183.94,185.55,185.55,183.71,50103,1657728000000
185.44,185.87,186.445,184.9,52304,1657731600000
185.79,186.105,186.44,184.77,53829,1657735200000
186.13,185.31,186.45,185.255,142014,1657738800000
182.97,183.24,184.22,182.01,90177,1657807200000
183.5,184.425,184.87,183.25,55505,1657810800000
184.52,183.66,184.68,183.28,50459,1657814400000
183.76,184.405,184.63,183.09,49165,1657818000000
184.31,184.53,185.08,184.09,74455,1657821600000
184.46,185.97,186.37,184.39,223737,1657825200000
187.39,189.6,189.6,187.37,77554,1657893600000
189.51,188.325,190,188.15,94963,1657897200000
188.4299,188.345,188.88,188.16,33878,1657900800000
188.58,187.5475,188.75,187.525,58614,1657904400000
187.6,188.4,188.41,187.495,37476,1657908000000
188.32,188.66,189.03,188.09,221156,1657911600000
188.21,188.02,188.62,185.83,190785,1658152800000
188.02,188.08,188.56,187.57,75228,1658156400000
188.01,187.28,188.47,187.1,66781,1658160000000
187.22,186.76,187.4,186.59,73870,1658163600000
186.68,186.2,186.925,185.95,74892,1658167200000
186.07,185.27,186.43,184.89,207838,1658170800000
188.17,188.35,188.895,188.17,67268,1658239200000
188.41,189.6,189.6,188.4,103764,1658242800000
189.48,189.13,189.515,188.62,50641,1658246400000
189.065,190.03,190.13,188.28,87556,1658250000000
189.91,190.03,190.1375,189.6522,48513,1658253600000
190.01,190.5,190.92,189.91,164022,1658257200000
189.24,190.41,190.8,188.29,52294,1658325600000
190.32,189.54,190.7,189.12,50521,1658329200000
189.56,190.35,190.52,189.315,37448,1658332800000
190.225,189.95,190.69,189.49,36451,1658336400000
190.16,191.145,191.47,189.94,43735,1658340000000
191.08,192.66,192.83,191.08,188763,1658343600000
190.47,188.165,190.93,187.24,121539,1658412000000
188.28,187.79,188.45,187.2901,101312,1658415600000
187.69,188.81,189.99,187.61,71834,1658419200000
188.99,187.955,189.2,187.4,52131,1658422800000
187.93,188.175,188.44,187.63,84156,1658426400000
188.24,189.85,190.03,188.24,206249,1658430000000
191.7,191.88,192.24,191.29,51833,1658498400000
191.89,192.56,192.615,191.33,46101,1658502000000
192.59,192.67,193.025,192.18,79120,1658505600000
192.68,192.0186,192.815,191.91,51220,1658509200000
191.99,191.005,191.99,190.885,60381,1658512800000
190.92,191.23,191.63,190.6,144859,1658516400000
190.75,190.65,191.18,189.86,47166,1658757600000
190.59,190.335,191.39,190.19,36407,1658761200000
190.44,190.27,190.6,189.67,37836,1658764800000
190.37,189.6,190.61,189.53,42893,1658768400000
189.54,189.595,189.77,189.21,39386,1658772000000
189.3428,189.55,189.8082,188.79,113032,1658775600000
184.3,185.025,186.39,183.87,78537,1658844000000
185.14,183.17,185.28,183.11,78933,1658847600000
183.11,182.59,183.2,182.58,47366,1658851200000
182.63,183.01,183.17,182.5,42450,1658854800000
183.03,182.67,183.34,182.5,54948,1658858400000
182.62,182.95,183.16,182.5,263498,1658862000000
180.01,182.46,182.54,179.65,93347,1658930400000
182.48,184.76,184.845,182.21,96312,1658934000000
184.92,183.59,185.44,183.425,41066,1658937600000
183.44,183.2,183.96,183.0075,39224,1658941200000
