o,c,h,l,v,t
29.43,29.49,29.55,29.26,11878,1657720800000
29.49,29.51,29.55,29.38,5579,1657724400000
29.51,29.5,29.63,29.5,5382,1657728000000
29.53,29.47,29.62,29.434,4467,1657731600000
29.45,29.4,29.45,29.23,10891,1657735200000
29.38,29.36,29.41,29.29,17050,1657738800000
28.8,28.67,28.85,28.67,8890,1657807200000
28.71,28.86,28.88,28.7,7566,1657810800000
28.87,28.69,28.87,28.64,7068,1657814400000
28.715,28.78,28.81,28.67,9055,1657818000000
28.82,28.85,28.99,28.8,15018,1657821600000
28.86,28.85,28.9,28.75,42275,1657825200000
28.94,29.16,29.22,28.91,16401,1657893600000
29.17,29.345,29.395,29.15,10135,1657897200000
29.36,29.23,29.42,29.23,7148,1657900800000
29.28,29.205,29.3,29.17,14039,1657904400000
29.205,29.26,29.3,29.19,20783,1657908000000
29.265,29.34,29.37,29.21,35914,1657911600000
29.52,29.67,29.67,29.405,10418,1658152800000
29.62,29.6,29.67,29.54,9912,1658156400000
29.6,29.5275,29.63,29.5,24715,1658160000000
29.55,29.5,29.58,29.48,46320,1658163600000
29.49,29.47,29.5354,29.44,24321,1658167200000
29.44,29.53,29.5491,29.4,63806,1658170800000
29.99,29.9743,30.045,29.95,12190,1658239200000
29.9938,29.98,30.015,29.93,15002,1658242800000
29.985,29.995,29.9991,29.89,12285,1658246400000
29.995,30.02,30.04,29.89,33319,1658250000000
30.03,30.055,30.06,29.95,36664,1658253600000
30.055,30.11,30.13,29.9494,63806,1658257200000
30.04,30.46,30.46,29.95,9959,1658325600000
30.45,30.3,30.49,30.21,10762,1658329200000
30.38,30.25,30.39,30.25,8567,1658332800000
30.25,30.105,30.25,30.08,8844,1658336400000
30.1,30.18,30.27,30.07,10818,1658340000000
30.21,30.11,30.31,30.09,70045,1658343600000
29.81,29.44,29.81,29.3,15412,1658412000000
29.49,29.58,29.62,29.475,5268,1658415600000
29.58,29.56,29.629,29.54,4636,1658419200000
29.56,29.47,29.65,29.45,8787,1658422800000
29.51,29.475,29.65,29.45,10309,1658426400000
29.496,29.8,29.8,29.496,33360,1658430000000
29.75,29.9,29.93,29.725,6215,1658498400000
29.9,29.91,30.06,29.84,9527,1658502000000
29.94,29.72,29.95,29.72,20144,1658505600000
29.74,29.56,29.74,29.49,17321,1658509200000
29.56,29.42,29.56,29.35,41983,1658512800000
29.42,29.69,29.69,29.4,43858,1658516400000
30.17,30.04,30.22,29.95,13305,1658757600000
30.09,30.2,30.23,30.06,13018,1658761200000
30.215,30,30.215,30,15272,1658764800000
29.98,29.8909,30.02,29.8909,21775,1658768400000
29.89,29.9154,29.9896,29.81,18005,1658772000000
29.9228,29.96,29.98,29.835,32163,1658775600000
30.11,29.99,30.18,29.96,13916,1658844000000
30,29.81,30,29.81,6983,1658847600000
29.8,29.91,30,29.78,10071,1658851200000
29.85,29.855,29.91,29.8,9580,1658854800000
29.84,29.735,29.865,29.69,68368,1658858400000
29.73,29.7,29.74,29.62,38698,1658862000000
29.7,29.76,29.86,29.61,71181,1658930400000
29.75,29.66,29.78,29.66,35488,1658934000000
29.64,29.525,29.68,29.525,10251,1658937600000
29.52,29.64,29.64,29.46,11994,1658941200000
29.655,29.77,29.87,29.54,22253,1658944800000
29.795,29.83,29.96,29.745,99632,1658948400000
29.98,30.01,30.02,29.89,13237,1659016800000
30.03,30.18,30.27,29.99,13244,1659020400000
30.11,30.17,30.19,30.11,8290,1659024000000
30.14,30.285,30.295,30.01,15714,1659027600000
30.28,30.1986,30.32,30.14,10734,1659031200000
30.15,30.25,30.27,30.12,58346,1659034800000
30.35,30.21,30.47,30.135,9059,1659103200000
30.21,30.27,30.3,30.21,8386,1659106800000
30.24,30.28,30.34,30.2,7553,1659110400000
30.24,30.25,30.28,30.23,5077,1659114000000
30.265,30.34,30.35,30.265,4828,1659117600000
30.34,30.25,30.45,30.23,59747,1659121200000
29.9,30.11,30.11,29.89,23059,1659362400000
30.145,30.12,30.19,30.025,10876,1659366000000
30.125,30.23,30.31,30.09,10819,1659369600000
30.2,30.05,30.2,29.98,64513,1659373200000
30.02,30,30.035,29.9596,32129,1659376800000
30,30.03,30.1,29.99,80136,1659380400000
29.69,29.55,29.81,29.49,16867,1659448800000
29.53,29.59,29.62,29.49,5128,1659452400000
29.615,29.68,29.69,29.58,8830,1659456000000
29.67,29.525,29.69,29.465,21153,1659459600000
29.52,29.61,29.61,29.5,23915,1659463200000
29.64,29.25,29.64,29.17,72894,1659466800000
29.4,29.46,29.54,29.38,13296,1659535200000
29.485,29.5,29.54,29.43,9576,1659538800000
29.53,29.55,29.55,29.425,12119,1659542400000
29.53,29.54,29.55,29.44,12110,1659546000000
29.47,29.3,29.5,29.29,34357,1659549600000
29.249,29.095,29.249,28.95,87184,1659553200000
29.48,29.015,29.48,28.95,30649,1659621600000
29,28.96,29.14,28.96,37025,1659625200000
29,28.95,29.07,28.91,12035,1659628800000
28.96,28.93,29.0111,28.91,13157,1659632400000
28.95,28.91,28.97,28.91,22198,1659636000000
28.91,28.94,28.99,28.845,99670,1659639600000
28.8781,28.8,29,28.75,43747,1659708000000
28.8,28.785,28.81,28.72,76977,1659711600000
28.79,29.01,29.04,28.79,22796,1659715200000
29.01,29.08,29.13,28.9855,15921,1659718800000
29.05,29.05,29.09,29.01,14548,1659722400000
29.06,29.28,29.35,29.04,99583,1659726000000
29.94,29.9,29.96,29.82,17553,1659967200000
29.87,29.71,29.9,29.63,36887,1659970800000
29.7,29.535,29.72,29.515,13276,1659974400000
29.535,29.5855,29.65,29.51,10176,1659978000000
29.575,29.565,29.65,29.515,15218,1659981600000
29.58,29.6,29.76,29.53,49160,1659985200000
29.58,29.5,29.5929,29.42,25693,1660053600000
29.48,29.515,29.62,29.48,9691,1660057200000
29.49,29.47,29.53,29.45,3605,1660060800000
29.485,29.46,29.5,29.405,6735,1660064400000
29.47,29.485,29.485,29.35,6714,1660068000000
29.49,29.58,29.58,29.37,40207,1660071600000
30.105,29.995,30.145,29.945,19008,1660140000000
29.99,29.74,29.99,29.73,50313,1660143600000
29.8,29.75,29.8,29.6901,3748,1660147200000
29.77,29.78,29.845,29.74,19284,1660150800000
29.79,29.78,29.805,29.76,7603,1660154400000
29.8,29.99,30.03,29.79,109787,1660158000000
30.33,30.32,30.45,30.28,20774,1660226400000
30.33,30.395,30.415,30.32,8453,1660230000000
30.38,30.31,30.395,30.31,10547,1660233600000
30.31,30.33,30.33,30.26,8825,1660237200000
30.33,30.31,30.38,30.31,16136,1660240800000
30.31,30.19,30.325,30.04,82796,1660244400000
30.29,30.25,30.34,30.19,11881,1660312800000
30.26,30.32,30.38,30.26,14165,1660316400000
30.31,30.3,30.365,30.29,26575,1660320000000
30.3,30.285,30.35,30.285,19685,1660323600000
30.29,30.33,30.34,30.285,36497,1660327200000
30.325,30.39,30.43,30.31,76725,1660330800000
30.4,30.49,30.51,30.295,12836,1660572000000
30.48,30.5,30.545,30.46,11746,1660575600000
30.505,30.52,30.605,30.485,12082,1660579200000
30.52,30.53,30.6,30.52,8605,1660582800000
30.55,30.68,30.68,30.52,12847,1660586400000
30.68,30.655,30.68,30.57,72188,1660590000000
30.57,30.53,30.57,30.47,9488,1660658400000
30.54,30.45,30.54,30.41,12812,1660662000000
30.5,30.43,30.515,30.42,8827,1660665600000
30.435,30.56,30.63,30.4202,16681,1660669200000
30.56,30.48,30.635,30.44,37790,1660672800000
30.46,30.57,30.57,30.415,56140,1660676400000
29.83,29.8155,29.98,29.74,16787,1660744800000
29.765,29.81,29.85,29.75,13868,1660748400000
29.8,29.88,29.995,29.795,16507,1660752000000
29.845,29.85,29.94,29.825,14670,1660755600000
29.86,29.85,29.97,29.815,22863,1660759200000
29.83,29.83,29.91,29.815,50696,1660762800000
30.02,30.11,30.17,30.02,9584,1660831200000
30.11,30.0701,30.16,30.06,14178,1660834800000
30.11,30.05,30.11,29.94,12854,1660838400000
30.04,29.91,30.075,29.9,18306,1660842000000
29.91,30.1,30.11,29.89,14945,1660845600000
30.0613,30.16,30.235,30.05,42336,1660849200000
29.6115,29.63,29.67,29.54,8128,1660917600000
29.645,29.66,29.66,29.43,9236,1660921200000
29.68,29.65,29.71,29.61,7209,1660924800000
29.63,29.64,29.66,29.52,4500,1660928400000
29.62,29.655,29.76,29.58,8639,1660932000000
