o,c,h,l,v,t
40.75,41,41,40.64,40206,1657720800000
40.9785,40.88,41.1499,40.74,17505,1657724400000
40.96,41.21,41.22,40.95,21906,1657728000000
41.25,41.138,41.3748,41.11,16940,1657731600000
41.135,41.02,41.14,40.885,18851,1657735200000
41.0107,40.8,41.0415,40.7,34876,1657738800000
40.1,40.3,40.3376,40.05,20654,1657807200000
40.35,40.43,40.59,40.2852,13425,1657810800000
40.419,40.18,40.43,40.11,13348,1657814400000
40.1806,40.255,40.27,40.11,10337,1657818000000
40.29,40.535,40.535,40.25,15679,1657821600000
40.558,40.3,40.57,40.3,27473,1657825200000
40.44,40.4428,40.7559,40.4,24619,1657893600000
40.43,40.781,40.8632,40.4088,20401,1657897200000
40.77,41.05,41.1,40.7524,32993,1657900800000
41.04,41.15,41.1753,41.0261,11401,1657904400000
41.145,41.25,41.3018,41.145,14227,1657908000000
41.24,40.86,41.24,40.831,62207,1657911600000
41.34,41.2,41.3924,41.05,29833,1658152800000
41.14,41.03,41.2,40.84,31796,1658156400000
41.02,40.59,41.02,40.56,54924,1658160000000
40.59,40.2088,40.65,40.1601,51165,1658163600000
40.175,39.995,40.2864,39.995,18699,1658167200000
40.0359,40.0328,40.11,39.93,27530,1658170800000
40.59,40.83,40.93,40.59,46829,1658239200000
40.83,40.6101,40.86,40.36,54399,1658242800000
40.6,40.5771,40.66,40.44,17462,1658246400000
40.59,40.68,40.71,40.58,26280,1658250000000
40.71,40.66,40.72,40.54,44514,1658253600000
40.67,41.17,41.17,40.67,83670,1658257200000
41.16,41.76,41.7812,41.14,53762,1658325600000
41.78,41.993,42,41.76,24679,1658329200000
41.9678,41.77,42.05,41.5801,43228,1658332800000
41.755,41.5343,41.8493,41.5343,35892,1658336400000
41.62,42.25,42.27,41.5796,75430,1658340000000
42.23,41.985,42.53,41.88,84786,1658343600000
42.045,41.44,42.045,41.32,61310,1658412000000
41.45,41.88,41.9063,41.41,29558,1658415600000
41.8899,42.29,42.29,41.767,37753,1658419200000
42.29,42.15,42.3408,42.04,15733,1658422800000
42.12,41.944,42.18,41.881,10490,1658426400000
41.944,42.2,42.2,41.944,50097,1658430000000
42.045,42.04,42.105,41.6769,24833,1658498400000
42.01,41.6537,42.01,41.44,27607,1658502000000
41.6,41.39,41.75,41.39,24300,1658505600000
41.414,41.3378,41.43,41.19,11613,1658509200000
41.3,41.47,41.48,41.25,13080,1658512800000
41.4624,41.575,41.65,41.44,35761,1658516400000
41.58,41.455,41.65,41.3221,21275,1658757600000
41.42,41.44,41.44,41.2,11085,1658761200000
41.4562,41.5669,41.575,41.31,22061,1658764800000
41.58,41.55,41.6,41.5,12018,1658768400000
41.47,41.69,41.7,41.44,29492,1658772000000
41.7,41.8,41.86,41.63,71703,1658775600000
41.54,41.49,41.585,41.26,23908,1658844000000
41.49,41.2003,41.5016,41.176,20452,1658847600000
41.17,41.12,41.3,41.069,27364,1658851200000
41.1301,41.2528,41.2528,41.1,18793,1658854800000
41.23,41.24,41.35,41.1361,10203,1658858400000
41.2,41.36,41.4,41.2,29457,1658862000000
41.469,41.46,41.54,41.4,15502,1658930400000
41.58,41.475,41.58,41.42,17561,1658934000000
41.44,41.39,41.51,41.356,10688,1658937600000
41.4,41.25,41.405,41.2461,17727,1658941200000
41.215,41.4243,41.53,41.09,35363,1658944800000
41.46,41.56,41.8599,41.46,44189,1658948400000
41.662,42.12,42.12,41.5,38023,1659016800000
42.19,42.345,42.63,42.13,86894,1659020400000
42.345,42.49,42.57,42.25,24952,1659024000000
42.51,42.835,42.84,42.42,26384,1659027600000
42.77,42.66,42.8499,42.6,29331,1659031200000
42.635,42.59,42.77,42.43,81658,1659034800000
43.3963,44.21,44.653,43.3882,85766,1659103200000
44.2,44.1825,44.32,43.7701,43515,1659106800000
44.145,44.02,44.18,43.84,54357,1659110400000
44.1,44,44.12,43.9,52833,1659114000000
43.96,44.5,44.5,43.9,72918,1659117600000
44.48,44.06,44.81,44.02,132466,1659121200000
44.2056,44.18,44.455,43.8001,45822,1659362400000
44.175,43.6487,44.2361,43.5,84111,1659366000000
43.59,43.585,43.7599,43.46,50952,1659369600000
43.552,43.482,43.6,43.29,46479,1659373200000
43.48,44,44,43.42,54668,1659376800000
44,44.01,44.02,43.795,69779,1659380400000
43.67,43.7976,43.98,43.22,62348,1659448800000
43.68,44.2792,44.3199,43.68,29049,1659452400000
44.29,44.5405,44.59,44.25,26255,1659456000000
44.5603,44.21,44.5603,44.0801,13394,1659459600000
44.28,44.3,44.42,44.22,18963,1659463200000
44.3,43.91,44.37,43.86,59775,1659466800000
44.59,44.9513,44.955,44.47,51306,1659535200000
44.94,45.25,45.25,44.795,67579,1659538800000
45.22,45.295,45.37,45.15,34044,1659542400000
45.3204,45.385,45.49,45.2898,51165,1659546000000
45.3994,45.47,45.69,45.32,55756,1659549600000
45.4227,45.1,45.43,45.1,65446,1659553200000
45.41,45.75,45.75,45.27,37059,1659621600000
45.71,45.48,45.7413,45.265,18995,1659625200000
45.5,45.3699,45.58,45.3426,12058,1659628800000
45.3,45.28,45.4497,45.2697,18219,1659632400000
45.27,45.2229,45.3018,45.1188,20828,1659636000000
45.26,45.15,45.47,45.03,77531,1659639600000
44.25,44.3682,44.57,44.21,42863,1659708000000
44.395,43.85,44.475,43.75,51422,1659711600000
43.91,43.895,43.91,43.6926,17211,1659715200000
43.9,43.8728,44.08,43.81,17656,1659718800000
43.875,43.88,43.97,43.75,14258,1659722400000
43.7973,43.92,43.99,43.7811,26670,1659726000000
44.04,44.13,44.6,43.9681,59093,1659967200000
44.13,43.69,44.13,43.67,56006,1659970800000
43.67,43.76,43.7999,43.42,23604,1659974400000
43.735,43.85,43.85,43.63,19780,1659978000000
43.95,44.15,44.17,43.9196,28230,1659981600000
44.1694,44.21,44.3,44.005,43323,1659985200000
44.19,43.93,44.2,43.7512,40724,1660053600000
43.845,43.77,43.89,43.61,15420,1660057200000
43.79,43.82,43.86,43.63,24311,1660060800000
43.85,43.41,43.905,43.38,14763,1660064400000
43.41,43.425,43.48,43.03,26695,1660068000000
43.425,43.26,43.65,43.21,72309,1660071600000
44.06,44.165,44.3609,44.03,43035,1660140000000
44.21,44.58,44.58,44.12,39404,1660143600000
44.5001,44.74,44.74,44.42,58529,1660147200000
44.705,44.16,44.705,44.04,52009,1660150800000
44.11,43.86,44.2336,43.86,30871,1660154400000
43.8825,44.29,44.29,43.86,56445,1660158000000
44.69,44.775,45.16,44.69,45985,1660226400000
44.92,44.86,44.95,44.7226,22990,1660230000000
44.78,44.715,44.87,44.61,15732,1660233600000
44.62,44.325,44.62,44.13,35917,1660237200000
44.315,44.37,44.455,44.18,23560,1660240800000
44.3806,44.29,44.49,44.14,41277,1660244400000
44.53,44.88,44.9767,44.5,18079,1660312800000
44.9,45.05,45.11,44.8395,19736,1660316400000
45.09,45.0593,45.22,44.99,30969,1660320000000
45.05,45.2,45.34,45.05,27286,1660323600000
45.2044,45.31,45.38,45.18,34262,1660327200000
45.31,45.06,45.41,45.05,42805,1660330800000
45.31,44.94,45.34,44.9,17802,1660572000000
44.972,44.94,45.08,44.8193,15728,1660575600000
44.92,44.8831,45.0441,44.86,10209,1660579200000
44.9,44.811,44.9699,44.75,25732,1660582800000
44.9,44.905,44.98,44.8501,24321,1660586400000
44.935,44.82,44.96,44.7473,23654,1660590000000
45.115,44.97,45.265,44.94,36886,1660658400000
45.03,45.06,45.26,44.96,50307,1660662000000
45.0907,45.0153,45.115,45.01,26144,1660665600000
45.04,45.08,45.1,45,16740,1660669200000
45.08,44.9,45.09,44.76,32129,1660672800000
44.8793,44.63,44.93,44.63,58872,1660676400000
44.26,44.05,44.28,43.9373,30806,1660744800000
