o,c,h,l,v,t
26.26,26.56,26.59,26.11,498375,1657720800000
26.56,26.51,26.615,26.44,222446,1657724400000
26.51,26.6,26.603,26.5,99861,1657728000000
26.6,26.61,26.6685,26.56,182753,1657731600000
26.61,26.7,26.7,26.48,241455,1657735200000
26.705,26.61,26.74,26.6,739350,1657738800000
26.09,26.09,26.13,25.951,304566,1657807200000
26.095,26.28,26.31,26.095,304672,1657810800000
26.29,26.09,26.29,26.0527,149113,1657814400000
26.1,26.155,26.185,26.045,168600,1657818000000
26.16,26.33,26.35,26.16,161597,1657821600000
26.325,26.34,26.35,26.28,288533,1657825200000
26.41,26.785,26.79,26.41,349423,1657893600000
26.78,26.84,26.95,26.78,239872,1657897200000
26.83,26.8405,26.87,26.79,122221,1657900800000
26.85,26.835,26.9,26.82,96202,1657904400000
26.84,26.87,26.9,26.82,116374,1657908000000
26.87,26.93,26.93,26.845,303377,1657911600000
27.38,27.465,27.485,27.31,342179,1658152800000
27.465,27.39,27.47,27.31,195112,1658156400000
27.39,27.315,27.395,27.305,116095,1658160000000
27.32,27.14,27.33,27.13,138954,1658163600000
27.13,27.105,27.1801,27.08,218646,1658167200000
27.1,27.06,27.15,26.9713,367548,1658170800000
27.8491,28.04,28.07,27.75,360807,1658239200000
28.04,28.04,28.1,27.97,265961,1658242800000
28.045,28.055,28.08,27.98,147993,1658246400000
28.05,28.115,28.115,28.025,183931,1658250000000
28.115,28.12,28.17,28.095,172509,1658253600000
28.125,28.11,28.16,28.07,460468,1658257200000
28.055,28.16,28.19,27.97,206564,1658325600000
28.165,28.075,28.26,27.98,1041265.0,1658329200000
28.0799,27.965,28.0958,27.9,277804,1658332800000
27.965,27.905,28.005,27.875,191177,1658336400000
27.905,28.045,28.08,27.903,238410,1658340000000
28.045,28.08,28.1399,28.04,505710,1658343600000
28.47,28.57,28.59,28.295,283336,1658412000000
28.56,28.56,28.625,28.475,203350,1658415600000
28.56,28.61,28.62,28.52,116750,1658419200000
28.615,28.56,28.62,28.49,104477,1658422800000
28.56,28.62,28.68,28.555,203577,1658426400000
28.62,28.7,28.735,28.61,355569,1658430000000
28.69,28.705,28.81,28.62,286596,1658498400000
28.71,28.64,28.7589,28.6,124721,1658502000000
28.655,28.61,28.67,28.5946,124855,1658505600000
28.61,28.53,28.625,28.4546,148860,1658509200000
28.53,28.465,28.53,28.43,178262,1658512800000
28.46,28.54,28.54,28.445,209151,1658516400000
28.535,28.47,28.62,28.43,354177,1658757600000
28.47,28.475,28.545,28.43,265237,1658761200000
28.475,28.505,28.545,28.41,107145,1658764800000
28.505,28.46,28.54,28.445,103211,1658768400000
28.46,28.405,28.5,28.4,110112,1658772000000
28.405,28.53,28.54,28.36,268752,1658775600000
28.39,28.515,28.515,28.35,177079,1658844000000
28.53,28.3,28.545,28.28,204232,1658847600000
28.29,28.385,28.395,28.285,74758,1658851200000
28.385,28.359,28.435,28.345,79984,1658854800000
28.36,28.36,28.425,28.305,160655,1658858400000
28.355,28.35,28.38,28.31,252237,1658862000000
28.54,28.489,28.59,28.465,168871,1658930400000
28.485,28.455,28.53,28.45,168520,1658934000000
28.46,28.435,28.48,28.4214,61413,1658937600000
28.44,28.49,28.505,28.43,130744,1658941200000
28.5,28.795,28.8485,28.46,299759,1658944800000
28.8,28.87,28.97,28.76,391777,1658948400000
29.22,29.285,29.32,29.17,270524,1659016800000
29.29,29.31,29.41,29.22,603180,1659020400000
29.31,29.35,29.365,29.3,174063,1659024000000
29.36,29.46,29.475,29.33,157967,1659027600000
29.46,29.505,29.51,29.42,186124,1659031200000
29.51,29.54,29.575,29.505,435487,1659034800000
29.91,30.08,30.105,29.87,298650,1659103200000
30.07,30.265,30.285,30.07,659683,1659106800000
30.265,30.24,30.3,30.17,143777,1659110400000
30.24,30.31,30.32,30.21,138643,1659114000000
30.31,30.355,30.37,30.29,199650,1659117600000
30.355,30.375,30.44,30.34,538727,1659121200000
30.1,30.23,30.24,30.03,248085,1659362400000
30.23,30.1,30.23,30.07,262638,1659366000000
30.1,30.1,30.145,30.01,118332,1659369600000
30.1,30.04,30.105,29.975,209074,1659373200000
30.05,30.14,30.155,30.005,184699,1659376800000
30.14,30.13,30.165,30.075,340836,1659380400000
29.7,29.8,29.86,29.62,217136,1659448800000
29.79,29.79,29.9,29.7311,273862,1659452400000
29.8,29.94,29.97,29.8,116298,1659456000000
29.94,29.755,29.94,29.73,130322,1659459600000
29.76,29.7277,29.81,29.705,154717,1659463200000
29.73,29.64,29.76,29.62,339816,1659466800000
29.6,29.57,29.645,29.46,232596,1659535200000
29.58,29.72,29.74,29.575,295217,1659538800000
29.72,29.73,29.76,29.68,119603,1659542400000
29.73,29.745,29.76,29.71,106200,1659546000000
29.74,29.77,29.8,29.735,107344,1659549600000
29.775,29.75,29.805,29.74,236717,1659553200000
30.08,30.075,30.1285,29.94,127340,1659621600000
30.08,30.135,30.15,30.01,208751,1659625200000
30.13,30.115,30.175,30.095,86939,1659628800000
30.11,30.175,30.205,30.09,90981,1659632400000
30.17,30.125,30.18,30.09,94591,1659636000000
30.12,30.13,30.2,30.105,227230,1659639600000
29.54,29.6052,29.715,29.52,114499,1659708000000
29.6,29.345,29.605,29.345,225093,1659711600000
29.35,29.5,29.515,29.3491,82132,1659715200000
29.51,29.565,29.6,29.51,96219,1659718800000
29.56,29.58,29.635,29.55,118176,1659722400000
29.58,29.69,29.71,29.58,226844,1659726000000
30.06,29.8599,30.075,29.85,168915,1659967200000
29.855,29.74,29.89,29.695,293778,1659970800000
29.735,29.72,29.7499,29.605,132009,1659974400000
29.7208,29.75,29.8,29.695,122295,1659978000000
29.745,29.67,29.76,29.632,133044,1659981600000
29.67,29.71,29.73,29.605,236752,1659985200000
29.33,29.38,29.46,29.32,228002,1660053600000
29.375,29.365,29.5,29.29,393882,1660057200000
29.35,29.32,29.37,29.3,95815,1660060800000
29.325,29.36,29.39,29.2744,115321,1660064400000
29.3517,29.32,29.36,29.265,113622,1660068000000
29.32,29.28,29.335,29.255,270376,1660071600000
30.27,30.41,30.44,30.26,256309,1660140000000
30.41,30.46,30.515,30.41,155305,1660143600000
30.47,30.465,30.49,30.43,85575,1660147200000
30.46,30.4791,30.515,30.44,69483,1660150800000
30.47,30.42,30.485,30.415,108016,1660154400000
30.41,30.49,30.5,30.395,179127,1660158000000
30.67,30.69,30.745,30.64,263875,1660226400000
30.6914,30.735,30.77,30.6,332897,1660230000000
30.74,30.75,30.7525,30.67,120202,1660233600000
30.77,30.665,30.77,30.665,89874,1660237200000
30.66,30.53,30.66,30.495,150420,1660240800000
30.53,30.52,30.55,30.47,251371,1660244400000
30.485,30.445,30.54,30.365,308476,1660312800000
30.44,30.53,30.6,30.44,308838,1660316400000
30.53,30.5872,30.64,30.52,91206,1660320000000
30.59,30.63,30.665,30.585,62222,1660323600000
30.63,30.6742,30.69,30.6239,97094,1660327200000
30.68,30.75,30.76,30.67,192867,1660330800000
30.53,30.425,30.53,30.3867,257822,1660572000000
30.425,30.6,30.625,30.41,134661,1660575600000
30.6,30.59,30.63,30.585,78578,1660579200000
30.595,30.575,30.635,30.5604,92951,1660582800000
30.5754,30.59,30.6,30.5466,80072,1660586400000
30.595,30.59,30.645,30.585,174411,1660590000000
30.465,30.475,30.49,30.3801,167932,1660658400000
30.47,30.57,30.57,30.44,147586,1660662000000
30.565,30.55,30.59,30.52,114380,1660665600000
30.555,30.665,30.67,30.55,125610,1660669200000
30.665,30.555,30.6985,30.5,151716,1660672800000
30.55,30.615,30.64,30.51,213397,1660676400000
30.065,29.98,30.1579,29.965,131559,1660744800000
29.98,29.87,30.015,29.87,188636,1660748400000
29.865,29.96,29.965,29.86,60058,1660752000000
29.96,29.99,30.015,29.925,100178,1660755600000
29.99,30.0902,30.19,29.99,152402,1660759200000
30.08,30.03,30.125,29.99,180504,1660762800000
30.3,30.31,30.3325,30.205,141720,1660831200000
30.3,30.32,30.4,30.29,260309,1660834800000
30.33,30.225,30.37,30.215,113895,1660838400000
30.225,30.27,30.295,30.205,99165,1660842000000
30.27,30.3,30.31,30.265,71563,1660845600000
30.2919,30.3,30.365,30.26,170129,1660849200000
29.82,29.74,29.86,29.735,129153,1660917600000
29.74,29.745,29.8,29.6847,139155,1660921200000
29.745,29.82,29.83,29.715,71487,1660924800000
29.81,29.815,29.85,29.725,74751,1660928400000
29.81,29.765,29.815,29.745,142486,1660932000000
29.7691,29.72,29.805,29.715,245417,1660935600000
28.65,28.55,28.74,28.515,349842,1661176800000
28.55,28.575,28.6835,28.53,285790,1661180400000
28.573,28.555,28.599,28.53,92806,1661184000000
28.56,28.42,28.5633,28.415,88630,1661187600000
28.42,28.4134,28.45,28.3901,93895,1661191200000
28.42,28.45,28.49,28.395,347390,1661194800000
28.66,28.56,28.85,28.56,210837,1661263200000
28.57,28.578,28.65,28.515,201528,1661266800000
28.57,28.575,28.575,28.51,54341,1661270400000
28.57,28.5,28.58,28.48,101083,1661274000000
28.495,28.52,28.555,28.49,134834,1661277600000
28.53,28.55,28.575,28.52,303061,1661281200000
28.58,28.63,28.675,28.485,185941,1661349600000
28.63,28.59,28.695,28.59,141699,1661353200000
28.595,28.46,28.645,28.44,82581,1661356800000
28.453,28.513,28.515,28.45,96420,1661360400000
28.515,28.505,28.53,28.47,98025,1661364000000
28.5,28.51,28.56,28.48,238411,1661367600000
28.74,28.915,28.9588,28.74,144653,1661436000000
28.915,28.865,28.92,28.815,178217,1661439600000
28.86,28.83,28.87,28.775,77352,1661443200000
28.83,28.92,28.94,28.82,76730,1661446800000
28.92,28.9,28.95,28.84,227635,1661450400000
28.9,29.075,29.075,28.895,187217,1661454000000
28.91,28.57,29.01,28.55,374428,1661522400000
28.565,28.51,28.595,28.49,500352,1661526000000
28.51,28.53,28.53,28.42,109924,1661529600000
28.52,28.34,28.53,28.3343,188726,1661533200000
28.345,28.27,28.365,28.26,157610,1661536800000
28.27,28.17,28.28,28.15,449775,1661540400000
28.31,28.2588,28.43,28.25,235866,1661781600000
28.25,28.36,28.38,28.235,182070,1661785200000
28.365,28.41,28.42,28.325,87669,1661788800000
28.415,28.46,28.495,28.335,131329,1661792400000
28.46,28.42,28.46,28.355,108824,1661796000000
28.425,28.34,28.4809,28.33,231952,1661799600000
28.365,28.04,28.365,27.92,273004,1661868000000
28.045,28.07,28.12,27.985,189456,1661871600000
28.07,28.029,28.175,28,159320,1661875200000
28.025,28.01,28.04,27.95,126598,1661878800000
28.01,28,28.045,27.969,132734,1661882400000
28,27.99,28.105,27.94,279777,1661886000000
27.81,27.71,27.82,27.64,194472,1661954400000
27.7,27.73,27.79,27.63,437568,1661958000000
27.73,27.7208,27.745,27.66,195806,1661961600000
27.73,27.69,27.7824,27.64,126669,1661965200000
27.7,27.605,27.715,27.575,121109,1661968800000
27.61,27.57,27.685,27.56,440062,1661972400000
27.17,26.85,27.2,26.845,307355,1662040800000
26.84,26.91,26.99,26.83,355445,1662044400000
26.925,26.93,26.995,26.9031,114362,1662048000000
26.925,27.025,27.12,26.9116,149520,1662051600000
27.03,27.085,27.155,27.005,217121,1662055200000
27.085,27.24,27.25,27.07,440454,1662058800000
27.6,27.88,27.9117,27.515,291330,1662127200000
27.88,27.99,27.99,27.875,340850,1662130800000
27.995,27.58,27.995,27.555,180628,1662134400000
27.57,27.37,27.57,27.34,247179,1662138000000
27.37,27.38,27.475,27.34,365061,1662141600000
27.37,27.33,27.445,27.225,398059,1662145200000
27.41,27.52,27.53,27.2021,327720,1662472800000
27.51,27.505,27.64,27.44,335590,1662476400000
27.51,27.47,27.585,27.4,234199,1662480000000
27.47,27.3409,27.47,27.2913,111899,1662483600000
27.34,27.26,27.415,27.25,294674,1662487200000
27.26,27.325,27.345,27.24,359841,1662490800000
27.31,27.46,27.54,27.245,299759,1662559200000
27.46,27.5057,27.62,27.43,255902,1662562800000
27.51,27.5601,27.585,27.43,93603,1662566400000
27.57,27.66,27.6749,27.545,146738,1662570000000
27.655,27.7469,27.7469,27.65,87869,1662573600000
27.74,27.77,27.815,27.73,340667,1662577200000
27.57,27.785,27.785,27.43,281748,1662645600000
27.785,27.8214,27.8676,27.785,128456,1662649200000
27.83,27.8013,27.84,27.605,224147,1662652800000
27.805,27.89,27.92,27.72,154072,1662656400000
27.89,27.833,27.935,27.8,146321,1662660000000
27.83,27.92,27.93,27.79,228679,1662663600000
28.5,28.555,28.695,28.48,215368,1662732000000
28.55,28.52,28.565,28.44,198849,1662735600000
28.51,28.49,28.55,28.45,222287,1662739200000
28.48,28.495,28.53,28.445,176058,1662742800000
28.49,28.515,28.525,28.46,258896,1662746400000
28.515,28.52,28.56,28.51,521980,1662750000000
