o,c,h,l,v,t
152.67,152.55,152.99,151.76,986486,1657720800000
152.5786,152.945,153.175,152.4067,611333,1657724400000
152.945,153.52,153.56,152.88,359612,1657728000000
153.53,153.025,153.83,152.95,412804,1657731600000
153.01,153.2541,153.27,152.4,556102,1657735200000
153.26,152.13,153.27,152.07,968286,1657738800000
149.23,149.73,150.01,148.74,2148134.0,1657807200000
149.7,150.09,150.58,149.7,709209,1657810800000
150.12,149.85,150.16,149.45,610239,1657814400000
149.86,149.865,150.06,149.4884,418386,1657818000000
149.895,150.53,150.74,149.83,497382,1657821600000
150.55,150.44,151.01,150.22,1044110.0,1657825200000
152.92,152.975,153.8653,152.6441,634874,1657893600000
152.989,152.955,153.36,152.81,422148,1657897200000
152.96,153.1101,153.3203,152.945,287150,1657900800000
153.13,152.8,153.34,152.72,327330,1657904400000
152.79,153.22,153.305,152.6145,391773,1657908000000
153.21,153.56,153.67,152.8873,933728,1657911600000
151.92,152.045,152.82,151.86,625635,1658152800000
152.04,151.58,152.1,151.45,742676,1658156400000
151.58,150.77,151.68,150.77,572809,1658160000000
150.78,150.68,151.045,150.61,513018,1658163600000
150.67,150.4,150.89,150.38,390290,1658167200000
150.39,149.58,150.43,148.89,1490955.0,1658170800000
149.785,149.85,150.08,149.4175,685570,1658239200000
149.87,149.57,150.2,149.33,588668,1658242800000
149.56,149.68,149.74,149.12,619673,1658246400000
149.68,149.82,149.94,149.44,519235,1658250000000
149.82,149.55,150.23,149.42,375547,1658253600000
149.55,149.64,149.9,148.995,1113281.0,1658257200000
149.68,150.12,150.45,149.495,390413,1658325600000
150.1,149.9,150.17,149.75,306437,1658329200000
149.924,149.58,150.03,149.58,436345,1658332800000
149.54,147.65,149.54,147.65,611883,1658336400000
147.6539,147.56,147.8,147.335,441819,1658340000000
147.575,147.7,148.36,147.56,1137825.0,1658343600000
146.92,146.99,147.36,146.02,419875,1658412000000
147.01,146.84,147.24,146.5517,354113,1658415600000
146.84,147.22,147.4399,146.83,313394,1658419200000
147.23,146.815,147.5,146.61,373493,1658422800000
146.83,147.4978,147.6162,146.65,533521,1658426400000
147.49,147.775,147.84,147.35,781372,1658430000000
148.8532,148.06,148.8532,147.58,336991,1658498400000
148.0567,148.86,148.94,147.88,438343,1658502000000
148.84,148.94,149.04,148.42,283504,1658505600000
148.94,148.7008,148.94,148.49,248305,1658509200000
148.71,148.36,148.74,148.23,254374,1658512800000
148.36,148.47,148.77,147.96,807858,1658516400000
150.37,150.07,150.69,149.78,384338,1658757600000
150.05,149.84,150.31,149.66,414821,1658761200000
149.83,150.39,150.87,149.74,1210432.0,1658764800000
150.38,150.21,150.94,150.17,271375,1658768400000
150.205,149.95,150.2704,149.85,239531,1658772000000
149.94,150.21,150.32,149.4,867159,1658775600000
150.955,151.795,151.8,150.79,724628,1658844000000
151.81,152.22,152.3,151.62,419755,1658847600000
152.26,152.965,153.0125,152.2177,444154,1658851200000
152.97,152.82,153.5638,152.6441,412010,1658854800000
152.81,151.64,152.92,151.56,329892,1658858400000
151.65,150.835,151.7899,150.63,1161568.0,1658862000000
149.96,149.29,149.97,148.93,493764,1658930400000
149.28,149.91,150.06,149.275,361778,1658934000000
149.93,149.02,149.99,149.02,293862,1658937600000
149.04,149.67,149.72,149.0306,349842,1658941200000
149.67,150.015,150.48,149.415,517041,1658944800000
150.03,151.01,151.5,150,743558,1658948400000
147.06,148.94,149.21,146.64,1107585.0,1659016800000
148.945,149.74,149.94,148.79,540257,1659020400000
149.735,150.55,150.64,149.73,424099,1659024000000
150.55,152.31,152.41,150.55,476557,1659027600000
152.285,151.32,152.34,151.14,562731,1659031200000
151.32,149.61,151.4,148.68,1733762.0,1659034800000
142.39,140.26,145.25,140.12,2777015.0,1659103200000
140.26,140.42,141.02,139.05,3627450.0,1659106800000
140.415,140.84,141.02,139.86,1614586.0,1659110400000
140.83,141.62,142.16,140.62,1071555.0,1659114000000
141.65,143.01,143.08,141.65,1110227.0,1659117600000
143.04,143.56,144.52,142.77,2986923.0,1659121200000
140.08,140.36,141.1806,139.95,1035521.0,1659362400000
140.38,140.75,141.35,139.15,1336574.0,1659366000000
140.7294,141.95,142.13,140.04,722765,1659369600000
141.92,141.11,141.97,140.69,960403,1659373200000
141.12,140.5,141.12,140.045,846207,1659376800000
