o,c,h,l,v,t
140.92,140.35,140.92,139.62,102989,1657720800000
140.45,140.31,141.17,140.12,91946,1657724400000
140.24,140.545,140.76,140.24,34349,1657728000000
140.51,140.56,140.78,140.18,41207,1657731600000
140.53,140.94,140.97,139.94,59844,1657735200000
140.93,139.05,140.93,139.03,242645,1657738800000
137.81,137.1171,138.1,136.67,121422,1657807200000
137.19,138.45,138.5,137.13,85248,1657810800000
138.44,138.745,138.76,138.16,119113,1657814400000
138.71,138.74,139.07,138.45,83091,1657818000000
138.77,139.69,139.81,138.75,94756,1657821600000
139.69,139.42,139.96,139.38,259828,1657825200000
140.6,141.64,141.78,140.6,76188,1657893600000
141.6,141.77,142,141.505,78495,1657897200000
141.78,141.26,141.9,141.05,49839,1657900800000
141.24,140.98,141.66,140.83,64283,1657904400000
140.92,141.76,142,140.7,122454,1657908000000
141.75,142.21,142.28,141.47,195715,1657911600000
140.765,141.785,142,140.7559,65752,1658152800000
141.8,141.21,142.17,141.21,60289,1658156400000
141.23,140.63,141.29,140.54,49733,1658160000000
140.65,140.89,141.15,140.46,62706,1658163600000
140.84,141.09,141.17,140.7,89260,1658167200000
141.04,140.38,141.43,139.81,271835,1658170800000
141.86,142.11,142.68,141.86,68990,1658239200000
142.16,142.39,142.43,141.98,63623,1658242800000
142.335,142.7,142.7,141.96,40868,1658246400000
142.68,142.65,142.8,142.38,40529,1658250000000
142.71,143.11,143.2,142.71,48251,1658253600000
143.035,142.99,143.4,142.87,170911,1658257200000
141.26,142.07,142.085,141.21,51577,1658325600000
142.06,142.42,142.68,142,72072,1658329200000
142.4,141.73,142.4,141.32,32012,1658332800000
141.67,140.91,141.7,140.89,48474,1658336400000
140.92,141.03,141.487,140.68,55142,1658340000000
141.01,141.46,141.82,141,130765,1658343600000
140.86,140.02,141.07,139.62,96962,1658412000000
140.065,140.58,140.74,139.79,137337,1658415600000
140.575,141.47,141.67,140.55,66157,1658419200000
141.46,141.625,141.825,141.38,59528,1658422800000
141.625,141.72,141.78,141.52,60352,1658426400000
141.73,142.1,142.23,141.73,185168,1658430000000
143.16,143.304,143.89,142.74,90904,1658498400000
143.26,142.48,143.26,142.43,51888,1658502000000
142.48,142.34,142.69,142.2,55986,1658505600000
142.3852,141.8,142.3852,141.57,49220,1658509200000
141.82,141.96,142.026,141.46,58567,1658512800000
141.94,142.5,142.65,141.84,189450,1658516400000
145.345,144.15,145.76,143.73,105756,1658757600000
144.19,144.3,144.43,144.05,46344,1658761200000
144.305,143.78,144.305,143.725,39242,1658764800000
143.81,143.61,144.12,143.505,37431,1658768400000
143.61,143.55,143.73,143.41,45905,1658772000000
143.565,144.12,144.23,143.45,161453,1658775600000
144.365,144.49,144.51,143.85,68778,1658844000000
144.55,144.23,144.655,144.125,67198,1658847600000
144.2255,144.65,144.67,144.22,44789,1658851200000
144.6141,144.86,145.075,144.6141,47292,1658854800000
144.82,145,145.23,144.79,96141,1658858400000
145,145.18,145.365,144.72,244651,1658862000000
143.38,143.905,143.9443,142.54,122590,1658930400000
143.93,143.71,144.2,143.45,113855,1658934000000
143.7,143.719,143.91,143.46,47207,1658937600000
143.73,143.77,144.12,143.63,59167,1658941200000
143.91,144.56,144.8,143.54,77810,1658944800000
144.62,145,145.46,144.51,206928,1658948400000
143.6099,144.79,144.82,143.205,77527,1659016800000
144.69,144.64,145.175,144.25,80773,1659020400000
144.62,145.5,145.72,144.62,59522,1659024000000
145.53,145.93,146.04,145.37,49583,1659027600000
145.87,145.49,145.89,145.32,96574,1659031200000
145.59,145.53,145.805,145.28,136846,1659034800000
145.24,146.01,146.135,144.97,50347,1659103200000
145.995,145.49,146.15,145.38,58979,1659106800000
145.48,145.8,145.97,145.02,36815,1659110400000
145.795,145.585,145.88,145.405,59261,1659114000000
145.54,145.94,146,145.51,50340,1659117600000
145.98,145.93,146.27,145.79,137312,1659121200000
