o,c,h,l,v,t
2.625,2.67,2.69,2.61,18341665.0,1657720800000
2.67,2.665,2.69,2.66,8117933.0,1657724400000
2.665,2.68,2.69,2.66,2844505.0,1657728000000
2.685,2.695,2.708,2.68,4085231.0,1657731600000
2.695,2.67,2.695,2.67,8179087.0,1657735200000
2.675,2.67,2.68,2.66,4720472.0,1657738800000
2.64,2.645,2.65,2.61,9017232.0,1657807200000
2.645,2.675,2.69,2.63,15959672.0,1657810800000
2.675,2.6793,2.68,2.65,5123824.0,1657814400000
2.675,2.705,2.71,2.67,7098060.0,1657818000000
2.705,2.695,2.72,2.69,6361372.0,1657821600000
2.69,2.69,2.7,2.69,4293455.0,1657825200000
2.66,2.695,2.7,2.66,8269988.0,1657893600000
2.695,2.68,2.71,2.67,6778754.0,1657897200000
2.68,2.68,2.68,2.67,838106,1657900800000
2.68,2.68,2.68,2.66,2523467.0,1657904400000
2.68,2.6701,2.69,2.67,3323072.0,1657908000000
2.6701,2.655,2.68,2.65,8642902.0,1657911600000
2.6708,2.7009,2.72,2.67,5489496.0,1658152800000
2.7,2.7,2.71,2.68,6411999.0,1658156400000
2.69,2.685,2.7,2.68,5716316.0,1658160000000
2.685,2.65,2.69,2.65,5424123.0,1658163600000
2.65,2.65,2.66,2.64,3710776.0,1658167200000
2.649,2.6301,2.65,2.63,6442279.0,1658170800000
2.6853,2.71,2.72,2.67,7306816.0,1658239200000
2.71,2.685,2.7142,2.68,5795469.0,1658242800000
2.685,2.7,2.7,2.68,2096703.0,1658246400000
2.7,2.67,2.7,2.66,5567730.0,1658250000000
2.665,2.66,2.67,2.65,5934817.0,1658253600000
2.655,2.65,2.67,2.64,7793320.0,1658257200000
2.615,2.61,2.63,2.6,8813049.0,1658325600000
2.61,2.595,2.61,2.58,7260534.0,1658329200000
2.6,2.59,2.61,2.57,8454508.0,1658332800000
2.59,2.56,2.59,2.55,4123571.0,1658336400000
2.5598,2.58,2.58,2.55,4281744.0,1658340000000
2.5796,2.59,2.6,2.57,7751106.0,1658343600000
2.5901,2.59,2.5994,2.555,7263257.0,1658412000000
2.59,2.6,2.62,2.58,5238448.0,1658415600000
2.6,2.61,2.62,2.59,3056680.0,1658419200000
2.605,2.5993,2.61,2.59,1041307.0,1658422800000
2.6,2.6,2.62,2.595,3386452.0,1658426400000
2.61,2.62,2.63,2.6,8447927.0,1658430000000
2.62,2.64,2.65,2.6001,5976417.0,1658498400000
2.64,2.65,2.65,2.62,4754985.0,1658502000000
2.65,2.645,2.66,2.635,4514070.0,1658505600000
2.645,2.62,2.65,2.61,2282053.0,1658509200000
2.615,2.605,2.62,2.59,4501811.0,1658512800000
2.605,2.61,2.61,2.6,2270573.0,1658516400000
2.67,2.675,2.6897,2.66,4454658.0,1658757600000
2.68,2.6999,2.7,2.67,2814683.0,1658761200000
2.695,2.695,2.71,2.69,1970769.0,1658764800000
2.695,2.69,2.7,2.68,2320267.0,1658768400000
2.685,2.705,2.71,2.68,3914540.0,1658772000000
2.705,2.6901,2.71,2.69,2088015.0,1658775600000
2.725,2.725,2.74,2.71,5352679.0,1658844000000
2.725,2.715,2.74,2.705,7309926.0,1658847600000
