o,c,h,l,v,t
162.54,163.27,163.28,159.57,7211,1657720800000
163.07,161.79,163.52,160.84,18021,1657724400000
161.5,160.84,161.7098,160.45,5696,1657728000000
160.84,161.48,161.92,160.25,12975,1657731600000
160.98,161.02,161.73,160.74,23322,1657735200000
161,161.65,161.79,160.93,98531,1657738800000
155.095,152.445,155.715,152.445,60893,1657807200000
152.72,152.37,154.91,152.32,23327,1657810800000
152.565,148.55,152.5679,147.955,74474,1657814400000
148.97,149.085,150.46,148.765,56033,1657818000000
149.085,151.18,152.4,148.99,44355,1657821600000
151.16,150.97,151.49,149.48,104856,1657825200000
154.5,160.45,161.41,154.5,30166,1657893600000
160.18,162.02,162.18,160.18,21703,1657897200000
162.095,161.38,162.78,160.96,19955,1657900800000
161.63,159.48,161.91,159.365,20549,1657904400000
159.215,160.58,160.89,158.74,44275,1657908000000
160.68,161.24,161.49,160.15,54081,1657911600000
167.8,168.615,169.13,164.58,12980,1658152800000
168.85,169,169.61,168.1,22967,1658156400000
168.96,167.81,169.17,167.75,16153,1658160000000
167.535,166.605,168.515,166.605,14456,1658163600000
166.885,167.02,168.06,166.84,28420,1658167200000
167.12,165.76,167.215,165.56,29187,1658170800000
170.94,172.03,172.34,170.555,6156,1658239200000
172.415,172.76,173.355,171.88,16718,1658242800000
173.14,173.97,173.99,172.955,7342,1658246400000
173.96,175.24,175.24,173.79,13693,1658250000000
175.56,175.01,176.09,174.51,10928,1658253600000
175.01,174.99,175.96,174.31,52294,1658257200000
170.74,174.005,174.8,168.63,16074,1658325600000
173.92,172.06,174.98,171.17,18110,1658329200000
171.75,171.005,172.41,169.64,30301,1658332800000
170.58,169.98,170.73,168.19,49890,1658336400000
169.835,171.38,172.29,168.8,39303,1658340000000
171.43,172.75,174.0148,171.34,74658,1658343600000
169.42,166.8578,169.42,162.95,21546,1658412000000
166.91,164.74,167.505,163.575,15191,1658415600000
164.24,164.97,165.4,164.24,16043,1658419200000
164.84,165.08,166,164.465,14857,1658422800000
164.6,165.13,166.53,164.6,24803,1658426400000
165.16,167.11,167.11,164.87,31535,1658430000000
170.02,168.065,170.895,167.27,13904,1658498400000
168.125,167.745,168.99,166.78,6977,1658502000000
167.98,166.69,168,166.58,7292,1658505600000
166.66,165.435,166.695,165.14,7710,1658509200000
165.58,166.29,166.31,165.25,12544,1658512800000
166.205,167.21,167.21,165.62,39952,1658516400000
167.7599,166.37,167.7599,166.15,10983,1658757600000
166.64,167.61,167.86,166.53,5990,1658761200000
167.43,166.025,167.43,164.78,14169,1658764800000
166.07,164.92,166.486,163.9,9951,1658768400000
164.92,164.335,164.9921,163.75,10784,1658772000000
164.28,164.28,165.001,163.53,31687,1658775600000
160.71,164.13,164.13,160.01,18700,1658844000000
164.045,161.67,164.045,161.01,17684,1658847600000
161.375,160.905,161.68,160.51,15514,1658851200000
160.75,160.395,161.57,160.05,35919,1658854800000
