o,c,h,l,v,t
42.515,42.45,42.53,42.11,26487,1657720800000
42.5,42.345,42.61,42.2,8859,1657724400000
42.345,42.51,42.58,42.345,8948,1657728000000
42.495,42.46,42.57,42.37,13242,1657731600000
42.34,42.445,42.505,42.21,17702,1657735200000
42.5,42.54,42.59,42.4,58238,1657738800000
41.74,41.75,41.835,41.55,7621,1657807200000
41.82,41.8,41.91,41.75,17239,1657810800000
41.865,41.54,41.865,41.465,9984,1657814400000
41.46,41.65,41.68,41.45,11008,1657818000000
41.645,41.97,42,41.565,15756,1657821600000
42.01,42.16,42.33,41.9048,72351,1657825200000
42.32,42.725,42.86,42.3,16660,1657893600000
42.725,42.61,42.775,42.565,22925,1657897200000
42.655,42.64,42.735,42.48,27267,1657900800000
42.65,42.58,42.74,42.56,14144,1657904400000
42.5444,42.6,42.62,42.44,14158,1657908000000
42.56,42.55,42.61,42.44,63185,1657911600000
42.71,42.91,42.97,42.685,12158,1658152800000
42.9,42.62,42.915,42.62,8285,1658156400000
42.65,42.67,42.71,42.5245,14832,1658160000000
42.645,42.35,42.78,42.345,16007,1658163600000
42.32,42.13,42.38,42.105,25308,1658167200000
42.1457,42.11,42.33,41.875,63616,1658170800000
43.4,43.585,43.9,43.24,21602,1658239200000
43.555,43.57,43.61,43.405,14102,1658242800000
43.54,43.33,43.54,43.32,18718,1658246400000
43.33,43.6852,43.725,43.29,25680,1658250000000
43.73,43.775,43.8,43.645,16341,1658253600000
43.78,43.73,43.93,43.67,73612,1658257200000
43.77,44,44.1,43.63,29538,1658325600000
43.97,43.83,44.13,43.77,26095,1658329200000
43.795,43.52,43.975,43.49,36975,1658332800000
43.5001,43.64,43.87,43.44,40397,1658336400000
43.64,43.7,43.83,43.51,33332,1658340000000
43.69,43.78,43.965,43.65,142743,1658343600000
43.055,42.3575,43.055,42.07,71546,1658412000000
42.45,42.33,42.635,42.3,48873,1658415600000
42.31,42.88,42.88,42.31,32173,1658419200000
42.84,42.52,42.89,42.44,22206,1658422800000
42.55,42.41,42.77,42.34,51319,1658426400000
42.47,43.15,43.15,42.445,113777,1658430000000
42.84,43.24,43.24,42.66,18730,1658498400000
43.24,43.07,43.45,43.07,19995,1658502000000
43.08,42.9,43.1,42.89,14242,1658505600000
42.87,42.61,42.935,42.54,23202,1658509200000
42.61,42.7,42.76,42.47,20965,1658512800000
42.72,42.95,42.95,42.575,92706,1658516400000
43.52,43.63,43.715,43.46,28338,1658757600000
43.685,43.66,43.74,43.52,23799,1658761200000
43.68,43.49,43.7,43.32,15597,1658764800000
43.45,43.24,43.45,43.18,21015,1658768400000
43.21,43.17,43.25,43.13,21483,1658772000000
43.16,43.51,43.56,43.13,54229,1658775600000
43.27,43.76,43.76,43.19,14571,1658844000000
