o,c,h,l,v,t
64.88,64.935,64.935,64.86,129163,1657720800000
64.935,64.915,64.94,64.887,136481,1657724400000
64.92,64.92,64.93,64.895,83636,1657728000000
64.91,64.91,64.93,64.9,99316,1657731600000
64.91,64.89,64.91,64.86,72002,1657735200000
64.885,64.85,64.91,64.84,178824,1657738800000
64.82,64.82,64.86,64.79,393499,1657807200000
64.83,64.9,64.92,64.82,207485,1657810800000
64.91,64.905,64.91,64.88,95783,1657814400000
64.905,64.895,64.91,64.88,82777,1657818000000
64.895,64.91,64.94,64.88,110790,1657821600000
64.92,64.865,64.98,64.86,310853,1657825200000
65.02,65.03,65.065,65.005,117943,1657893600000
65.03,65.055,65.07,65.03,87147,1657897200000
65.055,64.98,65.055,64.98,126769,1657900800000
64.99,64.955,65.01,64.93,115641,1657904400000
64.95,64.99,65.01,64.91,65480,1657908000000
64.995,65.11,65.12,64.975,132470,1657911600000
65.1,65.16,65.19,65.1,186978,1658152800000
65.15,65.12,65.18,65.12,106656,1658156400000
65.125,65.145,65.15,65.11,51406,1658160000000
65.14,65.16,65.18,65.14,77405,1658163600000
65.16,65.17,65.18,65.15,86882,1658167200000
65.17,65.1,65.185,65.1,200204,1658170800000
65.19,65.17,65.2,65.17,113084,1658239200000
65.18,65.19,65.19,65.15,336911,1658242800000
65.19,65.182,65.195,65.165,94135,1658246400000
65.18,65.18,65.19,65.155,129231,1658250000000
65.18,65.165,65.19,65.16,101807,1658253600000
65.165,65.18,65.19,65.16,159728,1658257200000
65.16,65.19,65.2,65.16,180709,1658325600000
65.2,65.18,65.2,65.16,301039,1658329200000
65.18,65.18,65.19,65.175,228109,1658332800000
65.18,65.16,65.19,65.16,182755,1658336400000
65.16,65.175,65.18,65.16,167043,1658340000000
65.17,65.2,65.2,65.17,326814,1658343600000
65.19,65.235,65.235,65.17,165585,1658412000000
65.235,65.21,65.25,65.21,143440,1658415600000
65.215,65.185,65.22,65.18,109831,1658419200000
65.19,65.2,65.22,65.18,124789,1658422800000
65.195,65.21,65.22,65.1899,52487,1658426400000
65.21,65.24,65.25,65.19,205979,1658430000000
65.27,65.2807,65.3,65.27,116502,1658498400000
65.28,65.28,65.3,65.265,93063,1658502000000
65.29,65.285,65.29,65.27,42730,1658505600000
65.28,65.25,65.28,65.25,87579,1658509200000
65.25,65.24,65.26,65.24,59229,1658512800000
65.24,65.275,65.28,65.24,128410,1658516400000
65.21,65.18,65.22,65.18,238302,1658757600000
65.18,65.195,65.21,65.175,196359,1658761200000
65.195,65.18,65.2,65.175,144475,1658764800000
65.18,65.195,65.2,65.18,122918,1658768400000
65.195,65.205,65.21,65.19,91810,1658772000000
65.205,65.19,65.23,65.19,241317,1658775600000
65.27,65.27,65.29,65.26,173360,1658844000000
65.275,65.27,65.29,65.26,118446,1658847600000
65.275,65.285,65.29,65.26,126671,1658851200000
65.28,65.2925,65.3,65.27,178277,1658854800000
65.2925,65.295,65.3,65.29,113543,1658858400000
65.3,65.3,65.34,65.29,383147,1658862000000
