o,c,h,l,v,t
6.51,6.56,6.56,6.45,49354,1657720800000
6.555,6.55,6.565,6.5014,24722,1657724400000
6.55,6.575,6.58,6.545,22415,1657728000000
6.575,6.58,6.605,6.56,55766,1657731600000
6.58,6.57,6.58,6.54,46107,1657735200000
6.58,6.585,6.59,6.55,108294,1657738800000
6.445,6.435,6.445,6.395,33720,1657807200000
6.44,6.46,6.4652,6.42,28207,1657810800000
6.455,6.445,6.455,6.405,57388,1657814400000
6.44,6.43,6.4581,6.42,34856,1657818000000
6.44,6.475,6.5,6.44,27826,1657821600000
6.475,6.49,6.5,6.445,138231,1657825200000
6.45,6.6,6.61,6.45,54998,1657893600000
6.6,6.615,6.635,6.595,37114,1657897200000
6.615,6.65,6.6645,6.615,26642,1657900800000
6.65,6.66,6.68,6.65,26794,1657904400000
6.655,6.64,6.66,6.64,28766,1657908000000
6.645,6.64,6.66,6.605,125208,1657911600000
6.73,6.775,6.78,6.7204,25119,1658152800000
6.775,6.775,6.785,6.765,24918,1658156400000
6.775,6.735,6.7787,6.735,40508,1658160000000
6.74,6.725,6.76,6.725,33145,1658163600000
6.725,6.705,6.74,6.7,30926,1658167200000
6.705,6.75,6.75,6.7,141778,1658170800000
6.895,6.94,7,6.895,31787,1658239200000
6.95,6.99,6.99,6.94,36329,1658242800000
6.99,7.015,7.03,6.99,27606,1658246400000
7.02,7.075,7.085,7.01,62060,1658250000000
7.08,7.065,7.08,7.055,30147,1658253600000
7.0612,7.07,7.09,7.06,83514,1658257200000
7.06,7.135,7.135,7.06,53687,1658325600000
7.1308,7.13,7.1308,7.085,31373,1658329200000
7.135,7.11,7.15,7.1,33630,1658332800000
7.115,7.1,7.12,7.08,22818,1658336400000
7.105,7.135,7.14,7.095,26150,1658340000000
7.135,7.152,7.18,7.135,89499,1658343600000
7.07,7.04,7.075,6.995,29169,1658412000000
7.05,7.045,7.055,7.0092,18535,1658415600000
7.045,7.075,7.08,7.045,17008,1658419200000
7.07,7.015,7.075,7.005,28328,1658422800000
7.02,7.015,7.04,7,21579,1658426400000
7.015,7.08,7.09,7.015,66274,1658430000000
7.03,7.07,7.07,7.01,29680,1658498400000
