o,c,h,l,v,t
9.01,9.07,9.07,8.85,10561,1657720800000
9.07,9.0423,9.15,9.03,5010,1657724400000
9.06,9.03,9.06,9.01,2485,1657728000000
9.06,9.04,9.065,9.02,2130,1657731600000
9.05,9.04,9.05,8.99,5428,1657735200000
9.06,9.02,9.06,8.97,6544,1657738800000
8.76,8.72,8.7701,8.7,6300,1657807200000
8.78,8.7901,8.8,8.75,8791,1657810800000
8.81,8.7,8.81,8.7,6548,1657814400000
8.7453,8.74,8.7453,8.74,548,1657818000000
8.7625,8.81,8.81,8.7625,2736,1657821600000
8.8,8.78,8.8,8.77,6190,1657825200000
8.61,8.61,8.66,8.59,2594,1657893600000
8.7,8.69,8.71,8.69,2301,1657897200000
8.71,8.73,8.73,8.71,4722,1657900800000
8.74,8.72,8.78,8.72,3455,1657904400000
8.71,8.785,8.785,8.71,4064,1657908000000
8.8,8.83,8.84,8.79,8005,1657911600000
9.31,9.41,9.41,9.29,13804,1658152800000
9.41,9.375,9.41,9.3,5440,1658156400000
9.38,9.41,9.429,9.38,5176,1658160000000
9.41,9.36,9.43,9.36,9003,1658163600000
9.34,9.32,9.35,9.32,7079,1658167200000
9.32,9.36,9.36,9.28,30391,1658170800000
9.2858,9.34,9.3423,9.28,3948,1658239200000
9.37,9.55,9.57,9.37,24543,1658242800000
9.5417,9.6089,9.66,9.505,24948,1658246400000
9.6234,9.5612,9.6234,9.56,3084,1658250000000
9.59,9.52,9.5992,9.52,5079,1658253600000
9.5345,9.54,9.55,9.49,17190,1658257200000
9.23,9.36,9.36,9.21,10318,1658325600000
9.36,9.31,9.36,9.25,25934,1658329200000
9.31,9.21,9.35,9.21,6794,1658332800000
9.2162,9.1643,9.2162,9.1643,8714,1658336400000
9.16,9.1746,9.203,9.14,2433,1658340000000
9.14,9.13,9.14,9.1,16014,1658343600000
9.07,9.0114,9.07,8.97,11676,1658412000000
9.0339,9.014,9.0339,9.01,2134,1658415600000
9.03,9.045,9.0594,9.025,1422,1658419200000
9.045,9.058,9.058,9.01,2901,1658422800000
9.0317,9.02,9.04,9.02,948,1658426400000
9.04,9.09,9.09,9.01,10384,1658430000000
9.01,9.02,9.02,8.99,3416,1658498400000
9.03,8.9301,9.03,8.93,4622,1658502000000
8.95,8.95,8.98,8.94,4346,1658505600000
8.95,8.8988,8.95,8.87,3569,1658509200000
8.89,8.88,8.89,8.86,4383,1658512800000
8.9,8.9416,8.96,8.9,6656,1658516400000
9.16,9.0839,9.16,9.0547,4793,1658757600000
9.1135,9.13,9.16,9.08,3623,1658761200000
9.12,9.17,9.185,9.1,15032,1658764800000
9.17,9.21,9.22,9.16,8983,1658768400000
9.24,9.2,9.26,9.2,4845,1658772000000
9.2,9.21,9.23,9.14,22413,1658775600000
9.17,9.14,9.17,9.0437,24121,1658844000000
9.12,9.16,9.17,9.1,18684,1658847600000
9.16,9.16,9.25,9.16,27671,1658851200000
9.1896,9.185,9.1896,9.14,1690,1658854800000
9.17,9.11,9.17,9.11,1677,1658858400000
9.1099,9.1,9.2,9.09,12647,1658862000000
9.15,9.2,9.21,9.15,2409,1658930400000
9.18,9.23,9.25,9.18,2480,1658934000000
9.221,9.23,9.23,9.221,364,1658937600000
9.21,9.22,9.23,9.21,1750,1658941200000
9.22,9.29,9.3,9.19,5827,1658944800000
9.3,9.29,9.36,9.26,12957,1658948400000
9.36,9.3,9.36,9.14,13873,1659016800000
9.32,9.32,9.35,9.3,6894,1659020400000
9.322,9.34,9.37,9.3163,14526,1659024000000
9.3438,9.38,9.3943,9.3438,4290,1659027600000
9.34,9.335,9.346,9.32,829,1659031200000
9.33,9.38,9.39,9.315,15793,1659034800000
9.15,9.17,9.17,9.1201,5415,1659103200000
9.16,9.16,9.16,9.15,2210,1659106800000
9.15,9.15,9.18,9.125,2339,1659110400000
9.16,9.26,9.26,9.146,6366,1659114000000
9.255,9.28,9.29,9.25,11301,1659117600000
9.295,9.3,9.32,9.28,7722,1659121200000
9.09,9.11,9.129,9.01,5484,1659362400000
9.1,8.8901,9.1,8.85,13242,1659366000000
8.9,8.9003,8.9181,8.86,3981,1659369600000
8.9,8.87,8.95,8.85,13583,1659373200000
8.86,8.93,8.93,8.83,21656,1659376800000
8.905,8.98,8.99,8.895,39405,1659380400000
8.7436,8.8192,8.82,8.71,7820,1659448800000
8.7779,8.95,9,8.7512,19484,1659452400000
8.95,8.95,9,8.95,16059,1659456000000
8.95,8.85,8.95,8.85,6610,1659459600000
8.86,8.8586,8.87,8.8586,960,1659463200000
8.85,8.91,8.91,8.78,11345,1659466800000
8.68,8.7,8.75,8.68,6475,1659535200000
8.7,8.7,8.74,8.6999,6267,1659538800000
8.7,8.82,8.82,8.7,12427,1659542400000
8.85,8.87,8.9,8.83,8788,1659546000000
8.8705,8.875,8.8996,8.85,8851,1659549600000
8.8765,8.84,8.904,8.83,16199,1659553200000
8.81,8.7644,8.83,8.7644,6805,1659621600000
8.7419,8.8,8.8,8.7419,4200,1659625200000
8.83,8.83,8.87,8.82,3060,1659628800000
8.83,8.84,8.85,8.83,2101,1659632400000
8.86,8.86,8.88,8.84,3519,1659636000000
8.84,8.78,8.846,8.75,14304,1659639600000
8.88,8.99,8.99,8.88,10107,1659708000000
8.97,8.96,8.97,8.91,3023,1659711600000
8.96,9.03,9.04,8.96,9814,1659715200000
9.05,9.04,9.06,9.04,2632,1659718800000
9.03,8.96,9.03,8.96,1785,1659722400000
8.97,9.02,9.02,8.9601,16497,1659726000000
9.04,9.0201,9.06,9.0201,2195,1659967200000
9.0353,8.9712,9.0353,8.945,3821,1659970800000
8.977,8.99,8.99,8.93,13797,1659974400000
8.98,8.975,8.9802,8.95,3307,1659978000000
8.96,8.88,8.97,8.88,16204,1659981600000
8.9,8.89,8.933,8.88,13700,1659985200000
8.88,8.98,9.01,8.88,4506,1660053600000
8.97,8.94,8.98,8.9241,10058,1660057200000
8.94,8.92,8.97,8.92,6108,1660060800000
8.95,8.93,8.95,8.92,1091,1660064400000
8.9437,8.94,8.9437,8.92,732,1660068000000
8.97,9,9.06,8.945,15076,1660071600000
9.0937,9.0601,9.0937,9.02,3474,1660140000000
9.0472,9,9.0584,8.9974,2063,1660143600000
9.03,9.035,9.05,8.99,7541,1660147200000
9.0485,9.08,9.08,9.04,554,1660150800000
9.09,9.06,9.09,9.06,2097,1660154400000
9.08,9.13,9.19,9.08,26061,1660158000000
9.32,9.3566,9.39,9.32,11976,1660226400000
9.3572,9.23,9.3572,9.23,13541,1660230000000
9.2348,9.255,9.26,9.23,3092,1660233600000
9.24,9.26,9.27,9.24,1557,1660237200000
9.25,9.25,9.2578,9.21,5978,1660240800000
9.2217,9.18,9.2217,9.15,10083,1660244400000
8.99,8.945,8.995,8.85,88634,1660312800000
8.945,8.96,9,8.9019,49297,1660316400000
8.97,8.96,9.01,8.9201,37543,1660320000000
8.955,9.02,9.06,8.95,24477,1660323600000
9.02,9.01,9.07,8.99,43238,1660327200000
9.04,9.14,9.16,9.0144,58299,1660330800000
8.82,8.83,8.91,8.77,51071,1660572000000
8.85,8.88,8.88,8.82,11259,1660575600000
8.85,8.82,8.88,8.82,14685,1660579200000
8.8345,8.81,8.85,8.79,12559,1660582800000
8.8136,8.83,8.84,8.8,19525,1660586400000
8.83,8.86,8.87,8.81,48938,1660590000000
8.74,8.77,8.83,8.72,10354,1660658400000
8.7911,8.8,8.85,8.76,16596,1660662000000
8.78,8.79,8.8,8.73,13584,1660665600000
8.76,8.78,8.8,8.73,12491,1660669200000
8.8,8.77,8.8,8.72,31295,1660672800000
8.779,8.85,8.86,8.76,37764,1660676400000
8.9,8.91,8.9371,8.84,15494,1660744800000
8.89,8.855,8.93,8.82,10818,1660748400000
8.855,8.86,8.91,8.81,18120,1660752000000
8.86,8.81,8.86,8.8,10630,1660755600000
8.83,8.82,8.87,8.8,13068,1660759200000
8.82,8.89,8.89,8.77,34089,1660762800000
8.74,8.74,8.7947,8.71,10505,1660831200000
8.7583,8.78,8.83,8.73,14660,1660834800000
8.78,8.74,8.81,8.74,9086,1660838400000
8.77,8.79,8.82,8.74,7376,1660842000000
8.78,8.78,8.79,8.74,10706,1660845600000
8.78,8.76,8.82,8.73,50856,1660849200000
8.75,8.8,8.83,8.75,25042,1660917600000
8.78,8.775,8.81,8.74,23859,1660921200000
8.765,8.65,8.765,8.64,27767,1660924800000
8.64,8.63,8.66,8.61,36066,1660928400000
