o,c,h,l,v,t
26.405,26.405,26.495,26.27,254317,1657720800000
26.405,26.48,26.51,26.39,197396,1657724400000
26.48,26.74,26.74,26.465,287003,1657728000000
26.735,26.655,26.74,26.59,212270,1657731600000
26.65,26.725,26.76,26.57,514227,1657735200000
26.725,26.53,26.74,26.52,559255,1657738800000
26.25,26.3,26.305,26,337765,1657807200000
26.3,26.38,26.41,26.26,282684,1657810800000
26.38,26.4,26.45,26.35,165497,1657814400000
26.4,26.425,26.465,26.35,191507,1657818000000
26.425,26.485,26.53,26.425,211969,1657821600000
26.485,26.4,26.525,26.34,631052,1657825200000
26.39,26.485,26.52,26.245,277581,1657893600000
26.48,26.49,26.515,26.44,148720,1657897200000
26.48,26.24,26.5,26.22,173144,1657900800000
26.245,26.165,26.315,26.16,182268,1657904400000
26.16,26.195,26.26,26.14,217778,1657908000000
26.19,26.07,26.195,25.99,734558,1657911600000
26.42,26.47,26.56,26.31,314641,1658152800000
26.47,26.42,26.495,26.405,268119,1658156400000
26.42,26.485,26.55,26.38,229369,1658160000000
26.485,26.45,26.55,26.41,375290,1658163600000
26.44,26.395,26.5,26.37,323317,1658167200000
26.39,26.31,26.47,26.25,918294,1658170800000
26.575,26.43,26.7,26.38,447236,1658239200000
26.44,26.515,26.525,26.37,288690,1658242800000
26.515,26.585,26.67,26.45,329904,1658246400000
26.585,26.525,26.61,26.49,228863,1658250000000
26.525,26.495,26.54,26.455,346996,1658253600000
26.495,26.5,26.58,26.42,942800,1658257200000
26.58,26.895,26.905,26.55,205716,1658325600000
26.892,26.88,26.895,26.77,333370,1658329200000
26.88,26.7,26.88,26.67,422325,1658332800000
26.69,26.695,26.705,26.555,229693,1658336400000
26.7,26.73,26.785,26.64,444219,1658340000000
26.72,26.85,26.92,26.69,841494,1658343600000
26.64,26.23,26.65,26.14,355043,1658412000000
26.23,26.205,26.35,26.155,524208,1658415600000
26.2,26.39,26.45,26.18,177230,1658419200000
26.4,26.38,26.46,26.35,167484,1658422800000
26.38,26.35,26.435,26.315,200652,1658426400000
26.355,26.35,26.45,26.31,625395,1658430000000
26.445,26.475,26.565,26.415,300595,1658498400000
26.475,26.42,26.48,26.2917,387960,1658502000000
26.43,26.445,26.61,26.41,241860,1658505600000
