o,c,h,l,v,t
63.805,63.97,64.01,62.75,78829,1657720800000
63.98,63.57,64.26,63.47,50590,1657724400000
63.58,63.71,63.88,63.55,107842,1657728000000
63.72,64.01,64.09,63.64,50571,1657731600000
63.95,64.18,64.2,63.62,67688,1657735200000
64.185,63.8,64.2,63.8,177484,1657738800000
62.33,62.13,62.44,62.01,33754,1657807200000
62.18,62.66,62.76,62.07,33714,1657810800000
62.7,62.14,62.7,61.98,17642,1657814400000
62.05,62.37,62.44,61.96,18678,1657818000000
62.35,62.785,62.98,62.35,28418,1657821600000
62.81,62.92,62.96,62.62,89269,1657825200000
63.02,63.74,63.91,62.99,28403,1657893600000
63.79,63.93,64,63.71,26764,1657897200000
63.8892,64,64.045,63.78,26902,1657900800000
64.07,64.06,64.29,64.004,28753,1657904400000
64.06,63.955,64.08,63.91,27315,1657908000000
63.93,63.96,64.04,63.77,88772,1657911600000
64.52,64.39,64.77,64.3,32537,1658152800000
64.375,64.29,64.47,64.18,30886,1658156400000
64.27,63.98,64.27,63.85,30189,1658160000000
63.99,63.82,64.12,63.82,29262,1658163600000
63.82,63.54,63.86,63.525,31812,1658167200000
63.55,63.22,63.68,63.025,104209,1658170800000
65.38,65.89,66.05,65.38,56354,1658239200000
65.9,66.01,66.1,65.765,29882,1658242800000
66.075,66.04,66.22,65.89,41345,1658246400000
66.06,66.41,66.41,65.9719,38972,1658250000000
66.41,66.235,66.49,66.19,35241,1658253600000
66.25,66.43,66.51,66.085,100973,1658257200000
66.32,67.32,67.42,66.32,58804,1658325600000
67.33,67.02,67.47,67.01,49037,1658329200000
67.05,67.03,67.34,66.72,41990,1658332800000
66.99,66.94,67.24,66.83,45343,1658336400000
66.96,67.42,67.43,66.96,50965,1658340000000
67.4,67.22,67.55,67.22,156330,1658343600000
67.25,67.31,67.34,66.7,44789,1658412000000
67.26,67.59,67.82,67.255,67278,1658415600000
67.59,67.59,67.82,67.55,46575,1658419200000
67.5899,67.49,67.62,67.24,57826,1658422800000
67.5,67.61,67.76,67.47,46807,1658426400000
67.605,68.05,68.06,67.56,118853,1658430000000
67.86,68.165,68.26,67.73,71839,1658498400000
68.19,67.96,68.335,67.87,33614,1658502000000
68.09,67.65,68.1,67.65,39401,1658505600000
67.64,67.4,67.74,67.27,38142,1658509200000
67.36,67.36,67.45,67.18,41799,1658512800000
67.32,67.51,67.59,67.32,138046,1658516400000
67.72,68.09,68.17,67.61,56609,1658757600000
68.08,68.2,68.33,68.055,29739,1658761200000
68.22,68.275,68.3006,67.98,18355,1658764800000
68.35,68.2884,68.42,68.2,26650,1658768400000
68.23,68.2,68.41,68.2,26933,1658772000000
68.27,68.67,68.85,68.145,128860,1658775600000
69.39,69.59,69.685,69.27,92901,1658844000000
69.62,69.15,69.64,69.1,51265,1658847600000
69.145,69.41,69.49,69.075,52516,1658851200000
69.42,69.4,69.55,69.34,36671,1658854800000
69.4,69.405,69.51,69.2175,58474,1658858400000
69.4,69.27,69.53,69.15,130604,1658862000000
69.59,69.56,69.745,69.3629,55697,1658930400000
69.68,69.655,69.74,69.485,35769,1658934000000
69.66,69.47,69.68,69.32,23100,1658937600000
69.49,69.47,69.56,69.355,51122,1658941200000
69.5,69.91,70,69.28,46228,1658944800000
69.96,69.99,70.52,69.885,132128,1658948400000
70.635,71.32,71.32,70.32,51220,1659016800000
71.31,71.955,72.16,71.3,76695,1659020400000
71.93,71.64,71.96,71.54,35401,1659024000000
71.63,72.26,72.27,71.59,44312,1659027600000
72.13,71.855,72.16,71.81,31467,1659031200000
71.87,71.97,72.13,71.83,133121,1659034800000
72.02,72.04,72.28,71.95,42761,1659103200000
72.03,71.95,72.22,71.94,35360,1659106800000
71.94,71.965,72.0355,71.81,34874,1659110400000
71.99,72.24,72.255,71.79,36794,1659114000000
72.24,72.18,72.27,72.07,42847,1659117600000
72.22,72.01,72.365,71.96,160481,1659121200000
71.14,72.49,72.51,70.87,95241,1659362400000
72.52,72.14,72.66,72.06,85753,1659366000000
72.04,72.365,72.67,71.935,46816,1659369600000
72.31,71.87,72.5,71.81,36820,1659373200000
71.88,72.26,72.31,71.82,44904,1659376800000
72.2,71.78,72.27,71.67,131527,1659380400000
71.13,71.7,71.89,71.1,48055,1659448800000
71.71,71.63,71.79,71.52,39595,1659452400000
71.66,72.03,72.095,71.64,31345,1659456000000
72,71.6,72,71.37,43188,1659459600000
71.6,71.74,72.025,71.57,41505,1659463200000
71.77,71.455,71.77,71.37,147170,1659466800000
71.535,71.54,71.89,71.45,25249,1659535200000
71.59,71.695,71.74,71.43,118290,1659538800000
71.7,71.57,71.77,71.52,52887,1659542400000
71.61,71.6894,71.74,71.52,35885,1659546000000
71.68,71.585,71.825,71.51,79483,1659549600000
