o,c,h,l,v,t
270.72,273.1,273.77,268.2,473375,1657720800000
273.215,273.17,275.1,272.34,204574,1657724400000
273.31,274.12,274.18,272.49,112162,1657728000000
274.135,273.87,274.92,273.455,116057,1657731600000
273.86,273.82,273.86,272.215,139231,1657735200000
273.89,272.05,273.89,271.95,284353,1657738800000
263.81,262.98,268.51,261.77,432514,1657807200000
263.02,267.38,267.41,263.02,175489,1657810800000
267.35,265.78,267.62,265.13,119588,1657814400000
265.77,267.2,267.45,265.4,108912,1657818000000
267.27,268.875,269.28,267.17,125811,1657821600000
268.8,268.6,269.53,268.25,328417,1657825200000
268.41,270.69,271.41,268.29,277306,1657893600000
270.72,271.39,272.08,270.291,166276,1657897200000
271.46,271.205,271.67,270.78,107835,1657900800000
271.25,271.64,272.11,271.18,100421,1657904400000
271.61,270.83,271.645,270.39,128103,1657908000000
270.84,271.43,271.52,270.485,324454,1657911600000
274.96,273.9115,275.27,273.46,221825,1658152800000
273.8,274.685,274.784,273.3,164287,1658156400000
274.64,272.915,274.87,272.815,109823,1658160000000
272.885,270.725,272.885,270.7,141105,1658163600000
270.72,270.235,271.31,270.175,138761,1658167200000
270.15,268.66,270.68,267.99,302502,1658170800000
274.67,277.49,277.58,274.3,200248,1658239200000
277.58,277.5,278.26,276.64,156431,1658242800000
277.48,278.86,278.92,276.345,186572,1658246400000
278.8,279.39,279.41,277.75,172237,1658250000000
279.29,279.52,280.28,279.02,176719,1658253600000
279.52,279.96,280.5,279.19,422425,1658257200000
280.12,282.64,282.64,279.53,183876,1658325600000
282.73,283.44,283.66,281.83,191571,1658329200000
283.49,281.3,283.55,280.8771,117274,1658332800000
281.25,279.66,281.425,279.46,144200,1658336400000
279.55,280.8,281.03,279.465,146930,1658340000000
280.75,281.73,282.245,280.74,332907,1658343600000
283.36,285.06,285.11,282.305,185408,1658412000000
285,286.04,286.1899,284.38,195509,1658415600000
285.96,287.8099,287.89,285.9,136096,1658419200000
287.83,287.35,287.92,286.5,106474,1658422800000
287.36,286.7,288.23,286.15,164850,1658426400000
286.63,287.91,288.21,286.6,287839,1658430000000
289.85,289.9272,290.31,287.5,194867,1658498400000
289.825,288.44,290.07,287.71,215016,1658502000000
288.535,287.17,288.85,286.87,82756,1658505600000
286.96,286.78,287.19,285.8,93982,1658509200000
286.825,287.43,287.62,286.07,139830,1658512800000
287.36,288.22,288.24,286.93,350856,1658516400000
286.88,287.94,288.63,286,168209,1658757600000
287.92,288.58,288.72,286.77,106911,1658761200000
288.45,288.61,289.0281,287.6306,116260,1658764800000
288.675,287.37,289,287.33,88267,1658768400000
287.355,287.5,287.99,287.21,129601,1658772000000
287.4,289.12,289.56,287.09,374968,1658775600000
285.86,286.173,286.205,284.25,187815,1658844000000
286.18,284,286.55,283.83,169695,1658847600000
283.96,285.75,285.835,283.66,146010,1658851200000
285.66,285.9,286.04,285.2,154292,1658854800000
285.91,284.3,286.35,284.08,220582,1658858400000
284.28,285.1,285.59,283.99,399069,1658862000000
291.12,292.575,292.77,290.9,156659,1658930400000
292.605,293.54,293.72,292.11,169345,1658934000000
293.44,293.485,294.3888,293.405,134206,1658937600000
293.49,294.25,294.63,292.5121,138575,1658941200000
294.35,296.74,297.15,293.57,344268,1658944800000
296.755,297.35,299.51,296.6145,400473,1658948400000
296.95,298.72,298.74,294.7657,165272,1659016800000
298.65,300.45,301.44,298.59,243150,1659020400000
300.76,301.77,302.34,300.51,220593,1659024000000
301.7332,304.215,304.37,301.0975,177898,1659027600000
304.14,304.11,304.31,303.3,172005,1659031200000
304.155,303.54,304.5,303.34,384911,1659034800000
305.6,305.45,307.76,304.98,219578,1659103200000
305.47,304.15,305.53,303.07,195031,1659106800000
304.12,305.67,305.81,304.12,90162,1659110400000
305.65,305.195,305.73,304.58,99123,1659114000000
305.22,305.44,306.09,304.87,121479,1659117600000
305.47,306.48,307.42,305.435,382790,1659121200000
303.6,306.435,306.44,301.88,219317,1659362400000
306.425,305.59,306.78,305.285,122060,1659366000000
305.5975,304.66,305.5975,304.19,125630,1659369600000
304.67,304.06,304.74,302.96,119496,1659373200000
304,305.15,305.415,303.38,114974,1659376800000
305.1,304.59,305.18,304.29,227929,1659380400000
301.145,302.47,303.59,299.58,197676,1659448800000
302.53,303.85,304.19,302.335,126202,1659452400000
303.945,306.265,306.58,303.71,131616,1659456000000
306.22,303.765,306.22,303.24,138872,1659459600000
303.76,303.52,304.67,303.27,104748,1659463200000
303.58,302.66,303.875,302.22,390612,1659466800000
304.71,304.645,305.83,302.08,165083,1659535200000
304.75,306.92,306.92,304.74,104461,1659538800000
306.8533,308.61,308.88,306.58,136116,1659542400000
308.48,308.38,308.94,308.0421,96464,1659546000000
308.28,308.59,308.95,308.055,81304,1659549600000
308.5,308.06,309.41,308.02,324190,1659553200000
309.14,308.72,309.655,307.535,356749,1659621600000
308.725,309.9,310.19,308.54,170573,1659625200000
309.78,309.27,310.19,308.99,99574,1659628800000
309.33,310.34,310.76,309.25,93754,1659632400000
310.32,309.96,310.66,309.4,90995,1659636000000
309.96,310.62,310.8075,309.84,283678,1659639600000
306.585,307.8354,308.84,306.545,231000,1659708000000
307.73,304.94,307.82,304.31,202089,1659711600000
304.84,307.49,307.49,304.84,144250,1659715200000
307.47,307.19,308.47,307,106585,1659718800000
307.12,307.19,307.56,306.675,130604,1659722400000
307.195,309.41,309.59,307.195,284772,1659726000000
312.11,311.77,312.81,311.4,164015,1659967200000
311.88,310.69,312.4091,309.57,135676,1659970800000
310.67,309.565,310.68,308.52,108005,1659974400000
309.45,310.34,310.48,309,116099,1659978000000
310.17,309.725,310.17,309.11,152979,1659981600000
309.73,310.13,310.6,309.32,225098,1659985200000
309.17,310.1247,311.06,308.1,181627,1660053600000
310.23,310.55,310.98,309.48,208117,1660057200000
310.48,310.01,311.08,309.64,136359,1660060800000
310.185,310.46,310.63,309.25,154375,1660064400000
310.38,310.31,310.89,309.41,128219,1660068000000
310.31,309.84,310.52,309.34,248356,1660071600000
317.11,316.295,317.11,314.995,163036,1660140000000
316.38,316.405,317.77,315.75,145753,1660143600000
316.37,315.29,316.51,314.92,133349,1660147200000
315.32,314.92,315.34,314.45,128498,1660150800000
314.94,314.88,315.75,314.82,101345,1660154400000
314.72,316.26,316.7393,314.72,363154,1660158000000
318.35,318.3028,319.865,317.91,154376,1660226400000
318.23,315.75,318.2846,315.24,213304,1660230000000
315.62,316.05,316.22,314.52,163192,1660233600000
316.16,316.4,316.77,315.96,87160,1660237200000
316.31,314.516,316.34,314.07,79778,1660240800000
314.465,314.45,314.91,313.79,230572,1660244400000
316,316.6575,317.39,314.99,197653,1660312800000
316.66,317.28,317.99,316.4,119597,1660316400000
317.26,318.82,318.89,317.1173,101877,1660320000000
318.85,318.8,319.36,318.68,127963,1660323600000
318.82,319.39,319.46,318.76,195506,1660327200000
319.37,320.32,320.94,319.3314,500888,1660330800000
320.22,318.78,320.3257,318.26,165034,1660572000000
318.89,319.515,319.587,318.045,228550,1660575600000
319.52,320.805,320.96,319.1375,67343,1660579200000
320.815,320.4,320.88,320,56121,1660582800000
320.445,320.58,320.675,320.225,87226,1660586400000
320.58,320.36,320.88,320.1,196791,1660590000000
318.8,319.43,319.895,318.37,212138,1660658400000
319.3747,321.26,321.34,319.3747,155592,1660662000000
321.16,320.77,321.16,320.11,127011,1660665600000
320.74,322.37,322.42,320.565,113114,1660669200000
322.295,320.48,322.88,319.678,113255,1660672800000
320.545,320.78,321.71,319.84,362599,1660676400000
320.18,318.72,320.33,318.11,174713,1660744800000
318.61,316.36,319.62,316.36,242982,1660748400000
316.41,317.58,318.46,315.625,204235,1660752000000
317.58,317.3775,317.96,316.9,82689,1660755600000
317.42,318.495,319.6,317.22,143651,1660759200000
318.4,318.44,319.03,317.6,259789,1660762800000
316.7,317.535,317.98,316.45,171964,1660831200000
317.41,319.43,320.01,317.396,143404,1660834800000
319.3,318.21,319.89,318.055,95087,1660838400000
318.22,318.51,319.42,318.13,106311,1660842000000
318.58,319.8695,320.18,318.52,96056,1660845600000
319.85,319.47,320.86,319.05,338578,1660849200000
314.78,314.39,315.57,314.25,203059,1660917600000
314.46,315.32,315.465,313.5712,191381,1660921200000
315.235,316.67,316.9199,315.13,91624,1660924800000
316.545,315.89,316.86,315.26,116612,1660928400000
315.83,315.22,315.95,315.04,119503,1660932000000
315.16,315.22,315.905,314.52,392180,1660935600000
312.46,308.72,312.5,308.62,197213,1661176800000
308.75,309.09,309.67,308.51,148592,1661180400000
309.13,310.446,310.446,308.79,139252,1661184000000
310.55,309.3417,310.62,309.18,142280,1661187600000
309.36,309.35,309.75,308.87,110709,1661191200000
309.34,310.17,310.35,309.24,382916,1661194800000
309.14,308.38,311.27,308.33,160209,1661263200000
308.48,308.225,309.14,307.69,125385,1661266800000
308.27,307.98,308.35,306.8,106040,1661270400000
307.99,307.745,308.59,307.42,90507,1661274000000
307.7,307.77,308.41,307.34,118874,1661277600000
307.89,306.63,308.375,306.5,260672,1661281200000
304.8,306.66,307,303.915,282408,1661349600000
306.67,307.35,307.98,305.76,201540,1661353200000
307.35,304.78,307.43,304.63,128261,1661356800000
304.865,304.5,305.11,304.03,143568,1661360400000
304.55,304.24,304.91,303.86,128649,1661364000000
304.3,306.38,306.78,304.07,376094,1661367600000
308.32,309.96,310.69,308.13,214683,1661436000000
309.78,308.155,310.1,307.77,145752,1661439600000
308.29,307.27,308.29,306.93,206239,1661443200000
307.1705,307.61,307.65,306.67,232857,1661446800000
307.58,307.67,307.74,307.03,179123,1661450400000
307.83,309.92,309.95,307.48,326875,1661454000000
309.32,303.81,309.91,303.79,184938,1661522400000
303.685,303.3,304.17,302.35,145109,1661526000000
303.3454,302.83,303.395,301.8129,106013,1661529600000
302.74,301.815,302.95,301.7,88309,1661533200000
301.88,300.315,302.05,299.95,133571,1661536800000
300.355,298.23,300.7,298,443063,1661540400000
295.05,294.47,296.58,293.64,218061,1661781600000
294.52,295.9,296.035,294.52,163401,1661785200000
295.96,297.24,297.5802,295.85,150776,1661788800000
297.285,296.99,297.87,296.42,173742,1661792400000
297.01,296.91,297.03,295.97,153035,1661796000000
296.95,295.05,297.57,294.99,373643,1661799600000
295.05,291.25,297.54,289.775,249558,1661868000000
291.25,291.44,292.04,290.54,201039,1661871600000
291.53,291.78,292.54,291.105,113473,1661875200000
291.8,290.94,292.08,289.67,102307,1661878800000
291.05,291.625,291.78,290.4133,108608,1661882400000
291.81,292.49,293.245,291.6,327736,1661886000000
294.5,291.71,294.65,291.6455,241135,1661954400000
291.87,292.26,292.42,290.5,118683,1661958000000
292.2608,290.525,292.42,290.14,113729,1661961600000
290.51,289.28,290.585,288.68,177961,1661965200000
289.335,288.5,289.69,287.43,310800,1661968800000
288.58,288.5,290.41,288.33,513111,1661972400000
287.82,284.57,288.15,284.45,205250,1662040800000
284.61,286.05,287.06,284.13,188872,1662044400000
285.99,286.09,286.78,285.62,152502,1662048000000
286.09,287.79,288.63,286.005,159174,1662051600000
287.85,288.28,288.76,287.386,187366,1662055200000
288.22,288.51,289.03,287.555,576180,1662058800000
290.4,291.405,292.9,289.475,219280,1662127200000
291.5,292.17,292.27,291.32,183169,1662130800000
292.295,287.48,292.42,286.8,197745,1662134400000
287.39,284.2,287.39,284.11,394623,1662138000000
284.12,284.54,285.92,284.12,113178,1662141600000
284.59,284.36,285.827,282.82,373002,1662145200000
283.75,285.46,285.58,281.35,250400,1662472800000
285.33,285.98,286.22,284.34,323804,1662476400000
285.88,284.535,286.12,283.47,150172,1662480000000
284.46,283.94,284.48,282.292,181867,1662483600000
283.8,283.38,284.36,283.02,285503,1662487200000
283.37,283.54,284.39,282.87,520202,1662490800000
282.82,282.12,283.4,282.04,174370,1662559200000
282.145,283.075,283.73,281.66,385416,1662562800000
283.08,285.54,285.66,283,150279,1662566400000
285.44,286.63,286.88,285.03,169544,1662570000000
286.7151,287.275,287.56,286.0804,120021,1662573600000
287.28,286.88,288.04,286.44,320745,1662577200000
285.02,287,287.25,283.73,162417,1662645600000
287.18,287.27,288.1,287.07,187617,1662649200000
287.35,286.34,287.375,283.95,185081,1662652800000
286.3406,287.53,288.0884,285.72,105845,1662656400000
287.6906,287.15,288.205,286.88,108730,1662660000000
287.25,288.02,288.3,286.28,334277,1662663600000
290.8275,291.72,292.09,290.44,170007,1662732000000
291.74,290.435,291.95,290.095,281345,1662735600000
290.48,290.29,290.48,289.25,145135,1662739200000
290.3,290.97,291.31,290.11,147950,1662742800000
290.97,290.37,290.9783,289.97,182597,1662746400000
290.4,290.63,291.11,289.92,536729,1662750000000
295.415,295.75,296.8071,294.96,342361,1662991200000
295.74,294.01,295.74,293.53,142816,1662994800000
294.06,295.19,295.19,293.52,109624,1662998400000
295.21,296.08,296.25,294.71,113942,1663002000000
296.03,294.4,296.03,294.36,132276,1663005600000
294.46,295.33,295.33,294.05,368993,1663009200000
287.91,286.44,288.24,286.01,171501,1663077600000
286.43,285.38,286.7,285.32,156173,1663081200000
285.46,285.87,286.42,285.09,120289,1663084800000
285.99,286.02,286.96,285.6,109923,1663088400000
285.9175,284.26,286.02,283.91,176084,1663092000000
284.31,281.52,284.355,280.34,472505,1663095600000
281.23,280.71,281.47,278.72,378212,1663164000000
280.81,280.08,281.56,279.98,246383,1663167600000
280.036,280.02,280.61,279.212,213350,1663171200000
280.01,277.34,280.39,277.19,251912,1663174800000
277.295,277.08,277.78,276.66,192907,1663178400000
276.94,278.65,278.83,276.03,503675,1663182000000
279.99,275.6,280.49,275.29,189918,1663250400000
275.35,274.02,276.34,273.57,256788,1663254000000
274.03,275.16,275.16,273.59,173546,1663257600000
275.21,275.995,277.78,275.2,162688,1663261200000
