o,c,h,l,v,t
7.6,7.6337,7.64,7.6,8183,1657720800000
7.6361,7.64,7.64,7.63,6330,1657724400000
7.6483,7.65,7.65,7.6457,1660,1657728000000
7.65,7.66,7.6841,7.65,7448,1657731600000
7.655,7.64,7.655,7.64,2240,1657735200000
7.641,7.65,7.65,7.63,4472,1657738800000
7.6,7.58,7.6146,7.58,8984,1657807200000
7.5839,7.6,7.62,7.5839,13263,1657810800000
7.6121,7.6004,7.6121,7.6004,3250,1657814400000
7.605,7.605,7.61,7.605,9777,1657818000000
7.605,7.64,7.67,7.605,15125,1657821600000
7.6408,7.65,7.66,7.6408,13394,1657825200000
7.65,7.6998,7.7,7.65,11788,1657893600000
7.69,7.6956,7.7,7.69,5097,1657897200000
7.695,7.695,7.7,7.6912,26418,1657900800000
7.7,7.6901,7.7,7.6901,1925,1657904400000
7.7,7.6984,7.705,7.6963,5302,1657908000000
7.7,7.7,7.705,7.6963,5238,1657911600000
7.7499,7.73,7.75,7.71,14350,1658152800000
7.735,7.705,7.735,7.705,16523,1658156400000
7.7,7.72,7.7299,7.7,12528,1658160000000
7.72,7.7,7.72,7.7,6268,1658163600000
7.705,7.68,7.7076,7.68,12438,1658167200000
7.68,7.65,7.695,7.65,17606,1658170800000
7.7089,7.74,7.74,7.7,8767,1658239200000
7.74,7.7401,7.76,7.74,6989,1658242800000
7.7599,7.77,7.77,7.75,9545,1658246400000
7.77,7.81,7.81,7.77,17340,1658250000000
7.81,7.84,7.8499,7.81,22649,1658253600000
7.8318,7.85,7.85,7.83,15957,1658257200000
7.83,7.88,7.8928,7.81,13385,1658325600000
7.89,7.91,7.94,7.885,14014,1658329200000
7.91,7.9261,7.9399,7.91,7244,1658332800000
7.92,7.9,7.94,7.88,12611,1658336400000
7.9,7.93,7.94,7.9,11205,1658340000000
7.935,7.95,7.99,7.92,27106,1658343600000
7.9199,7.87,7.92,7.86,27547,1658412000000
7.88,7.895,7.9,7.88,3843,1658415600000
7.8909,7.9228,7.9228,7.8909,3363,1658419200000
7.93,7.9391,7.96,7.93,5565,1658422800000
7.9311,7.93,7.9407,7.93,3425,1658426400000
7.945,7.95,7.96,7.94,3715,1658430000000
7.9407,7.97,7.99,7.9407,6956,1658498400000
7.96,7.975,8.02,7.96,9815,1658502000000
7.9701,7.9999,8,7.97,22970,1658505600000
