o,c,h,l,v,t
12.53,12.46,12.55,12.36,160970,1657720800000
12.465,12.52,12.525,12.425,151322,1657724400000
12.54,12.52,12.605,12.47,104761,1657728000000
12.5208,12.525,12.559,12.49,89069,1657731600000
12.52,12.515,12.54,12.46,78093,1657735200000
12.515,12.48,12.5653,12.48,151776,1657738800000
12.315,12.3,12.36,12.28,55027,1657807200000
12.3,12.32,12.34,12.22,126561,1657810800000
12.318,12.165,12.318,12.14,31907,1657814400000
12.16,12.183,12.195,12.1391,36729,1657818000000
12.19,12.29,12.29,12.1829,55035,1657821600000
12.29,12.32,12.35,12.25,126775,1657825200000
12.3,12.46,12.4692,12.27,108759,1657893600000
12.46,12.525,12.525,12.41,107543,1657897200000
12.53,12.55,12.66,12.53,80639,1657900800000
12.56,12.505,12.6199,12.5,76027,1657904400000
12.505,12.5,12.53,12.49,56694,1657908000000
12.5,12.49,12.5091,12.47,121758,1657911600000
12.505,12.505,12.565,12.462,167535,1658152800000
12.49,12.52,12.525,12.445,71995,1658156400000
12.52,12.48,12.53,12.475,56236,1658160000000
12.485,12.505,12.555,12.485,108877,1658163600000
12.5,12.49,12.525,12.465,92313,1658167200000
12.48,12.47,12.5,12.445,98184,1658170800000
12.87,12.885,12.97,12.84,136954,1658239200000
12.885,12.965,12.97,12.87,123929,1658242800000
12.9653,13.03,13.03,12.955,117083,1658246400000
13.0398,12.94,13.05,12.92,144983,1658250000000
12.945,12.895,12.965,12.875,57588,1658253600000
12.89,12.84,12.9,12.83,177403,1658257200000
12.805,13.02,13.03,12.805,130139,1658325600000
13.01,13.055,13.075,13.0006,53383,1658329200000
13.055,13.06,13.09,13,43765,1658332800000
13.05,13.03,13.08,12.99,42183,1658336400000
13.04,13.045,13.09,13.025,41423,1658340000000
13.0457,13.01,13.0471,12.97,114158,1658343600000
12.92,12.945,12.945,12.84,131604,1658412000000
12.95,12.94,13,12.91,166236,1658415600000
12.94,12.925,12.97,12.9,137730,1658419200000
12.925,12.885,12.945,12.875,98486,1658422800000
12.89,12.8989,12.925,12.87,51157,1658426400000
12.895,12.99,13,12.88,182123,1658430000000
13.02,13.01,13.05,12.99,70412,1658498400000
13.015,13,13.05,12.98,61481,1658502000000
13.005,12.94,13.0091,12.94,41540,1658505600000
12.94,12.915,12.945,12.89,34447,1658509200000
12.91,12.92,12.955,12.885,93973,1658512800000
12.929,12.95,12.95,12.84,175388,1658516400000
13.04,13.0801,13.11,13.035,60569,1658757600000
13.0844,13.075,13.14,13.07,36769,1658761200000
13.07,13.105,13.13,13.054,33606,1658764800000
13.11,13.1,13.135,13.1,44941,1658768400000
13.1,13.07,13.15,13.06,313554,1658772000000
13.065,13.07,13.08,13.03,128907,1658775600000
13.05,13.07,13.09,12.98,57301,1658844000000
13.075,13.065,13.105,13.05,35635,1658847600000
13.065,13.155,13.18,13.065,25570,1658851200000
13.15,13.155,13.19,13.145,23567,1658854800000
13.155,13.19,13.2,13.155,23570,1658858400000
13.19,13.15,13.2,13.13,63006,1658862000000
13.24,13.25,13.27,13.11,68407,1658930400000
13.285,13.37,13.375,13.28,43238,1658934000000
13.36,13.35,13.3893,13.345,38872,1658937600000
13.345,13.36,13.375,13.3441,19123,1658941200000
13.36,13.405,13.44,13.31,40495,1658944800000
13.4086,13.46,13.52,13.4,77518,1658948400000
13.61,13.6488,13.71,13.6,60289,1659016800000
13.65,13.68,13.715,13.63,43343,1659020400000
13.665,13.65,13.69,13.61,38669,1659024000000
13.65,13.76,13.765,13.635,29977,1659027600000
13.75,13.8376,13.85,13.74,51321,1659031200000
13.84,13.86,13.895,13.83,135762,1659034800000
13.855,13.7725,13.8701,13.74,149884,1659103200000
13.7711,13.6699,13.81,13.65,106579,1659106800000
13.67,13.74,13.76,13.67,44607,1659110400000
13.75,13.8,13.92,13.75,141358,1659114000000
13.79,13.85,13.85,13.76,59611,1659117600000
13.835,13.7,13.835,13.66,171873,1659121200000
13.71,13.85,13.975,13.71,156459,1659362400000
13.8564,13.82,13.87,13.76,62020,1659366000000
13.82,13.89,13.9068,13.82,56288,1659369600000
13.88,13.875,13.93,13.85,44091,1659373200000
13.8762,13.9,13.92,13.865,34880,1659376800000
13.905,13.8,13.92,13.8,154073,1659380400000
13.52,13.455,13.58,13.455,67957,1659448800000
13.46,13.425,13.5001,13.425,62193,1659452400000
13.425,13.395,13.455,13.395,47715,1659456000000
13.39,13.38,13.399,13.335,59267,1659459600000
13.38,13.335,13.385,13.29,68400,1659463200000
13.34,13.21,13.35,13.2,159286,1659466800000
13.29,13.29,13.32,13.21,66062,1659535200000
13.289,13.285,13.29,13.21,29910,1659538800000
13.289,13.308,13.375,13.285,95075,1659542400000
13.31,13.36,13.3763,13.305,49903,1659546000000
13.36,13.3899,13.4,13.355,43991,1659549600000
13.39,13.37,13.43,13.36,166734,1659553200000
13.36,13.295,13.36,13.24,40015,1659621600000
13.29,13.335,13.345,13.2884,11887,1659625200000
13.335,13.38,13.42,13.33,58360,1659628800000
13.38,13.38,13.435,13.375,36561,1659632400000
13.38,13.38,13.425,13.37,37551,1659636000000
13.38,13.43,13.46,13.38,83704,1659639600000
13.39,13.35,13.39,13.31,28094,1659708000000
13.355,13.36,13.37,13.3045,65867,1659711600000
13.3601,13.38,13.4,13.35,11919,1659715200000
13.39,13.38,13.43,13.35,33583,1659718800000
13.385,13.39,13.41,13.365,31907,1659722400000
13.385,13.36,13.43,13.36,92371,1659726000000
13.57,13.7,13.71,13.55,70569,1659967200000
13.69,13.68,13.73,13.63,47387,1659970800000
13.69,13.68,13.71,13.63,21720,1659974400000
13.685,13.69,13.71,13.655,21124,1659978000000
13.685,13.64,13.685,13.63,27393,1659981600000
13.645,13.6,13.68,13.6,62483,1659985200000
13.45,13.47,13.47,13.405,33440,1660053600000
13.4601,13.47,13.5,13.43,38928,1660057200000
13.47,13.48,13.485,13.45,19251,1660060800000
13.475,13.5,13.5,13.46,15704,1660064400000
13.49,13.455,13.495,13.45,16906,1660068000000
13.455,13.52,13.53,13.44,109759,1660071600000
13.63,13.7,13.72,13.6,205127,1660140000000
