o,c,h,l,v,t
21.83,21.93,21.99,21.65,10096,1657720800000
21.935,21.96,21.99,21.855,11951,1657724400000
21.99,22.08,22.12,21.99,14013,1657728000000
22.085,22.07,22.14,22.02,9023,1657731600000
22.05,21.96,22.05,21.88,12741,1657735200000
21.97,21.99,22.045,21.92,34553,1657738800000
21.515,21.445,21.515,21.41,5971,1657807200000
21.46,21.36,21.46,21.27,11168,1657810800000
21.36,21.26,21.36,21.22,21478,1657814400000
21.26,21.22,21.275,21.195,6210,1657818000000
21.23,21.325,21.39,21.22,19181,1657821600000
21.33,21.34,21.39,21.24,34333,1657825200000
21.67,21.91,21.91,21.67,7046,1657893600000
21.94,22.04,22.045,21.93,12398,1657897200000
22.015,21.98,22.11,21.94,15830,1657900800000
21.975,21.925,21.995,21.92,18049,1657904400000
21.92,21.965,21.99,21.87,11113,1657908000000
21.965,21.97,22.005,21.94,33632,1657911600000
21.07,21.1596,21.1596,20.9388,22186,1658152800000
21.16,21.16,21.16,21.06,7659,1658156400000
21.165,21.055,21.2,21.055,4874,1658160000000
21.055,21.04,21.12,21.04,8578,1658163600000
21.03,20.99,21.06,20.97,10603,1658167200000
20.98,20.95,21.06,20.94,42180,1658170800000
21.5517,21.84,21.915,21.5517,10587,1658239200000
21.88,21.955,22.02,21.88,18842,1658242800000
21.94,21.95,22.02,21.91,10166,1658246400000
21.955,21.9,21.955,21.82,8519,1658250000000
21.91,21.83,21.92,21.785,9671,1658253600000
21.84,21.85,21.92,21.8,35028,1658257200000
21.64,21.85,21.89,21.64,4655,1658325600000
21.87,21.91,21.91,21.8,5465,1658329200000
21.885,21.74,21.95,21.715,9955,1658332800000
21.79,21.73,21.79,21.72,5784,1658336400000
21.73,21.94,21.94,21.73,10348,1658340000000
21.94,21.93,22,21.93,32000,1658343600000
21.86,21.73,21.86,21.54,8546,1658412000000
21.74,21.84,21.89,21.73,3404,1658415600000
21.88,21.95,21.95,21.83,2561,1658419200000
21.9,21.85,21.91,21.85,2025,1658422800000
21.87,21.89,21.95,21.87,4429,1658426400000
21.91,21.97,22.02,21.86,16504,1658430000000
21.89,21.975,21.99,21.82,4389,1658498400000
21.99,21.93,21.99,21.9,4446,1658502000000
21.96,21.98,22.03,21.92,4165,1658505600000
21.98,21.74,21.98,21.7,5462,1658509200000
21.73,21.77,21.8,21.73,3849,1658512800000
21.755,21.81,21.82,21.68,40729,1658516400000
22.2,22.335,22.335,22.14,11983,1658757600000
22.36,22.335,22.405,22.3,14976,1658761200000
22.335,22.375,22.39,22.255,18223,1658764800000
22.37,22.275,22.39,22.25,9291,1658768400000
22.255,22.26,22.28,22.22,11698,1658772000000
22.265,22.34,22.34,22.23,37241,1658775600000
22.45,22.43,22.495,22.38,7643,1658844000000
22.4,22.3,22.43,22.265,22879,1658847600000
22.33,22.39,22.405,22.295,19789,1658851200000
22.405,22.55,22.55,22.35,7288,1658854800000
22.52,22.45,22.54,22.36,13251,1658858400000
22.44,22.48,22.55,22.41,44821,1658862000000
22.72,22.51,22.72,22.51,11628,1658930400000
22.53,22.59,22.645,22.52,5569,1658934000000
22.56,22.56,22.64,22.55,5000,1658937600000
22.52,22.51,22.54,22.48,6880,1658941200000
22.51,22.59,22.69,22.405,15170,1658944800000
22.58,22.73,22.78,22.57,62560,1658948400000
22.89,22.75,22.96,22.7,16238,1659016800000
22.75,22.81,22.84,22.75,8949,1659020400000
22.8,22.73,22.86,22.73,14237,1659024000000
22.73,22.77,22.81,22.73,9183,1659027600000
22.78,22.8,22.81,22.73,12607,1659031200000
22.79,22.91,22.91,22.75,39281,1659034800000
22.96,22.91,23.01,22.85,13277,1659103200000
22.92,23.02,23.035,22.88,6205,1659106800000
23.01,22.85,23.035,22.81,9743,1659110400000
22.83,22.9,22.96,22.82,6511,1659114000000
22.86,22.97,23.075,22.85,20721,1659117600000
22.97,23.03,23.0525,22.93,77404,1659121200000
22.81,23.005,23.01,22.75,32738,1659362400000
23,22.97,23.02,22.8596,33713,1659366000000
22.93,23.15,23.165,22.93,19343,1659369600000
23.175,23.21,23.31,23.16,27919,1659373200000
23.2,23.28,23.34,23.11,44322,1659376800000
23.285,23.19,23.4,23.08,120737,1659380400000
24.17,24.3,24.47,24.17,51187,1659448800000
24.3,23.94,24.3,23.92,26850,1659452400000
23.955,23.93,24.07,23.86,31105,1659456000000
23.92,23.84,24,23.84,17267,1659459600000
23.92,24.16,24.17,23.92,15041,1659463200000
24.1675,24.27,24.33,24.01,74081,1659466800000
24.95,25.1875,25.38,24.91,27604,1659535200000
25.195,25.34,25.34,25.13,13175,1659538800000
25.34,25.16,25.3666,25.15,21592,1659542400000
25.175,24.935,25.19,24.85,30538,1659546000000
24.94,25.01,25.13,24.92,44365,1659549600000
25.02,25.08,25.12,24.99,66000,1659553200000
25.55,25.44,25.63,25.39,26666,1659621600000
25.48,25.5,25.585,25.41,25643,1659625200000
25.49,25.165,25.49,25.08,19638,1659628800000
25.16,25.24,25.25,25.16,30336,1659632400000
25.25,25.59,25.59,25.25,14913,1659636000000
25.63,25.52,25.6875,25.445,73964,1659639600000
25.75,25.94,25.94,25.7,25084,1659708000000
25.94,25.96,25.97,25.82,20428,1659711600000
25.96,26.14,26.26,25.96,26305,1659715200000
26.16,26.06,26.19,25.83,26384,1659718800000
26.09,26.21,26.25,26.05,32069,1659722400000
26.23,26.19,26.44,26.15,89159,1659726000000
26.43,26.02,26.51,26.02,17638,1659967200000
26.03,25.93,26.05,25.76,14084,1659970800000
25.94,25.79,25.94,25.76,9099,1659974400000
25.83,25.94,25.9899,25.83,9027,1659978000000
25.9,25.99,25.99,25.82,10965,1659981600000
26,25.94,26.1,25.89,45615,1659985200000
26.03,26.08,26.25,25.99,41396,1660053600000
26.11,26.02,26.11,26,40473,1660057200000
26.03,26.15,26.17,26.02,31059,1660060800000
26.17,26.1532,26.22,26.1,21279,1660064400000
26.2,26.04,26.28,26.02,44707,1660068000000
26.04,26.02,26.1,25.98,43104,1660071600000
26.82,26.6,26.82,26.38,71223,1660140000000
26.59,26.3,26.6,26.27,8130,1660143600000
26.33,26.71,26.83,26.33,60263,1660147200000
26.67,26.46,26.67,26.455,5943,1660150800000
26.44,26.395,26.495,26.395,7022,1660154400000
26.42,26.42,26.55,26.41,27912,1660158000000
26.79,26.77,26.97,26.66,26026,1660226400000
26.77,26.97,26.99,26.77,27635,1660230000000
26.97,26.94,27,26.84,15879,1660233600000
26.94,26.92,26.97,26.86,11522,1660237200000
26.91,26.8,27,26.69,25357,1660240800000
26.8,26.75,26.82,26.66,40784,1660244400000
26.71,26.67,26.86,26.65,7432,1660312800000
26.64,26.75,26.88,26.63,7588,1660316400000
26.73,26.65,26.78,26.65,6909,1660320000000
26.63,26.75,26.8,26.63,7546,1660323600000
26.76,26.8,26.81,26.74,5627,1660327200000
26.82,26.96,26.99,26.78,21915,1660330800000
26.805,26.5861,26.805,26.57,7509,1660572000000
26.6,26.75,26.79,26.59,6718,1660575600000
26.8,26.7,26.815,26.68,6502,1660579200000
26.75,26.73,26.77,26.68,5059,1660582800000
26.75,26.73,26.8,26.73,10244,1660586400000
26.74,26.75,26.83,26.66,62633,1660590000000
26.95,26.915,27.2,26.9,26541,1660658400000
26.95,27.08,27.08,26.94,10582,1660662000000
27.11,27.12,27.18,26.97,22192,1660665600000
27.15,27.37,27.38,27.13,7488,1660669200000
27.4,27.26,27.5,27.25,21312,1660672800000
27.26,27.44,27.47,27.25,80780,1660676400000
27.385,27.55,27.64,27.385,9915,1660744800000
27.565,27.55,27.66,27.51,8569,1660748400000
27.58,27.46,27.58,27.46,22955,1660752000000
27.51,27.5,27.55,27.47,10626,1660755600000
27.51,27.58,27.68,27.46,23106,1660759200000
27.6,27.64,27.66,27.55,34285,1660762800000
26.27,26.39,26.46,26.18,32046,1660831200000
26.38,26.3,26.44,26.16,31937,1660834800000
26.32,26.25,26.36,26.17,19198,1660838400000
26.25,26.49,26.58,26.24,14654,1660842000000
26.49,26.51,26.63,26.48,20108,1660845600000
26.51,26.5,26.55,26.35,69366,1660849200000
26.32,26.34,26.44,26.29,6100,1660917600000
26.28,26.4,26.4,26.22,3982,1660921200000
26.39,26.439,26.439,26.38,4437,1660924800000
26.435,26.38,26.435,26.33,5041,1660928400000
26.39,26.42,26.42,26.32,5218,1660932000000
26.38,26.46,26.5,26.32,21188,1660935600000
26.17,26.23,26.34,26.13,9654,1661176800000
26.25,26.21,26.275,26.2,9768,1661180400000
26.18,26.19,26.25,26.145,6266,1661184000000
26.2,26.15,26.22,26.12,6278,1661187600000
26.15,26.11,26.16,26.03,9114,1661191200000
26.11,26.13,26.15,26.04,27121,1661194800000
26.1925,26.18,26.285,26.18,10721,1661263200000
26.16,26.25,26.26,26.08,2974,1661266800000
26.27,26.26,26.27,26.165,5470,1661270400000
26.26,26.245,26.28,26.22,10545,1661274000000
26.21,26.26,26.285,26.21,5373,1661277600000
26.28,26.28,26.37,26.25,23297,1661281200000
26.27,26.29,26.32,26.14,9799,1661349600000
26.31,26.34,26.42,26.305,5392,1661353200000
26.3304,26.21,26.39,26.21,4847,1661356800000
