o,c,h,l,v,t
72.68,72.6219,72.68,72.33,36069,1657720800000
72.62,72.68,72.83,72.53,29239,1657724400000
72.71,72.79,72.94,72.71,32846,1657728000000
72.835,72.7301,73.02,72.545,52080,1657731600000
72.71,72.695,72.84,72.46,46762,1657735200000
72.69,72.08,72.71,72.06,144491,1657738800000
72.625,72.795,72.95,72.13,62179,1657807200000
72.83,72.86,73.15,72.71,29661,1657810800000
72.84,73.099,73.1,72.65,23160,1657814400000
73.1,73.14,73.2,72.85,35371,1657818000000
73.15,73.18,73.41,73.08,58430,1657821600000
73.19,73.44,73.56,73.08,136627,1657825200000
74.03,74.29,74.36,73.84,122492,1657893600000
74.29,74.76,74.87,74.185,98995,1657897200000
74.765,74.515,74.78,74.49,67374,1657900800000
74.515,74.51,74.66,74.39,67232,1657904400000
74.52,74.945,74.945,74.38,90923,1657908000000
74.94,74.77,74.958,74.67,260867,1657911600000
74.485,74.98,75.165,74.44,66635,1658152800000
74.95,74.67,75.2005,74.65,42290,1658156400000
74.67,74.75,74.97,74.62,58527,1658160000000
74.79,74.89,75.08,74.67,57655,1658163600000
74.88,74.7717,74.92,74.7401,49350,1658167200000
74.76,74.74,74.91,74.4,149652,1658170800000
75.335,75.445,75.7,75.33,72038,1658239200000
75.43,75.56,75.6,75.13,62181,1658242800000
75.57,75.65,75.82,75.55,57775,1658246400000
75.63,75.845,75.85,75.47,59820,1658250000000
75.845,76.03,76.08,75.845,51348,1658253600000
76.04,76.26,76.29,76.025,176636,1658257200000
75.435,76,76.025,75.39,47767,1658325600000
75.98,76.025,76.13,75.6739,38969,1658329200000
75.9957,75.96,76.11,75.785,52383,1658332800000
75.94,75.85,76.02,75.75,41431,1658336400000
75.86,76.555,76.605,75.86,147593,1658340000000
76.56,76.2,76.92,76.17,246349,1658343600000
75.92,75.46,75.96,75.33,51033,1658412000000
75.47,75.56,75.75,75.47,34412,1658415600000
75.54,75.64,75.71,75.49,39980,1658419200000
75.64,75.34,75.66,75.3,41907,1658422800000
75.34,75.52,75.72,75.34,51222,1658426400000
75.515,75.63,75.7,75.45,159611,1658430000000
76.07,76.205,76.42,76.07,36276,1658498400000
76.205,76.15,76.34,76.07,37561,1658502000000
76.16,76.01,76.28,75.95,37176,1658505600000
76.015,75.775,76.05,75.72,40622,1658509200000
75.79,75.73,75.8071,75.55,43823,1658512800000
75.7,76.23,76.23,75.643,176881,1658516400000
76.54,76.77,76.87,76.5,83536,1658757600000
76.79,77.14,77.17,76.72,50845,1658761200000
77.135,76.985,77.2,76.97,83668,1658764800000
