o,c,h,l,v,t
72.78,72.795,72.89,72,263883,1657720800000
72.8,72.64,73.205,72.54,209306,1657724400000
72.66,73.165,73.165,72.58,202288,1657728000000
73.172,73.085,73.3,72.92,117499,1657731600000
73.07,73.02,73.2354,72.725,188447,1657735200000
73.01,72.64,73.03,72.57,570511,1657738800000
70.9,70.39,70.9,70.02,436573,1657807200000
70.38,71.01,71.0129,70.24,633363,1657810800000
71.015,70.76,71.06,70.68,245886,1657814400000
70.755,71.33,71.35,70.74,225848,1657818000000
71.32,71.635,71.71,71.205,293944,1657821600000
71.65,71.7,71.92,71.485,547215,1657825200000
71.55,71.87,72.19,71.535,185002,1657893600000
71.83,71.6801,71.92,71.64,145193,1657897200000
71.6916,71.56,71.91,71.53,259759,1657900800000
71.55,71.595,71.84,71.55,157755,1657904400000
71.57,71.885,71.895,71.55,150907,1657908000000
71.87,71.99,72.118,71.84,512216,1657911600000
73.03,73.44,73.5,72.89,240078,1658152800000
73.435,73.17,73.435,72.91,185221,1658156400000
73.2,73.06,73.29,72.96,114009,1658160000000
73.05,73.02,73.285,73.02,180288,1658163600000
73.01,73.04,73.26,72.965,206610,1658167200000
73.02,72.53,73.27,72.35,484792,1658170800000
73.5,73.31,73.67,73.2,217671,1658239200000
73.325,73.45,73.46,73.16,234555,1658242800000
73.435,73.3401,73.49,73.135,135145,1658246400000
73.37,73.46,73.5201,73.3,104282,1658250000000
73.47,73.52,73.69,73.44,143860,1658253600000
73.5,73.76,74.03,73.435,486850,1658257200000
74.01,74.52,74.5599,73.54,227628,1658325600000
74.5,74.51,74.63,74.25,199377,1658329200000
74.49,74.43,74.57,74.16,161908,1658332800000
74.415,74.02,74.44,73.935,171448,1658336400000
74.03,74.32,74.4,73.83,191244,1658340000000
74.33,74.53,74.75,74.29,493730,1658343600000
74.15,73.87,74.21,73.38,166500,1658412000000
73.84,73.87,73.97,73.58,115317,1658415600000
73.83,74.17,74.22,73.825,87095,1658419200000
74.175,73.915,74.34,73.86,160060,1658422800000
73.92,73.66,73.94,73.555,207454,1658426400000
73.675,74.02,74.04,73.675,369861,1658430000000
73.69,74.6,74.63,73.575,169006,1658498400000
74.61,74.32,74.7,74.16,146685,1658502000000
74.32,74.1274,74.42,74.07,127341,1658505600000
74.12,73.575,74.12,73.475,125506,1658509200000
73.57,73.69,73.76,73.4,151586,1658512800000
73.7,73.84,73.87,73.58,333580,1658516400000
