o,c,h,l,v,t
9.71,10.005,10.1,9.65,101580,1657720800000
10.03,9.87,10.0522,9.78,95887,1657724400000
9.86,9.935,9.94,9.74,62269,1657728000000
9.94,9.88,9.97,9.79,55662,1657731600000
9.87,9.91,9.927,9.74,79027,1657735200000
9.92,9.89,9.94,9.82,202578,1657738800000
9.485,9.505,9.51,9.31,104285,1657807200000
9.52,9.56,9.56,9.41,90569,1657810800000
9.5638,9.46,9.58,9.395,69300,1657814400000
9.45,9.5,9.55,9.4,56711,1657818000000
9.49,9.605,9.64,9.49,78523,1657821600000
9.605,9.565,9.66,9.5,194761,1657825200000
9.13,9.13,9.19,9,207562,1657893600000
9.12,9.355,9.36,9.12,85402,1657897200000
9.355,9.45,9.485,9.355,62249,1657900800000
9.44,9.515,9.535,9.44,62910,1657904400000
9.52,9.4,9.525,9.37,95764,1657908000000
9.395,9.54,9.56,9.365,219952,1657911600000
9.8199,9.48,9.835,9.46,176228,1658152800000
9.48,9.425,9.55,9.42,113147,1658156400000
9.4299,9.38,9.455,9.365,157936,1658160000000
9.376,9.14,9.376,9.11,187107,1658163600000
9.15,9.01,9.16,8.96,133464,1658167200000
9.01,8.96,9.1,8.88,267697,1658170800000
9.19,9.18,9.29,8.96,117846,1658239200000
9.19,9.22,9.26,9.155,109033,1658242800000
9.24,9.15,9.26,9.12,46313,1658246400000
9.16,9.15,9.21,9.0874,69630,1658250000000
9.155,9.1,9.2,9.06,107582,1658253600000
9.1,9.195,9.22,9.075,462881,1658257200000
9.7,9.84,9.96,9.56,365084,1658325600000
9.85,9.83,9.88,9.73,93309,1658329200000
9.835,9.66,9.97,9.62,98457,1658332800000
9.66,9.56,9.66,9.48,93645,1658336400000
9.57,9.75,9.77,9.55,110197,1658340000000
9.74,9.61,9.8,9.59,206587,1658343600000
9.75,9.84,9.94,9.7301,167875,1658412000000
9.83,9.75,9.91,9.675,113494,1658415600000
9.75,9.64,9.8,9.63,75077,1658419200000
9.64,9.47,9.66,9.4,135152,1658422800000
9.47,9.525,9.56,9.46,150033,1658426400000
9.53,9.56,9.64,9.505,301585,1658430000000
9.25,8.87,9.25,8.87,269236,1658498400000
8.88,8.82,8.955,8.78,227493,1658502000000
8.82,8.68,8.88,8.68,96692,1658505600000
8.6811,8.6707,8.73,8.6,119584,1658509200000
8.67,8.665,8.7,8.61,181108,1658512800000
8.665,8.69,8.77,8.65,218928,1658516400000
8.545,8.6,8.68,8.48,128975,1658757600000
8.6,8.7475,8.76,8.5801,83948,1658761200000
8.745,8.76,8.775,8.675,85610,1658764800000
8.755,8.715,8.765,8.71,59845,1658768400000
8.715,8.6218,8.72,8.62,96366,1658772000000
8.625,8.74,8.75,8.56,229734,1658775600000
8.53,8.59,8.61,8.39,89232,1658844000000
8.59,8.635,8.64,8.565,67769,1658847600000
8.635,8.905,8.94,8.635,193985,1658851200000
8.9,8.94,8.95,8.87,81627,1658854800000
8.94,9,9.03,8.86,221637,1658858400000
9,8.89,9,8.85,381996,1658862000000
8.94,8.95,9.01,8.86,59751,1658930400000
8.96,8.91,8.98,8.87,63675,1658934000000
8.91,8.9,8.955,8.85,59356,1658937600000
8.9,8.975,8.985,8.88,58345,1658941200000
8.98,9.02,9.06,8.86,194904,1658944800000
9.02,9.06,9.095,8.96,320468,1658948400000
8.96,9.06,9.0888,8.75,86324,1659016800000
9.06,9.36,9.415,9.04,255825,1659020400000
9.355,9.22,9.38,9.22,74979,1659024000000
