o,c,h,l,v,t
6.53,6.615,6.62,6.47,134949,1657720800000
6.62,6.615,6.66,6.59,92717,1657724400000
6.619,6.625,6.655,6.6,143274,1657728000000
6.625,6.65,6.66,6.59,135280,1657731600000
6.645,6.675,6.675,6.625,83369,1657735200000
6.675,6.66,6.68,6.63,243919,1657738800000
6.61,6.575,6.62,6.555,167728,1657807200000
6.58,6.6,6.605,6.56,214241,1657810800000
6.6,6.545,6.605,6.54,95361,1657814400000
6.54,6.595,6.595,6.53,79443,1657818000000
6.595,6.585,6.605,6.58,172237,1657821600000
6.585,6.585,6.605,6.56,423017,1657825200000
6.65,6.745,6.75,6.65,126908,1657893600000
6.745,6.765,6.77,6.74,172757,1657897200000
6.765,6.815,6.82,6.76,83351,1657900800000
6.815,6.805,6.84,6.8,60529,1657904400000
6.8,6.81,6.82,6.79,79082,1657908000000
6.8,6.8,6.82,6.79,407446,1657911600000
6.9575,6.96,6.96,6.895,68864,1658152800000
6.96,6.985,6.99,6.95,81144,1658156400000
6.985,6.94,7,6.93,110612,1658160000000
6.945,6.9,6.975,6.9,102005,1658163600000
6.905,6.865,6.91,6.855,140766,1658167200000
6.865,6.85,6.88,6.83,371350,1658170800000
7.025,7.09,7.135,6.99,391150,1658239200000
7.09,7.145,7.15,7.06,176980,1658242800000
7.15,7.12,7.15,7.0825,141753,1658246400000
7.12,7.155,7.16,7.09,105778,1658250000000
7.16,7.13,7.17,7.1125,140871,1658253600000
7.125,7.11,7.15,7.1,374407,1658257200000
7.055,7.17,7.17,7.035,44219,1658325600000
7.165,7.18,7.18,7.115,57223,1658329200000
7.17,7.16,7.18,7.13,73182,1658332800000
7.155,7.1473,7.18,7.125,93004,1658336400000
7.15,7.195,7.2,7.15,94965,1658340000000
7.2,7.21,7.25,7.195,242281,1658343600000
7.2,7.15,7.22,7.075,188982,1658412000000
7.145,7.1385,7.16,7.1301,145989,1658415600000
7.1321,7.1599,7.16,7.1321,112687,1658419200000
7.155,7.145,7.1575,7.12,100458,1658422800000
7.145,7.145,7.16,7.13,127521,1658426400000
7.15,7.21,7.23,7.1425,235132,1658430000000
7.21,7.195,7.24,7.19,241245,1658498400000
7.1901,7.135,7.21,7.135,166357,1658502000000
7.14,7.12,7.15,7.11,115049,1658505600000
7.12,7.085,7.125,7.07,183960,1658509200000
7.08,7.07,7.085,7.055,213816,1658512800000
7.07,7.07,7.145,7.02,1766755.0,1658516400000
7.09,7.09,7.105,7.065,92433,1658757600000
7.085,7.075,7.1,7.055,76717,1658761200000
7.078,7.085,7.1,7.055,146337,1658764800000
7.09,7.05,7.095,7.03,97682,1658768400000
7.05,7.02,7.05,7.015,165412,1658772000000
7.015,7.05,7.06,7.005,381118,1658775600000
6.985,6.995,7.04,6.97,100321,1658844000000
6.995,6.95,7.01,6.95,80386,1658847600000
6.955,6.975,6.99,6.95,53954,1658851200000
6.98,7.005,7.015,6.9725,73470,1658854800000
7,6.97,7.03,6.9425,195508,1658858400000
6.965,6.9,6.98,6.89,635122,1658862000000
7,7.05,7.05,6.94,272938,1658930400000
7.05,7.075,7.08,7.035,168855,1658934000000
7.075,7.045,7.09,7.0449,114790,1658937600000
7.045,7,7.05,6.975,230643,1658941200000
7,7.085,7.1,6.97,397490,1658944800000
7.09,7.16,7.18,7.09,537994,1658948400000
7.15,7.14,7.19,7.105,102127,1659016800000
7.15,7.22,7.24,7.13,115973,1659020400000
7.2225,7.2,7.23,7.18,91639,1659024000000
7.195,7.255,7.27,7.19,100820,1659027600000
7.255,7.27,7.28,7.24,118210,1659031200000
7.27,7.29,7.3,7.265,335690,1659034800000
7.25,7.25,7.26,7.2,218728,1659103200000
7.255,7.245,7.26,7.19,175779,1659106800000
7.25,7.28,7.28,7.22,106971,1659110400000
7.28,7.295,7.3,7.27,105212,1659114000000
7.3,7.295,7.31,7.29,248727,1659117600000
7.295,7.3,7.32,7.29,417832,1659121200000
7.23,7.3,7.32,7.23,162364,1659362400000
7.31,7.3,7.32,7.275,263015,1659366000000
7.295,7.31,7.32,7.27,189460,1659369600000
7.31,7.245,7.32,7.24,143268,1659373200000
7.245,7.3,7.3,7.23,187265,1659376800000
7.295,7.23,7.305,7.23,563027,1659380400000
7.225,7.21,7.24,7.18,129953,1659448800000
7.215,7.215,7.23,7.18,102694,1659452400000
7.215,7.27,7.27,7.21,81484,1659456000000
7.2625,7.22,7.28,7.1925,100535,1659459600000
7.22,7.225,7.25,7.205,121217,1659463200000
7.225,7.21,7.24,7.19,424304,1659466800000
7.27,7.275,7.28,7.25,197800,1659535200000
7.275,7.275,7.285,7.25,335420,1659538800000
7.27,7.295,7.3,7.25,118258,1659542400000
7.295,7.33,7.33,7.295,180898,1659546000000
7.33,7.29,7.35,7.29,240063,1659549600000
7.295,7.3,7.34,7.29,917372,1659553200000
7.42,7.355,7.53,7.34,617418,1659621600000
7.36,7.475,7.48,7.33,375696,1659625200000
7.475,7.46,7.49,7.45,207527,1659628800000
7.455,7.54,7.55,7.45,268380,1659632400000
7.54,7.63,7.63,7.54,294409,1659636000000
7.625,7.695,7.76,7.62,1120437.0,1659639600000
7.89,8,8.03,7.885,484981,1659708000000
8.005,7.9,8.005,7.899,325450,1659711600000
7.91,7.995,8,7.905,497014,1659715200000
8,8.015,8.02,7.99,797057,1659718800000
8.015,8.005,8.0553,8,430731,1659722400000
8.005,8.005,8.02,7.9925,1167139.0,1659726000000
8.165,8.215,8.35,8.165,610739,1659967200000
8.21,8.17,8.22,8.145,219721,1659970800000
8.165,8.155,8.18,8.13,335419,1659974400000
8.155,8.155,8.1954,8.1401,284564,1659978000000
8.155,8.1325,8.16,8.13,327822,1659981600000
8.14,8.005,8.14,8,1056653.0,1659985200000
7.83,7.82,7.87,7.775,312380,1660053600000
7.825,7.835,7.885,7.8,269624,1660057200000
7.835,7.855,7.855,7.785,247543,1660060800000
7.85,7.85,7.86,7.81,194002,1660064400000
7.855,7.85,7.87,7.845,186917,1660068000000
7.855,7.86,7.885,7.84,764066,1660071600000
7.965,8.005,8.04,7.965,336924,1660140000000
8.01,8,8.035,7.99,230210,1660143600000
8.005,7.8025,8.02,7.795,602229,1660147200000
7.8,7.885,7.9,7.8,172244,1660150800000
7.88,7.885,7.895,7.85,160162,1660154400000
7.885,7.94,7.94,7.88,449013,1660158000000
7.99,7.98,8.035,7.98,215862,1660226400000
7.985,7.965,7.99,7.94,191154,1660230000000
7.965,8.025,8.03,7.96,149212,1660233600000
8.03,8.055,8.075,8.0235,137886,1660237200000
8.0509,8.05,8.08,8.04,123209,1660240800000
8.045,8.03,8.05,8.01,357461,1660244400000
8.11,8.095,8.14,8.06,204658,1660312800000
8.095,8.115,8.14,8.08,134419,1660316400000
8.115,8.125,8.13,8.11,58970,1660320000000
8.125,8.17,8.18,8.125,146897,1660323600000
8.17,8.23,8.23,8.155,244964,1660327200000
8.23,8.26,8.27,8.2275,480915,1660330800000
8.18,8.2,8.24,8.14,94042,1660572000000
8.2,8.265,8.28,8.2,104606,1660575600000
8.27,8.25,8.3,8.21,172117,1660579200000
8.245,8.23,8.28,8.22,142135,1660582800000
8.235,8.275,8.29,8.22,99230,1660586400000
8.275,8.27,8.29,8.26,349027,1660590000000
8.215,8.185,8.22,8.15,134250,1660658400000
8.175,8.255,8.26,8.175,71862,1660662000000
8.2539,8.27,8.275,8.245,72976,1660665600000
8.265,8.295,8.3,8.25,95760,1660669200000
8.295,8.235,8.3,8.203,182995,1660672800000
8.23,8.22,8.24,8.2,348778,1660676400000
8.115,8,8.14,8,184804,1660744800000
8,7.97,8.065,7.97,278176,1660748400000
7.97,7.98,8.02,7.95,187125,1660752000000
7.98,8.005,8.015,7.975,139826,1660755600000
8.005,8.045,8.105,8.005,239874,1660759200000
8.045,8,8.05,7.99,511030,1660762800000
7.935,7.96,7.995,7.925,237150,1660831200000
7.965,7.995,8,7.915,253196,1660834800000
8,7.905,8.01,7.895,136115,1660838400000
7.905,7.91,7.94,7.89,123893,1660842000000
7.9048,7.935,7.95,7.9,83604,1660845600000
7.93,7.96,7.98,7.93,417676,1660849200000
7.825,7.835,7.86,7.81,89850,1660917600000
7.83,7.84,7.865,7.795,151326,1660921200000
7.85,7.875,7.89,7.82,128226,1660924800000
7.875,7.87,7.88,7.85,89055,1660928400000
7.865,7.85,7.89,7.85,98808,1660932000000
7.855,7.865,7.87,7.82,491141,1660935600000
7.74,7.67,7.75,7.665,82267,1661176800000
7.68,7.705,7.715,7.675,47375,1661180400000
7.705,7.685,7.71,7.68,72516,1661184000000
7.68,7.645,7.685,7.635,122021,1661187600000
7.64,7.65,7.65,7.61,173796,1661191200000
7.645,7.64,7.67,7.63,543565,1661194800000
7.785,7.78,7.85,7.775,99186,1661263200000
7.785,7.74,7.79,7.74,88514,1661266800000
7.745,7.75,7.77,7.73,105456,1661270400000
7.755,7.71,7.76,7.71,69419,1661274000000
7.71,7.735,7.75,7.71,112231,1661277600000
7.74,7.7,7.75,7.69,302965,1661281200000
7.705,7.73,7.76,7.705,74733,1661349600000
7.72,7.73,7.77,7.72,72589,1661353200000
7.735,7.67,7.74,7.67,52801,1661356800000
7.675,7.665,7.7,7.65,78712,1661360400000
7.665,7.675,7.69,7.66,95238,1661364000000
7.675,7.658,7.7,7.64,434606,1661367600000
7.82,7.785,7.855,7.785,102272,1661436000000
7.785,7.77,7.82,7.745,143010,1661439600000
7.77,7.79,7.81,7.76,107262,1661443200000
7.8,7.84,7.84,7.8,119164,1661446800000
7.835,7.79,7.855,7.79,133782,1661450400000
7.79,7.82,7.82,7.78,351106,1661454000000
7.825,7.645,7.83,7.645,104570,1661522400000
7.645,7.6399,7.655,7.61,84808,1661526000000
7.635,7.595,7.65,7.58,86389,1661529600000
7.595,7.62,7.64,7.58,61905,1661533200000
7.615,7.59,7.63,7.575,117782,1661536800000
7.59,7.56,7.605,7.56,329842,1661540400000
7.52,7.505,7.565,7.505,76465,1661781600000
7.505,7.51,7.52,7.485,123763,1661785200000
7.51,7.5,7.53,7.48,109482,1661788800000
7.505,7.535,7.535,7.48,98654,1661792400000
7.535,7.49,7.535,7.475,141629,1661796000000
7.485,7.47,7.51,7.46,334660,1661799600000
7.485,7.3779,7.505,7.345,176302,1661868000000
7.385,7.385,7.415,7.36,65023,1661871600000
7.385,7.365,7.41,7.355,67299,1661875200000
7.365,7.33,7.37,7.325,87087,1661878800000
7.335,7.395,7.415,7.33,109596,1661882400000
7.4,7.39,7.41,7.375,304900,1661886000000
7.36,7.325,7.39,7.26,169857,1661954400000
7.325,7.29,7.325,7.275,171889,1661958000000
7.295,7.305,7.32,7.275,104960,1661961600000
7.305,7.28,7.315,7.255,89239,1661965200000
7.28,7.255,7.3,7.25,121907,1661968800000
7.255,7.29,7.32,7.255,377022,1661972400000
7.2,7.18,7.21,7.14,109033,1662040800000
7.18,7.17,7.21,7.165,105837,1662044400000
7.18,7.16,7.21,7.16,118179,1662048000000
7.16,7.19,7.22,7.16,134239,1662051600000
7.195,7.21,7.265,7.17,216138,1662055200000
7.215,7.235,7.24,7.19,471834,1662058800000
7.175,7.3,7.335,7.17,149751,1662127200000
7.31,7.3,7.325,7.27,81831,1662130800000
7.3,7.25,7.305,7.22,235652,1662134400000
7.245,7.165,7.245,7.16,104248,1662138000000
7.17,7.22,7.245,7.16,173048,1662141600000
7.22,7.21,7.245,7.17,398690,1662145200000
8.02,8.2551,8.3,8.005,2097588.0,1662472800000
8.25,8.2498,8.325,8.19,1856368.0,1662476400000
8.245,8.32,8.32,8.17,1286023.0,1662480000000
8.3149,8.325,8.42,8.26,1253505.0,1662483600000
8.32,8.304,8.337,8.26,798541,1662487200000
8.3098,8.395,8.4199,8.18,3943036.0,1662490800000
8.34,8.295,8.34,8.195,683640,1662559200000
8.3,8.255,8.3099,8.245,299214,1662562800000
8.255,8.34,8.3479,8.25,392614,1662566400000
8.331,8.41,8.435,8.32,504643,1662570000000
8.415,8.435,8.45,8.36,404340,1662573600000
8.435,8.41,8.54,8.36,1848511.0,1662577200000
8.319,8.265,8.319,8.21,453865,1662645600000
8.265,8.225,8.275,8.195,518664,1662649200000
8.225,8.23,8.24,8.16,473255,1662652800000
8.22,8.245,8.26,8.205,193124,1662656400000
8.245,8.25,8.26,8.2,982980,1662660000000
8.25,8.19,8.255,8.19,1144803.0,1662663600000
8.29,8.28,8.35,8.27,425632,1662732000000
8.275,8.31,8.33,8.27,479585,1662735600000
8.31,8.365,8.3896,8.3,354018,1662739200000
8.37,8.405,8.445,8.36,377589,1662742800000
8.4,8.4,8.415,8.38,307632,1662746400000
8.405,8.39,8.415,8.33,1104289.0,1662750000000
8.53,8.5,8.605,8.495,527026,1662991200000
8.5053,8.475,8.551,8.445,349155,1662994800000
8.475,8.7,8.7,8.465,1122019.0,1662998400000
8.7,8.715,8.72,8.65,734188,1663002000000
8.715,8.6301,8.72,8.63,426641,1663005600000
