o,c,h,l,v,t
15.34,15.4,15.446,15.22,17482,1657720800000
15.391,15.38,15.48,15.33,17052,1657724400000
15.38,15.4361,15.44,15.35,30065,1657728000000
15.435,15.435,15.5,15.41,29922,1657731600000
15.44,15.45,15.4767,15.35,23341,1657735200000
15.44,15.39,15.4576,15.37,34331,1657738800000
15.15,15.1377,15.16,15.1,19220,1657807200000
15.1827,15.26,15.2651,15.1797,28927,1657810800000
15.265,15.19,15.28,15.19,5281,1657814400000
15.195,15.26,15.26,15.195,9952,1657818000000
15.27,15.36,15.3809,15.27,14702,1657821600000
15.375,15.34,15.38,15.32,9408,1657825200000
15.56,15.59,15.65,15.56,12465,1657893600000
15.6593,15.6101,15.68,15.6101,12141,1657897200000
15.62,15.5932,15.62,15.5932,2389,1657900800000
15.59,15.6214,15.66,15.59,13819,1657904400000
15.63,15.6301,15.635,15.61,4726,1657908000000
15.63,15.65,15.66,15.61,20474,1657911600000
15.74,15.79,15.79,15.73,25193,1658152800000
15.7658,15.8,15.8,15.72,6159,1658156400000
15.7606,15.7,15.78,15.7,7233,1658160000000
15.7,15.66,15.7399,15.66,14826,1658163600000
15.655,15.59,15.655,15.59,10167,1658167200000
15.595,15.51,15.595,15.4744,53135,1658170800000
15.74,15.79,15.81,15.7156,26718,1658239200000
15.79,15.83,15.83,15.77,29304,1658242800000
15.83,15.85,15.87,15.82,12351,1658246400000
15.87,15.89,15.91,15.85,21690,1658250000000
15.91,15.89,15.93,15.88,17155,1658253600000
15.89,15.93,15.9451,15.89,18795,1658257200000
15.87,16.07,16.07,15.87,40525,1658325600000
16.0665,16.0648,16.0665,16.02,15675,1658329200000
16.08,16.01,16.12,16,14487,1658332800000
16.01,15.99,16.03,15.99,14854,1658336400000
15.9781,16.0132,16.04,15.9781,25410,1658340000000
16,15.99,16.09,15.99,58551,1658343600000
16.03,16,16.03,15.89,28006,1658412000000
16,16.0241,16.03,15.96,13545,1658415600000
16.09,16.105,16.1692,16.0577,8445,1658419200000
16.105,16.07,16.1395,16.047,7937,1658422800000
16.09,16.09,16.1245,16.06,7778,1658426400000
16.098,16.2,16.22,16.09,28326,1658430000000
16.15,16.1938,16.2158,16.12,15045,1658498400000
16.17,16.08,16.17,16.065,10284,1658502000000
16.1,16.065,16.11,16.06,14336,1658505600000
16.06,16,16.0601,15.99,7683,1658509200000
15.99,15.98,15.9904,15.96,11301,1658512800000
15.99,16.0369,16.05,15.97,17602,1658516400000
16.07,16.07,16.08,16.02,36068,1658757600000
16.06,16.09,16.0946,16.02,14207,1658761200000
16.05,16.07,16.09,16.04,15103,1658764800000
16.07,15.99,16.09,15.99,21164,1658768400000
