o,c,h,l,v,t
87.13,86.97,87.17,86.7,68868,1657720800000
86.98,87.34,87.39,86.97,53399,1657724400000
87.34,87.77,87.89,87.32,54397,1657728000000
87.75,87.71,88.02,87.595,62508,1657731600000
87.68,87.73,87.83,87.39,58813,1657735200000
87.78,87.08,87.81,87.04,217535,1657738800000
86.3,86.14,86.45,86.02,108745,1657807200000
86.16,86.66,86.81,86.09,78659,1657810800000
86.66,86.519,86.8,86.41,63682,1657814400000
86.52,86.4,86.6482,86.24,66572,1657818000000
86.43,86.85,86.93,86.405,84872,1657821600000
86.88,87.04,87.2,86.72,221391,1657825200000
86.97,87.57,87.69,86.87,120179,1657893600000
87.69,87.45,87.7,87.34,70045,1657897200000
87.46,87.21,87.56,87.2,42979,1657900800000
87.25,87.29,87.63,87.2,81067,1657904400000
87.295,87.63,87.71,87.2,63473,1657908000000
87.64,87.75,87.88,87.58,209688,1657911600000
86.81,87.15,87.54,86.78,90981,1658152800000
87.14,86.83,87.3,86.83,163925,1658156400000
86.82,86.81,87.04,86.71,40868,1658160000000
86.81,87.05,87.229,86.73,87617,1658163600000
87.04,86.9001,87.16,86.87,62691,1658167200000
86.89,86.43,87.065,86.36,177979,1658170800000
86.7,86.775,87.01,86.68,83435,1658239200000
86.8,86.64,86.89,86.47,96684,1658242800000
86.635,86.83,86.89,86.35,394956,1658246400000
86.84,86.65,86.91,86.45,81510,1658250000000
86.65,86.58,86.815,86.545,95684,1658253600000
86.58,86.45,86.73,86.345,339964,1658257200000
85.71,86.43,86.47,85.56,232055,1658325600000
86.42,86.62,86.685,86.32,148780,1658329200000
86.62,86,86.69,86,87735,1658332800000
85.94,85.48,86.03,85.36,208073,1658336400000
85.445,85.69,85.79,85.445,139523,1658340000000
85.68,85.84,86.07,85.63,553379,1658343600000
85.8,85.87,85.93,85.64,78203,1658412000000
85.83,85.97,86.19,85.82,63320,1658415600000
85.97,86.015,86.18,85.84,52383,1658419200000
86.03,85.87,86.07,85.77,57500,1658422800000
85.86,85.97,86.12,85.84,94507,1658426400000
85.975,86.3,86.34,85.96,245814,1658430000000
87.06,87.335,87.6,86.98,68611,1658498400000
87.29,87.44,87.55,87.13,78511,1658502000000
87.42,87.15,87.475,87.05,54201,1658505600000
87.15,87.08,87.26,86.99,44618,1658509200000
87.075,86.94,87.085,86.82,54243,1658512800000
86.9,87.46,87.47,86.895,206760,1658516400000
87.46,87.93,88,87.46,58897,1658757600000
87.96,88.13,88.2,87.95,34610,1658761200000
88.13,87.935,88.25,87.91,28264,1658764800000
87.98,87.79,88.08,87.78,35463,1658768400000
87.755,87.865,87.88,87.74,42915,1658772000000
87.88,88.27,88.365,87.84,174166,1658775600000
88.88,88.87,88.95,88.56,59453,1658844000000
88.87,89.07,89.1,88.8559,42116,1658847600000
89.09,89.35,89.38,89.02,38177,1658851200000
89.37,89.27,89.57,89.27,49704,1658854800000
89.28,89.18,89.39,89.06,78396,1658858400000
89.21,89.38,89.49,89.06,180971,1658862000000
89.04,88.79,89.04,88.69,49858,1658930400000
88.78,88.97,89.05,88.78,39369,1658934000000
89,89.06,89.17,88.9775,44735,1658937600000
89.07,88.96,89.2,88.89,44324,1658941200000
88.96,89.015,89.16,88.6797,62433,1658944800000
89.06,89.34,89.56,88.98,162932,1658948400000
90.4,91.1,91.17,90.025,120477,1659016800000
91.11,90.89,91.17,90.87,102185,1659020400000
90.91,91.31,91.335,90.88,50582,1659024000000
91.3,91.77,91.81,91.14,58638,1659027600000
91.72,91.81,91.87,91.62,131587,1659031200000
91.8,92.06,92.25,91.74,249315,1659034800000
93.06,92.78,93.335,92.78,92208,1659103200000
92.79,93.44,93.52,92.79,61374,1659106800000
93.45,93.51,93.565,93.24,58381,1659110400000
