o,c,h,l,v,t
4.06,4.07,4.0785,4,1457384.0,1657720800000
4.07,4.07,4.09,4.06,534798,1657724400000
4.07,4.08,4.09,4.06,398409,1657728000000
4.08,4.085,4.1,4.07,231841,1657731600000
4.08,4.09,4.095,4.06,355508,1657735200000
4.09,4.075,4.1,4.065,514644,1657738800000
3.935,3.925,3.935,3.895,869826,1657807200000
3.925,3.945,3.95,3.9101,813500,1657810800000
3.945,3.905,3.95,3.9,397249,1657814400000
3.905,3.92,3.92,3.9,370385,1657818000000
3.92,3.95,3.95,3.91,312485,1657821600000
3.945,3.935,3.96,3.93,562698,1657825200000
3.96,4.0336,4.04,3.96,1211107.0,1657893600000
4.035,4.0475,4.05,4.035,350380,1657897200000
4.04,4.02,4.05,4.02,165620,1657900800000
4.025,4.03,4.04,4.02,108334,1657904400000
4.03,4.0375,4.04,4.03,123162,1657908000000
4.035,4.025,4.04,4.02,358996,1657911600000
4.15,4.175,4.18,4.14,795964,1658152800000
4.18,4.165,4.18,4.14,1171632.0,1658156400000
4.165,4.155,4.17,4.153,814282,1658160000000
4.155,4.135,4.17,4.13,627115,1658163600000
4.135,4.125,4.14,4.12,446453,1658167200000
4.12,4.125,4.13,4.1,871957,1658170800000
4.215,4.235,4.28,4.21,1314716.0,1658239200000
4.235,4.235,4.24,4.22,463052,1658242800000
4.235,4.25,4.25,4.23,232411,1658246400000
4.245,4.245,4.25,4.24,193665,1658250000000
4.25,4.245,4.25,4.24,145919,1658253600000
4.245,4.24,4.25,4.23,507420,1658257200000
4.2,4.23,4.24,4.18,1011615.0,1658325600000
4.225,4.205,4.2278,4.19,757722,1658329200000
4.205,4.17,4.21,4.1625,177049,1658332800000
4.17,4.1557,4.17,4.15,343880,1658336400000
4.16,4.19,4.19,4.16,315841,1658340000000
4.19,4.18,4.19,4.1625,847122,1658343600000
4.205,4.19,4.205,4.13,1264802.0,1658412000000
4.185,4.17,4.195,4.16,330560,1658415600000
4.175,4.18,4.19,4.17,182100,1658419200000
4.18,4.16,4.19,4.16,292482,1658422800000
4.165,4.165,4.17,4.16,129459,1658426400000
4.165,4.2,4.2,4.16,576846,1658430000000
4.16,4.17,4.1864,4.155,764983,1658498400000
4.17,4.155,4.19,4.15,416981,1658502000000
4.155,4.15,4.1691,4.14,331331,1658505600000
