o,c,h,l,v,t
34.53,33.88,34.54,33.68,115917,1657720800000
33.91,33.87,34.32,33.64,88337,1657724400000
33.89,34.02,34.08,33.83,57238,1657728000000
34,34.2,34.225,33.99,55701,1657731600000
34.2,34.33,34.358,34.055,69127,1657735200000
34.34,34.03,34.37,34.01,222628,1657738800000
33.37,33.56,33.705,33.22,79780,1657807200000
33.61,33.94,33.98,33.53,74768,1657810800000
33.955,33.905,33.97,33.74,46476,1657814400000
33.89,34.13,34.14,33.86,48918,1657818000000
34.11,34.49,34.49,34.11,87272,1657821600000
34.49,33.82,34.49,33.791,179060,1657825200000
33.78,34.01,34.32,33.78,93728,1657893600000
34.05,34.37,34.47,34.05,49401,1657897200000
34.37,34.4,34.56,34.37,61928,1657900800000
34.41,34.6,34.65,34.32,51357,1657904400000
34.59,34.49,34.61,34.44,64060,1657908000000
34.48,34.41,34.62,34.25,112475,1657911600000
35.08,35.3,35.38,35.025,34221,1658152800000
35.28,35.27,35.28,35.09,34815,1658156400000
35.27,35.04,35.28,35.01,31775,1658160000000
35.055,34.91,35.1,34.91,81855,1658163600000
34.91,34.7,34.965,34.68,71300,1658167200000
34.705,34.6,34.81,34.52,93361,1658170800000
35.87,35.79,36.02,35.73,46231,1658239200000
35.79,36.04,36.05,35.79,39510,1658242800000
36.04,36.21,36.3,36.03,32395,1658246400000
36.215,36.3,36.31,36.16,37286,1658250000000
36.31,36.24,36.43,36.22,35321,1658253600000
36.24,36.26,36.445,36.17,100430,1658257200000
36,36.43,36.47,35.96,53305,1658325600000
36.43,36.4,36.65,36.34,43434,1658329200000
36.4,36.17,36.48,36.07,32889,1658332800000
36.16,36.09,36.3,36.02,36964,1658336400000
36.09,36.24,36.33,36.09,41399,1658340000000
36.21,36.39,36.49,36.21,95356,1658343600000
35.79,35.51,35.79,35.13,47538,1658412000000
35.5,35.71,35.75,35.42,41916,1658415600000
35.73,36.11,36.11,35.73,28401,1658419200000
36.11,35.83,36.17,35.74,51814,1658422800000
35.83,35.61,35.89,35.6,55492,1658426400000
35.63,36.11,36.11,35.63,96115,1658430000000
35.465,35.67,35.7,35.35,63808,1658498400000
35.65,35.56,35.79,35.45,45553,1658502000000
35.57,35.61,35.655,35.4775,33074,1658505600000
35.63,35.29,35.63,35.22,40884,1658509200000
35.3,35.39,35.44,35.185,42277,1658512800000
35.4,35.59,35.59,35.38,104613,1658516400000
36.59,36.67,36.83,36.55,31653,1658757600000
36.71,36.765,36.8388,36.57,36824,1658761200000
36.775,36.71,36.82,36.61,28281,1658764800000
36.71,36.48,36.76,36.46,32253,1658768400000
36.49,36.49,36.6,36.48,26292,1658772000000
36.48,36.46,36.54,36.31,93488,1658775600000
