o,c,h,l,v,t
43.9,45.12,45.17,43.39,568617,1657720800000
45.095,45.15,45.93,44.975,449287,1657724400000
45.16,45.25,45.31,44.86,248772,1657728000000
45.27,45.41,45.48,45.05,245787,1657731600000
45.39,44.9566,45.39,44.83,246101,1657735200000
44.95,44.76,44.97,44.56,486828,1657738800000
42.04,42.31,42.67,41.86,487213,1657807200000
42.32,43.05,43.41,42.27,544702,1657810800000
43.04,42.55,43.1,42.39,303386,1657814400000
42.56,42.873,42.92,42.48,200527,1657818000000
42.89,43.01,43.33,42.82,270894,1657821600000
43.03,43,43.14,42.86,593312,1657825200000
42.33,42.41,42.8,42.09,447700,1657893600000
42.4,42.55,43.11,42.38,395891,1657897200000
42.545,42.36,42.57,42.25,238274,1657900800000
42.37,42.32,42.5,42.28,173686,1657904400000
42.32,42.59,42.615,42.18,255640,1657908000000
42.595,42.64,42.76,42.48,655644,1657911600000
43.41,43.625,43.77,43.13,299776,1658152800000
43.61,43.33,43.63,43.28,235736,1658156400000
43.33,43.54,43.66,43.33,157324,1658160000000
43.54,43.1835,43.62,43.17,148595,1658163600000
43.15,43.07,43.28,43.065,208583,1658167200000
43.055,42.73,43.15,42.7,535319,1658170800000
42.67,42.85,42.94,42.51,370826,1658239200000
42.85,43.38,43.4,42.8,427821,1658242800000
43.39,42.9,43.42,42.865,283044,1658246400000
42.885,42.64,42.97,42.63,234771,1658250000000
42.64,42.9,43.06,42.58,996453,1658253600000
42.89,42.97,43.025,42.825,604325,1658257200000
42.47,42.54,42.66,42.28,304892,1658325600000
42.54,42.48,42.54,42.17,333667,1658329200000
42.4782,42.02,42.5,41.88,254127,1658332800000
42,41.615,42.05,41.555,489109,1658336400000
41.61,41.29,41.69,41.165,604051,1658340000000
41.325,41.03,41.43,41.02,1292804.0,1658343600000
41.44,41.6,41.705,41.13,1197302.0,1658412000000
41.61,41.25,41.75,41.1409,1204183.0,1658415600000
41.25,41.24,41.45,41.16,486967,1658419200000
41.24,41.08,41.53,41.06,691768,1658422800000
41.09,41.08,41.16,40.91,398791,1658426400000
41.09,41.38,41.38,40.99,1601686.0,1658430000000
41.8,41.89,42.11,41.55,2027429.0,1658498400000
41.87,41.13,41.96,41.12,563749,1658502000000
41.125,40.59,41.23,40.52,494478,1658505600000
40.61,40.26,40.62,40.16,521310,1658509200000
40.25,40.264,40.38,39.9,570963,1658512800000
40.27,40.27,40.46,40.13,1105280.0,1658516400000
39.14,38.88,39.26,38.75,1064193.0,1658757600000
38.88,39.02,39.37,38.795,516182,1658761200000
39.01,38.905,39.165,38.765,751908,1658764800000
38.91,38.595,38.94,38.52,979185,1658768400000
38.595,38.1,38.6,38.1,942181,1658772000000
38.11,38.42,38.465,38.02,2686473.0,1658775600000
39.2,39.11,39.33,38.94,1589435.0,1658844000000
39.13,39.0692,39.25,38.94,1171097.0,1658847600000
39.06,39.12,39.29,39.05,605335,1658851200000
39.12,39.03,39.17,38.96,423389,1658854800000
39.025,38.925,39.16,38.815,803328,1658858400000
38.93,39.465,39.51,38.93,1025962.0,1658862000000
39.12,39.0291,39.14,38.8207,496191,1658930400000
39.03,39.345,39.37,38.96,915707,1658934000000
39.34,39.09,39.3869,39.055,481068,1658937600000
39.095,39,39.15,38.98,508295,1658941200000
38.98,39.55,39.83,38.94,1234751.0,1658944800000
39.55,39.53,40.02,39.42,1908631.0,1658948400000
42.285,42.35,42.52,41.42,1393703.0,1659016800000
42.355,42.47,42.89,42.16,722740,1659020400000
42.47,42.8,43.08,42.43,463533,1659024000000
42.7804,42.2408,42.83,41.92,795214,1659027600000
42.25,41.83,42.27,41.77,619566,1659031200000
41.83,42.03,42.175,41.83,922255,1659034800000
41.58,42.8021,42.93,41.51,921715,1659103200000
42.82,43.1,43.3,42.71,577920,1659106800000
43.105,43.09,43.22,42.81,377430,1659110400000
43.085,43.335,43.38,43,383259,1659114000000
43.335,43.19,43.45,43.04,341968,1659117600000
43.19,43,43.305,42.955,812101,1659121200000
43.17,42.8929,43.31,42.47,534805,1659362400000
42.89,43.34,43.49,42.51,387452,1659366000000
43.33,43.68,43.74,43.265,276295,1659369600000
43.685,43.19,43.685,43.1106,270046,1659373200000
43.19,43.11,43.2807,43,187396,1659376800000
43.11,42.935,43.15,42.89,478025,1659380400000
43.66,43.62,44.6,43.4,960529,1659448800000
43.625,43.625,43.98,43.34,422138,1659452400000
43.63,43.495,43.71,43.29,212025,1659456000000
43.52,43.06,43.69,43.01,269095,1659459600000
43.05,42.85,43.05,42.6499,320708,1659463200000
42.86,42.21,42.91,42.19,518640,1659466800000
42.04,41.69,42.05,41.37,515975,1659535200000
41.68,41.79,41.85,41.56,350636,1659538800000
41.78,42.06,42.1,41.74,379040,1659542400000
42.07,42.17,42.25,41.9,592152,1659546000000
42.17,42.2,42.21,41.99,276505,1659549600000
42.19,42.62,42.625,42.19,920226,1659553200000
43.69,43.7399,44.19,43.4899,928341,1659621600000
43.75,43.59,43.9,43.33,473391,1659625200000
43.57,43.96,44.08,43.52,254261,1659628800000
43.96,44.14,44.19,43.81,351681,1659632400000
44.16,44.41,44.595,44.1,471863,1659636000000
44.42,43.7657,44.42,43.72,578651,1659639600000
42.52,42.98,43.03,42.48,426438,1659708000000
42.99,42.685,43.01,42.535,269974,1659711600000
42.69,42.84,42.9011,42.585,167232,1659715200000
42.855,42.92,43,42.76,188717,1659718800000
42.91,42.82,43.02,42.82,198348,1659722400000
42.83,43.455,43.52,42.79,769081,1659726000000
44.52,44.87,44.93,44.39,522848,1659967200000
44.885,45.13,45.3492,44.66,815670,1659970800000
45.145,45.34,45.375,44.88,298584,1659974400000
45.34,45.34,45.44,45.23,325493,1659978000000
45.33,45.14,45.33,45.061,250112,1659981600000
45.14,45.02,45.285,44.98,684969,1659985200000
45,44.51,45.03,44.48,320749,1660053600000
44.52,44.81,44.835,44.455,155667,1660057200000
44.82,44.81,44.98,44.7,159882,1660060800000
44.82,44.77,44.91,44.69,122804,1660064400000
44.77,44.8,44.81,44.53,157534,1660068000000
44.808,44.94,44.95,44.77,384644,1660071600000
45.19,46.765,46.7682,45.19,761989,1660140000000
46.77,46.31,46.98,46.15,637572,1660143600000
46.32,46.5,46.58,46.23,172851,1660147200000
46.505,46.04,46.56,46.0299,127859,1660150800000
46.05,45.68,46.07,45.64,568740,1660154400000
45.68,45.94,45.95,45.5,859109,1660158000000
45.97,45.64,46.13,45.46,306223,1660226400000
45.64,45.43,45.72,45.08,318272,1660230000000
45.43,45.455,45.53,45.19,176576,1660233600000
45.46,45.39,45.5591,45.33,180789,1660237200000
45.395,45.2,45.42,45.08,223490,1660240800000
45.21,44.91,45.22,44.8,547604,1660244400000
45.96,45.545,46.06,45.45,258190,1660312800000
45.53,45.85,46.015,45.44,202837,1660316400000
45.855,45.96,46.125,45.855,178917,1660320000000
45.97,45.8601,46.16,45.8579,153906,1660323600000
45.83,45.9,46.02,45.76,195433,1660327200000
45.91,46.26,46.28,45.89,586640,1660330800000
44.87,45.01,45.19,44.78,437504,1660572000000
44.99,45.35,45.43,44.95,215169,1660575600000
45.34,45.46,45.49,45.2517,135412,1660579200000
45.47,45.46,45.6,45.411,164194,1660582800000
45.46,45.3699,45.47,45.2,139774,1660586400000
45.38,45.44,45.51,45.3383,315271,1660590000000
44.76,45.14,45.28,44.5,362959,1660658400000
45.12,45.14,45.3287,44.99,202534,1660662000000
