o,c,h,l,v,t
11.63,11.795,11.85,11.55,1035581.0,1657720800000
11.8,11.75,11.88,11.73,627854,1657724400000
11.755,11.835,11.84,11.715,384357,1657728000000
11.83,11.87,11.91,11.815,297898,1657731600000
11.86,11.935,11.935,11.8,376471,1657735200000
11.935,11.925,11.96,11.85,864802,1657738800000
11.855,11.565,11.855,11.55,628906,1657807200000
11.57,11.64,11.64,11.53,619460,1657810800000
11.64,11.585,11.67,11.54,497825,1657814400000
11.58,11.645,11.655,11.54,422351,1657818000000
11.65,11.54,11.715,11.54,575292,1657821600000
11.54,11.5801,11.68,11.505,1185855.0,1657825200000
11.5,11.69,11.75,11.47,662119,1657893600000
11.68,11.785,11.8,11.6701,424814,1657897200000
11.79,11.715,11.82,11.7109,521886,1657900800000
11.72,11.725,11.755,11.7,242855,1657904400000
11.725,11.72,11.745,11.695,269190,1657908000000
11.72,11.77,11.78,11.69,1071924.0,1657911600000
11.94,11.92,11.945,11.79,598038,1658152800000
11.92,11.93,11.995,11.9,608177,1658156400000
11.935,11.735,11.94,11.715,560523,1658160000000
11.735,11.765,11.805,11.73,519200,1658163600000
11.76,11.745,11.845,11.73,833314,1658167200000
11.74,11.7,11.85,11.695,1190090.0,1658170800000
11.875,11.925,11.98,11.85,741275,1658239200000
11.925,12.14,12.15,11.92,690307,1658242800000
12.145,12.01,12.1462,12.005,545599,1658246400000
12.015,12.01,12.02,11.9,402015,1658250000000
12.005,11.989,12.09,11.965,723203,1658253600000
11.98,11.99,12.005,11.93,1759146.0,1658257200000
11.95,12.085,12.09,11.865,583939,1658325600000
12.09,12.065,12.11,12.035,403107,1658329200000
12.0685,12.055,12.18,12.04,432677,1658332800000
12.055,12.04,12.1,11.98,611430,1658336400000
12.05,12.175,12.2,12.05,393538,1658340000000
12.175,12.23,12.27,12.1668,1508850.0,1658343600000
12.015,11.945,12.04,11.81,675348,1658412000000
11.95,11.875,11.985,11.84,658160,1658415600000
11.87,12,12.01,11.87,414071,1658419200000
12.0025,11.99,12.025,11.945,382561,1658422800000
11.995,12.055,12.06,11.975,291072,1658426400000
12.05,12.125,12.14,12.04,876587,1658430000000
12.44,12.215,12.48,12.17,535892,1658498400000
12.22,12.12,12.235,12.07,464203,1658502000000
12.12,12.13,12.175,12.045,383409,1658505600000
12.13,12.16,12.16,12.095,457997,1658509200000
12.16,12.23,12.25,12.125,512339,1658512800000
12.23,12.24,12.26,12.18,1512611.0,1658516400000
12.1,12.08,12.145,11.98,890138,1658757600000
12.08,12.02,12.08,11.98,501472,1658761200000
12.02,12.055,12.08,11.95,421823,1658764800000
12.055,11.995,12.06,11.95,364121,1658768400000
11.995,11.995,12.05,11.975,452053,1658772000000
11.99,12.03,12.0575,11.98,1072991.0,1658775600000
11.025,11.1601,11.18,10.96,1856770.0,1658844000000
11.165,11.025,11.19,11.02,1191367.0,1658847600000
11.025,11.035,11.095,11,1057490.0,1658851200000
11.035,10.925,11.08,10.88,1439576.0,1658854800000
10.93,10.93,10.96,10.87,1079829.0,1658858400000
10.935,10.985,11.01,10.91,3303828.0,1658862000000
10.9,11.065,11.09,10.855,587076,1658930400000
11.07,11.14,11.14,11.03,419431,1658934000000
11.14,11.17,11.21,11.135,475206,1658937600000
11.175,11.245,11.26,11.163,297791,1658941200000
11.25,11.435,11.45,11.23,765975,1658944800000
11.44,11.625,11.64,11.41,1107337.0,1658948400000
11.64,11.495,11.645,11.32,536864,1659016800000
11.5,11.735,11.74,11.5,429768,1659020400000
11.74,11.7,11.76,11.67,252253,1659024000000
11.705,11.705,11.7192,11.67,306860,1659027600000
11.705,11.87,11.87,11.69,450471,1659031200000
11.865,11.98,12,11.85,1498072.0,1659034800000
11.915,11.88,11.97,11.855,314637,1659103200000
11.88,11.795,11.905,11.76,241031,1659106800000
11.8,11.775,11.81,11.71,247404,1659110400000
11.77,11.76,11.8,11.73,349310,1659114000000
11.76,11.885,11.89,11.75,420700,1659117600000
11.88,12.03,12.1,11.835,1254810.0,1659121200000
11.84,11.97,11.97,11.755,688604,1659362400000
11.97,12.01,12.015,11.865,488761,1659366000000
12.0108,12.025,12.06,11.94,428874,1659369600000
12.025,12.05,12.0592,11.98,445821,1659373200000
12.05,12.15,12.165,12.04,536459,1659376800000
12.15,12.11,12.18,12.1,1300255.0,1659380400000
11.81,11.79,11.83,11.68,499806,1659448800000
11.795,11.83,11.885,11.735,341127,1659452400000
11.83,11.905,11.925,11.81,354117,1659456000000
11.905,11.84,11.905,11.775,317342,1659459600000
11.835,11.82,11.87,11.79,409155,1659463200000
11.825,11.715,11.8575,11.695,907744,1659466800000
11.89,11.91,11.96,11.75,612425,1659535200000
11.91,12.115,12.14,11.875,463113,1659538800000
12.115,12.095,12.135,12.032,432897,1659542400000
12.095,12.17,12.195,12.095,350975,1659546000000
12.175,12.3,12.3,12.155,393221,1659549600000
12.295,12.33,12.37,12.28,1116765.0,1659553200000
12.26,12.075,12.265,12.055,483666,1659621600000
12.08,12.1188,12.232,12.08,329418,1659625200000
12.11,12.155,12.16,12.085,277076,1659628800000
12.155,12.175,12.22,12.155,209622,1659632400000
12.17,12.145,12.19,12.115,259606,1659636000000
12.145,12.15,12.205,12.12,853687,1659639600000
11.895,11.995,12.075,11.815,611184,1659708000000
11.99,11.94,11.995,11.84,652480,1659711600000
11.94,11.995,11.995,11.92,314683,1659715200000
11.995,12.05,12.05,11.94,380999,1659718800000
12.05,12.01,12.1,11.98,337230,1659722400000
12.01,12.06,12.08,11.995,667463,1659726000000
12.75,12.833,12.91,12.72,987116,1659967200000
12.835,12.88,12.975,12.76,663866,1659970800000
12.885,12.63,12.89,12.605,422181,1659974400000
12.62,12.61,12.67,12.56,458523,1659978000000
12.615,12.615,12.69,12.57,348737,1659981600000
12.615,12.615,12.685,12.58,775040,1659985200000
12.07,11.805,12.07,11.805,630453,1660053600000
11.81,11.685,11.84,11.68,493492,1660057200000
11.68,11.675,11.7,11.615,532265,1660060800000
11.675,11.515,11.68,11.47,714571,1660064400000
11.5109,11.48,11.525,11.44,791705,1660068000000
11.485,11.5,11.51,11.41,1342481.0,1660071600000
11.99,11.96,12.06,11.805,929649,1660140000000
11.97,12.14,12.15,11.97,643611,1660143600000
12.14,12.13,12.215,12.0916,450190,1660147200000
12.13,12.175,12.2058,12.105,431030,1660150800000
12.175,12.01,12.175,12,482945,1660154400000
12.01,11.96,12.015,11.94,1019791.0,1660158000000
12.505,12.575,12.7,12.45,733788,1660226400000
12.575,12.2625,12.575,12.235,493235,1660230000000
12.27,12.5,12.51,12.26,520726,1660233600000
12.51,12.59,12.62,12.495,349478,1660237200000
12.595,12.465,12.62,12.46,294580,1660240800000
12.4635,12.47,12.5,12.41,773578,1660244400000
12.54,12.62,12.635,12.48,764144,1660312800000
12.62,12.6,12.68,12.56,455011,1660316400000
12.605,12.6892,12.69,12.59,379428,1660320000000
12.685,12.72,12.745,12.675,402879,1660323600000
12.715,12.79,12.81,12.7101,461283,1660327200000
12.795,12.85,12.85,12.775,1046614.0,1660330800000
13,12.88,13.005,12.8,1068676.0,1660572000000
12.875,12.9893,13,12.78,729142,1660575600000
12.98,12.73,12.99,12.69,761110,1660579200000
12.74,12.735,12.75,12.66,726692,1660582800000
12.74,12.715,12.76,12.7,614272,1660586400000
12.715,12.9,13.025,12.71,2277285.0,1660590000000
13.305,13.405,13.54,13.2499,1123355.0,1660658400000
13.405,13.805,13.8357,13.4,1725379.0,1660662000000
13.805,13.9,13.937,13.73,1361664.0,1660665600000
13.9033,14.15,14.18,13.9,1328323.0,1660669200000
14.145,13.955,14.17,13.835,1437158.0,1660672800000
13.955,13.79,13.955,13.765,1518374.0,1660676400000
13.5,13.16,13.55,13.16,2039111.0,1660744800000
13.17,13.005,13.185,12.985,1327884.0,1660748400000
13.005,13.08,13.125,12.98,927504,1660752000000
13.085,13.11,13.15,13.08,569683,1660755600000
13.11,13.225,13.35,13.09,1078758.0,1660759200000
13.22,13.13,13.259,13.09,1288652.0,1660762800000
13.01,13.325,13.37,12.99,666469,1660831200000
13.33,13.29,13.395,13.29,661322,1660834800000
13.29,13.195,13.32,13.185,862816,1660838400000
13.195,13.295,13.315,13.19,450771,1660842000000
13.3,13.465,13.465,13.29,826756,1660845600000
13.465,13.56,13.58,13.455,1725670.0,1660849200000
13.28,12.92,13.285,12.85,1380413.0,1660917600000
12.92,12.895,12.93,12.805,539439,1660921200000
12.8975,12.925,12.97,12.87,381634,1660924800000
12.92,12.9086,12.93,12.885,329198,1660928400000
12.905,12.94,13.005,12.895,410768,1660932000000
12.935,13.07,13.09,12.8908,1343872.0,1660935600000
12.485,12.41,12.49,12.31,918920,1661176800000
12.41,12.635,12.67,12.405,748058,1661180400000
12.635,12.49,12.65,12.465,398239,1661184000000
12.485,12.3595,12.4862,12.35,449139,1661187600000
12.35,12.5,12.5,12.3,476264,1661191200000
12.5,12.52,12.55,12.46,1169383.0,1661194800000
12.88,12.69,13.02,12.68,703162,1661263200000
12.69,12.72,12.79,12.645,329006,1661266800000
12.71,12.67,12.735,12.64,272860,1661270400000
12.67,12.6,12.7,12.58,304521,1661274000000
12.6,12.605,12.68,12.58,211834,1661277600000
12.61,12.53,12.615,12.475,1221771.0,1661281200000
12.21,12.125,12.315,12.05,1357974.0,1661349600000
12.1244,12.265,12.35,12.12,1406648.0,1661353200000
12.265,12.195,12.3479,12.1825,361499,1661356800000
12.2,12.145,12.25,12.12,658111,1661360400000
12.15,12.125,12.18,12.085,865279,1661364000000
