o,c,h,l,v,t
93.9,93.8,93.94,93.485,233460,1657720800000
93.81,94.05,94.18,93.65,220378,1657724400000
94.08,94.5,94.57,94.05,157823,1657728000000
94.495,94.39,94.73,94.18,201833,1657731600000
94.35,94.42,94.52,94.04,175883,1657735200000
94.43,93.89,94.44,93.79,476915,1657738800000
92.91,92.73,93.1,92.6,216050,1657807200000
92.76,93.5428,93.68,92.69,192772,1657810800000
93.59,93.5001,93.68,93.34,124791,1657814400000
93.49,93.53,93.7,93.19,113533,1657818000000
93.56,93.98,94.07,93.52,139616,1657821600000
93.99,94.28,94.45,93.86,515980,1657825200000
94.43,94.8973,95.08,94.369,268848,1657893600000
94.93,94.82,95.16,94.75,192172,1657897200000
94.81,94.45,94.92,94.42,120285,1657900800000
94.44,94.55,94.81,94.44,163415,1657904400000
94.54,94.86,94.92,94.45,170447,1657908000000
94.84,95.22,95.27,94.81,603415,1657911600000
93.83,94.33,94.61,93.77,414170,1658152800000
94.31,93.91,94.48,93.88,150988,1658156400000
93.9176,93.97,94.17,93.77,155555,1658160000000
93.97,94.14,94.38,93.8121,141190,1658163600000
94.14,94.01,94.32,94.01,170205,1658167200000
93.99,93.37,94.09,93.26,559233,1658170800000
93.95,94.02,94.29,93.89,224949,1658239200000
94.02,93.74,94.19,93.64,227081,1658242800000
93.75,93.63,93.8,93.39,193978,1658246400000
93.63,93.77,93.78,93.51,203971,1658250000000
93.77,93.63,93.975,93.61,275434,1658253600000
93.63,93.59,93.83,93.5,708463,1658257200000
92.74,93.53,93.53,92.37,240910,1658325600000
93.51,93.87,93.87,93.19,244282,1658329200000
93.87,93.39,94.03,93.35,197223,1658332800000
93.3,92.65,93.34,92.56,215903,1658336400000
92.66,92.7,93.02,92.55,224518,1658340000000
92.7,92.7,92.85,92.49,656180,1658343600000
92.3,92.35,92.59,92.15,167939,1658412000000
92.36,92.32,92.52,92.2,236197,1658415600000
92.32,92.47,92.59,92.27,146477,1658419200000
92.49,92.38,92.55,92.25,152744,1658422800000
92.39,92.33,92.56,92.2,224899,1658426400000
92.33,92.79,92.85,92.325,470240,1658430000000
93.62,94.08,94.32,93.62,248551,1658498400000
94.07,94.1,94.2737,93.86,168266,1658502000000
94.08,93.895,94.23,93.82,117577,1658505600000
93.89,93.81,94.05,93.68,149127,1658509200000
93.81,93.72,93.83,93.555,147161,1658512800000
93.71,94.36,94.36,93.63,492264,1658516400000
94.52,95.18,95.25,94.43,229763,1658757600000
95.211,95.47,95.55,95.14,201343,1658761200000
95.48,95.3699,95.57,95.21,236310,1658764800000
95.37,95.3,95.49,95.3,165796,1658768400000
95.3,95.445,95.46,95.28,182604,1658772000000
95.4461,95.8,95.92,95.295,676417,1658775600000
95.9,95.91,96.02,95.65,202732,1658844000000
95.92,96.27,96.33,95.92,191421,1658847600000
96.27,96.51,96.56,96.17,170073,1658851200000
96.5,96.53,96.9,96.48,173411,1658854800000
96.53,96.43,96.69,96.26,164009,1658858400000
96.43,96.42,96.545,96.1,617307,1658862000000
95.88,95.3,95.88,95.2,353063,1658930400000
95.31,95.74,95.76,95.27,221765,1658934000000
95.77,95.8301,95.965,95.59,149850,1658937600000
95.82,95.8,95.98,95.72,124796,1658941200000
95.83,95.96,96.06,95.51,319904,1658944800000
95.985,96.26,96.54,95.89,625087,1658948400000
96.18,97.36,97.53,95.925,329371,1659016800000
97.35,96.99,97.35,96.93,258691,1659020400000
97,97.15,97.175,96.87,207161,1659024000000
97.15,97.65,97.7,97.02,222412,1659027600000
97.64,97.4,97.66,97.385,277712,1659031200000
97.4,97.62,97.78,97.36,689775,1659034800000
98.29,97.98,98.65,97.9,316427,1659103200000
97.98,98.84,98.88,97.98,268258,1659106800000
98.85,98.83,98.88,98.53,197917,1659110400000
98.825,98.58,98.87,98.53,199848,1659114000000
98.58,98.76,98.79,98.28,249500,1659117600000
98.77,98.55,99.16,98.41,1049518.0,1659121200000
98.6,98.16,98.77,97.92,297080,1659362400000
98.15,98.32,98.43,97.88,234203,1659366000000
98.29,98.56,98.73,98.13,135600,1659369600000
98.55,98.47,98.76,98.409,163795,1659373200000
98.45,98.61,98.71,98.31,193485,1659376800000
98.629,99.1,99.16,98.57,595734,1659380400000
98.94,99.335,99.75,98.8,255312,1659448800000
99.34,99.07,99.39,98.9696,179573,1659452400000
99.04,99.59,99.62,98.88,158502,1659456000000
99.58,98.8,99.58,98.79,197490,1659459600000
98.81,99.08,99.43,98.7666,155497,1659463200000
99.1,98.46,99.18,98.355,477940,1659466800000
97.45,98.3478,98.395,96.73,305856,1659535200000
98.42,98.3,98.53,97.97,177216,1659538800000
98.295,98.97,99,98.295,136909,1659542400000
99,99.1741,99.3,98.87,110759,1659546000000
99.13,99.13,99.22,98.84,170888,1659549600000
99.14,99.54,99.825,99.09,548665,1659553200000
99.76,99.93,100.15,99.41,252287,1659621600000
99.92,100.235,100.29,99.92,212025,1659625200000
100.25,99.89,100.26,99.88,153476,1659628800000
99.87,99.79,99.95,99.64,163087,1659632400000
99.795,100.14,100.29,99.79,178002,1659636000000
100.13,99.96,100.35,99.73,473700,1659639600000
99.435,99.13,99.68,98.67,396321,1659708000000
99.13,99.06,99.63,98.92,207496,1659711600000
99.05,99.18,99.31,98.925,206433,1659715200000
99.2,99.35,99.64,99.2,162462,1659718800000
99.36,99.35,99.43,99.18,220377,1659722400000
99.37,99.45,99.65,99.36,527080,1659726000000
100.67,100.91,101.18,100.57,245307,1659967200000
100.895,100.43,100.9599,100.3294,212626,1659970800000
100.43,99.98,100.47,99.9,205837,1659974400000
99.97,99.93,100.12,99.77,168711,1659978000000
99.9,99.8,99.93,99.52,211528,1659981600000
99.8,100.09,100.11,99.745,485084,1659985200000
100.26,100.11,100.38,99.955,185908,1660053600000
100.12,100.535,100.61,100.12,134437,1660057200000
100.53,100.625,100.66,100.4617,101580,1660060800000
100.63,100.75,100.84,100.52,160737,1660064400000
