o,c,h,l,v,t
39.41,39.33,39.54,38.77,112236,1657720800000
39.355,39.21,39.52,38.99,76709,1657724400000
39.21,39.39,39.42,39.085,65064,1657728000000
39.349,39.615,39.6937,39.34,52385,1657731600000
39.57,39.65,39.7,39.33,57587,1657735200000
39.655,39.75,39.81,39.54,205489,1657738800000
38.69,38.24,38.72,38.12,167139,1657807200000
38.25,38.43,38.49,38.16,104493,1657810800000
38.43,38.09,38.45,37.95,74643,1657814400000
38.07,38.35,38.38,38.03,45906,1657818000000
38.33,38.49,38.65,38.3,76204,1657821600000
38.49,38.71,38.75,38.38,160118,1657825200000
38.44,39.77,39.84,38.44,103106,1657893600000
39.75,39.92,39.98,39.61,60589,1657897200000
39.9,40.15,40.15,39.87,56636,1657900800000
40.19,40.06,40.25,40,38037,1657904400000
40.08,40.185,40.385,39.98,60999,1657908000000
40.18,40.05,40.19,39.93,154820,1657911600000
41.59,41.31,41.59,40.81,88130,1658152800000
41.35,41.9,41.96,41.3046,62570,1658156400000
41.9,41.22,41.9,41.21,48437,1658160000000
41.24,40.97,41.32,40.96,47691,1658163600000
40.97,40.8,41.09,40.75,80155,1658167200000
40.81,41.06,41.12,40.6,294126,1658170800000
42.41,42.5796,43.09,42.28,79523,1658239200000
42.67,42.82,42.94,42.62,69781,1658242800000
42.81,42.95,43.04,42.673,92809,1658246400000
42.95,42.85,42.99,42.66,35113,1658250000000
42.85,42.865,42.91,42.73,41141,1658253600000
42.865,42.93,43,42.69,167185,1658257200000
42.56,43.7,43.86,42.56,134372,1658325600000
43.69,43.23,43.72,43.17,84058,1658329200000
43.23,43.45,43.59,43.18,57645,1658332800000
43.43,43.355,43.61,43.215,65791,1658336400000
43.36,43.71,43.91,43.26,145012,1658340000000
43.73,43.63,43.88,43.42,305257,1658343600000
43.15,43.27,43.28,42.685,68649,1658412000000
43.26,43.07,43.38,43,101279,1658415600000
43.06,43.61,43.72,43.06,111351,1658419200000
43.6,43.32,43.6,43.23,270955,1658422800000
43.36,43.42,43.5,43.33,108586,1658426400000
43.45,44.11,44.11,43.41,294529,1658430000000
43.55,44.34,44.49,43.28,151774,1658498400000
44.36,43.83,44.36,43.75,106872,1658502000000
43.84,43.8,43.92,43.75,175725,1658505600000
43.8,42.99,43.81,42.94,230264,1658509200000
42.98,42.92,43.015,42.61,155885,1658512800000
42.91,43.02,43.03,42.71,247762,1658516400000
42.92,42.79,43.27,42.74,76429,1658757600000
42.795,43.24,43.28,42.58,74409,1658761200000
43.235,43.55,43.55,43.1,53658,1658764800000
43.57,43.58,43.63,43.44,43562,1658768400000
43.575,43.52,43.725,43.49,48712,1658772000000
43.525,43.66,43.67,43.38,135500,1658775600000
43.19,43.35,43.38,43.09,36970,1658844000000
43.35,42.98,43.42,42.9,24268,1658847600000
43,43.13,43.15,42.87,18278,1658851200000
43.085,43.14,43.28,43.08,31230,1658854800000
43.12,43.21,43.27,43.065,33435,1658858400000
43.2,43.25,43.38,42.99,162715,1658862000000
44.21,43.955,44.375,43.76,36686,1658930400000
