o,c,h,l,v,t
20.62,20.94,20.94,20.435,879650,1657720800000
20.935,21.067,21.1,20.92,297582,1657724400000
21.07,21.165,21.17,21.06,271921,1657728000000
21.16,21.205,21.23,21.11,206055,1657731600000
21.205,21.17,21.21,21.05,275009,1657735200000
21.17,20.91,21.175,20.87,1051840.0,1657738800000
20.24,20.075,20.52,20.06,859091,1657807200000
20.08,20.37,20.43,20.065,625574,1657810800000
20.38,20.25,20.395,20.175,1349873.0,1657814400000
20.255,20.3,20.33,20.19,274210,1657818000000
20.305,20.47,20.475,20.29,288301,1657821600000
20.47,20.52,20.54,20.4,747270,1657825200000
19.5,20,20.07,19.34,1106958.0,1657893600000
20,20.35,20.38,19.995,906307,1657897200000
20.34,20.385,20.42,20.32,372191,1657900800000
20.385,20.36,20.4875,20.345,420620,1657904400000
20.365,20.375,20.425,20.33,317112,1657908000000
20.37,20.36,20.42,20.31,1238422.0,1657911600000
20.55,20.54,20.62,20.51,408445,1658152800000
20.54,20.55,20.57,20.47,306888,1658156400000
20.555,20.56,20.66,20.52,284889,1658160000000
20.565,20.53,20.615,20.52,226590,1658163600000
20.525,20.4273,20.56,20.41,247796,1658167200000
20.425,20.29,20.487,20.23,1147394.0,1658170800000
20.465,20.64,20.685,20.46,558314,1658239200000
20.645,20.555,20.705,20.525,421254,1658242800000
20.555,20.59,20.59,20.46,278408,1658246400000
20.585,20.625,20.655,20.575,420715,1658250000000
20.62,20.595,20.65,20.55,385451,1658253600000
20.595,20.61,20.665,20.575,1836796.0,1658257200000
20.13,20.305,20.31,20.04,1067279.0,1658325600000
20.305,20.31,20.3199,20.22,674282,1658329200000
20.3063,20.2,20.31,20.085,1288641.0,1658332800000
20.195,20.065,20.22,19.98,815575,1658336400000
20.065,20.045,20.115,19.96,809019,1658340000000
20.05,19.98,20.08,19.96,1993899.0,1658343600000
20.03,19.895,20.065,19.82,556778,1658412000000
19.895,20.015,20.03,19.855,410863,1658415600000
20.015,20.025,20.08,19.95,363059,1658419200000
20.03,19.93,20.04,19.9,282742,1658422800000
19.93,19.835,19.96,19.82,637151,1658426400000
19.835,19.92,19.92,19.78,1514605.0,1658430000000
19.98,19.97,20.09,19.96,631022,1658498400000
19.975,19.735,19.975,19.73,586568,1658502000000
19.735,19.59,19.77,19.58,809776,1658505600000
19.58,19.535,19.585,19.41,534947,1658509200000
19.535,19.655,19.67,19.515,555162,1658512800000
19.65,19.73,19.74,19.6,1299365.0,1658516400000
19.745,19.755,19.86,19.695,637028,1658757600000
19.755,19.855,19.88,19.71,397050,1658761200000
19.855,19.93,19.95,19.82,418792,1658764800000
19.93,19.9,19.96,19.85,432973,1658768400000
19.9,19.945,19.96,19.84,454297,1658772000000
19.945,20,20.01,19.9,1627684.0,1658775600000
20.16,20.25,20.27,20.14,445352,1658844000000
