o,c,h,l,v,t
11.66,11.6608,11.72,11.64,5660,1657720800000
11.6619,11.71,11.72,11.6619,3886,1657724400000
11.71,11.74,11.74,11.69,5753,1657728000000
11.7399,11.77,11.77,11.7208,3656,1657731600000
11.77,11.78,11.78,11.72,8771,1657735200000
11.78,11.84,11.89,11.7577,22466,1657738800000
11.76,11.755,11.8036,11.73,8730,1657807200000
11.73,11.7627,11.79,11.73,10171,1657810800000
11.7646,11.7703,11.78,11.74,10759,1657814400000
11.76,11.74,11.76,11.74,7779,1657818000000
11.75,11.759,11.7664,11.74,1553,1657821600000
11.75,11.74,11.78,11.72,6717,1657825200000
11.77,11.803,11.803,11.75,4066,1657893600000
11.8014,11.81,11.81,11.8014,1719,1657897200000
11.81,11.836,11.85,11.808,4168,1657900800000
11.8,11.81,11.81,11.79,3059,1657908000000
11.81,11.82,11.82,11.7846,4756,1657911600000
11.7839,11.75,11.8285,11.75,3039,1658152800000
11.75,11.79,11.8099,11.75,4828,1658156400000
11.79,11.79,11.79,11.79,400,1658160000000
11.7875,11.79,11.7967,11.7649,2213,1658163600000
11.79,11.79,11.79,11.79,600,1658167200000
11.79,11.79,11.8,11.7626,12890,1658170800000
11.78,11.8,11.8,11.76,7485,1658239200000
11.81,11.75,11.82,11.75,12012,1658242800000
11.74,11.73,11.74,11.73,5476,1658246400000
11.735,11.77,11.77,11.7332,11595,1658250000000
11.765,11.765,11.7799,11.75,1576,1658253600000
11.78,11.75,11.78,11.75,4831,1658257200000
11.84,11.84,11.84,11.84,264,1658325600000
11.84,11.84,11.84,11.84,2725,1658329200000
11.835,11.83,11.835,11.7801,3968,1658332800000
11.8,11.8,11.81,11.76,1400,1658336400000
11.8,11.8,11.8,11.7911,1192,1658340000000
11.7942,11.8,11.8,11.78,6740,1658343600000
11.78,11.95,11.95,11.77,22574,1658415600000
11.93,11.85,11.94,11.85,8081,1658419200000
11.87,11.87,11.894,11.83,8370,1658422800000
11.8827,11.8899,11.89,11.865,1526,1658426400000
11.865,11.88,11.89,11.84,7636,1658430000000
11.9,11.8527,11.95,11.8527,6647,1658498400000
11.86,11.875,11.8855,11.86,3251,1658502000000
11.86,11.88,11.89,11.86,3076,1658505600000
11.885,11.87,11.89,11.87,9363,1658509200000
11.87,11.89,11.89,11.87,23427,1658512800000
11.89,11.89,11.89,11.86,19839,1658516400000
11.875,11.8866,11.89,11.86,7383,1658757600000
11.88,11.8,11.89,11.79,6084,1658761200000
11.8,11.81,11.85,11.8,5252,1658764800000
11.81,11.84,11.86,11.81,3219,1658768400000
11.84,11.855,11.86,11.84,3971,1658772000000
11.855,11.93,11.93,11.85,11479,1658775600000
11.96,11.93,11.97,11.9,8381,1658844000000
11.93,11.91,11.95,11.91,9300,1658847600000
11.9,11.9,11.9199,11.9,4384,1658851200000
11.905,11.84,11.9184,11.84,5102,1658854800000
11.845,11.86,11.86,11.84,3646,1658858400000
11.84,11.83,11.85,11.8,12672,1658862000000
11.85,11.82,11.8664,11.82,2204,1658930400000
11.81,11.8,11.85,11.8,5166,1658934000000
11.8,11.8,11.85,11.8,2499,1658937600000
11.78,11.78,11.79,11.78,1009,1658941200000
11.78,11.76,11.78,11.71,24840,1658944800000
11.7661,11.77,11.78,11.74,11902,1658948400000
11.82,11.85,11.85,11.82,1492,1659016800000
11.85,11.83,11.865,11.83,10002,1659020400000
11.83,11.83,11.85,11.83,4618,1659024000000
11.82,11.85,11.88,11.82,8475,1659027600000
11.85,11.85,11.88,11.85,2249,1659031200000
11.85,11.89,11.89,11.85,7462,1659034800000
11.95,11.9983,11.9983,11.94,3145,1659103200000
11.95,11.96,11.9724,11.95,1096,1659106800000
11.95,11.93,11.99,11.91,5911,1659110400000
11.93,11.9628,11.9628,11.92,1083,1659114000000
11.91,11.92,11.935,11.9,5075,1659117600000
11.92,11.9,11.94,11.9,7516,1659121200000
12.01,12.03,12.04,11.95,13428,1659362400000
12.0299,12.0699,12.07,11.96,36756,1659366000000
12.02,12.03,12.07,12.02,6122,1659369600000
12.03,12.01,12.0308,12,7192,1659373200000
12.01,11.995,12.06,11.995,16309,1659376800000
11.98,11.95,11.995,11.94,7786,1659380400000
12.034,12.1296,12.1296,12.03,9991,1659448800000
12.1,12.1,12.1114,12.07,4942,1659452400000
12.07,12.0939,12.098,12.06,12399,1659456000000
12.09,12.17,12.18,12.07,38747,1659459600000
12.17,12.1539,12.2,12.135,7885,1659463200000
12.185,12.25,12.26,12.17,3460,1659466800000
12.33,12.39,12.42,12.33,4761,1659535200000
12.36,12.415,12.42,12.35,7157,1659538800000
12.41,12.42,12.42,12.4,4993,1659542400000
12.42,12.4182,12.43,12.3917,2000,1659546000000
12.405,12.3701,12.47,12.3701,17908,1659549600000
12.3975,12.33,12.4,12.33,6255,1659553200000
12.17,12.23,12.23,12.17,16724,1659621600000
12.215,12.18,12.215,12.18,2123,1659625200000
12.18,12.19,12.19,12.18,948,1659628800000
12.19,12.16,12.19,12.16,9985,1659632400000
12.16,12.155,12.16,12.1525,11481,1659636000000
12.153,12.16,12.16,12.15,5673,1659639600000
12.12,12.16,12.16,12.11,7186,1659708000000
12.15,12.06,12.16,12.06,2332,1659711600000
12.07,12.04,12.07,12.04,1585,1659715200000
12.03,12.02,12.03,12.02,4450,1659718800000
12.03,12.07,12.07,12.03,10404,1659722400000
12.045,12.07,12.07,12.0241,9287,1659726000000
12.16,12.25,12.25,12.16,12442,1659967200000
12.25,12.24,12.26,12.205,2926,1659970800000
12.25,12.2339,12.26,12.2201,7607,1659974400000
12.23,12.22,12.25,12.22,8029,1659978000000
12.225,12.31,12.31,12.225,14385,1659981600000
12.285,12.33,12.33,12.25,11964,1659985200000
12.33,12.43,12.46,12.26,4908,1660053600000
12.43,12.42,12.45,12.3148,8844,1660057200000
12.385,12.33,12.395,12.33,9075,1660060800000
12.33,12.335,12.35,12.32,10853,1660064400000
12.34,12.32,12.34,12.32,2150,1660068000000
12.3281,12.3,12.33,12.3,5846,1660071600000
12.43,12.35,12.43,12.35,6238,1660140000000
12.385,12.38,12.385,12.37,820,1660143600000
12.37,12.33,12.38,12.33,2795,1660147200000
12.345,12.32,12.3653,12.32,1475,1660150800000
12.33,12.35,12.37,12.32,3652,1660158000000
12.43,12.39,12.46,12.39,9371,1660226400000
12.39,12.36,12.39,12.36,5925,1660230000000
12.34,12.31,12.34,12.31,4109,1660233600000
12.3399,12.255,12.3399,12.236,4010,1660237200000
12.25,12.26,12.29,12.25,2567,1660240800000
12.26,12.34,12.34,12.23,10220,1660244400000
12.36,12.32,12.36,12.31,1339,1660312800000
12.33,12.34,12.34,12.33,559,1660316400000
12.335,12.33,12.335,12.33,489,1660320000000
12.32,12.31,12.32,12.3,1096,1660323600000
12.3075,12.26,12.31,12.26,17606,1660327200000
12.27,12.22,12.27,12.22,5411,1660330800000
12.27,12.28,12.34,12.27,674,1660572000000
12.2318,12.2486,12.34,12.2318,822,1660575600000
12.258,12.2701,12.3361,12.2511,2590,1660579200000
12.2999,12.2307,12.3,12.23,2210,1660582800000
12.265,12.24,12.3,12.24,7032,1660586400000
12.29,12.29,12.3,12.23,5082,1660590000000
12.21,12.14,12.2199,12.14,7956,1660658400000
12.14,12.15,12.15,12.13,8518,1660662000000
12.15,12.1,12.15,12.1,20711,1660665600000
12.1,12.1,12.11,12.06,5077,1660669200000
12.06,12.02,12.0899,12.02,11089,1660672800000
12.02,12.07,12.08,12.02,7122,1660676400000
11.995,11.94,11.995,11.935,7787,1660744800000
11.9489,11.93,11.95,11.92,7943,1660748400000
11.92,11.95,11.95,11.92,4358,1660752000000
11.94,11.92,11.96,11.92,6479,1660755600000
11.9,11.92,11.95,11.9,1882,1660759200000
11.91,11.9,11.9576,11.9,17320,1660762800000
11.9876,11.965,12,11.9235,3788,1660831200000
11.95,11.925,11.9732,11.9,6688,1660834800000
11.93,11.915,11.93,11.9,4241,1660838400000
11.93,11.93,11.94,11.915,3252,1660842000000
11.9001,11.955,11.98,11.9001,4376,1660845600000
11.955,11.9,11.97,11.9,19951,1660849200000
11.849,11.81,11.8499,11.7901,11483,1660917600000
11.8,11.79,11.8186,11.79,4003,1660921200000
11.7899,11.76,11.79,11.75,14279,1660924800000
11.76,11.75,11.77,11.75,2725,1660928400000
11.75,11.72,11.75,11.72,2786,1660932000000
11.72,11.75,11.783,11.72,12912,1660935600000
11.76,11.73,11.79,11.73,7311,1661176800000
11.73,11.74,11.74,11.73,567,1661180400000
11.75,11.7205,11.75,11.72,1592,1661184000000
11.725,11.72,11.725,11.7,7465,1661187600000
11.7275,11.73,11.74,11.7182,2605,1661191200000
11.7295,11.77,11.77,11.7295,9944,1661194800000
11.74,11.7312,11.74,11.7312,1961,1661263200000
11.765,11.765,11.765,11.765,561,1661266800000
11.7468,11.72,11.7468,11.7001,8644,1661270400000
11.725,11.7,11.725,11.7,9008,1661274000000
11.7,11.73,11.73,11.7,1510,1661277600000
11.741,11.73,11.75,11.7,6865,1661281200000
11.82,11.89,11.91,11.74,13706,1661349600000
11.89,11.92,11.92,11.88,5963,1661353200000
11.92,11.92,11.96,11.9,7559,1661356800000
11.95,11.88,11.96,11.88,14551,1661360400000
11.88,11.88,11.88,11.8501,2594,1661364000000
11.88,11.88,11.88,11.83,6577,1661367600000
11.85,11.8584,11.885,11.8,5367,1661436000000
11.85,11.85,11.85,11.85,155,1661439600000
11.85,11.85,11.8688,11.85,1477,1661443200000
11.85,11.89,11.9,11.83,4151,1661446800000
11.89,11.91,11.95,11.89,8938,1661450400000
11.91,11.91,11.99,11.87,4876,1661454000000
11.86,11.85,11.91,11.85,3031,1661522400000
11.85,11.86,11.9,11.85,5630,1661526000000
11.86,11.79,11.8614,11.78,7336,1661529600000
11.78,11.79,11.8596,11.78,5319,1661533200000
11.79,11.78,11.85,11.76,12169,1661536800000
11.77,11.75,11.77,11.75,8377,1661540400000
11.725,11.78,11.79,11.72,9225,1661781600000
11.74,11.74,11.79,11.74,14600,1661785200000
11.74,11.7237,11.77,11.72,7832,1661788800000
11.72,11.72,11.75,11.72,3329,1661792400000
11.72,11.73,11.78,11.72,19778,1661796000000
11.72,11.57,11.72,11.57,22043,1661799600000
11.605,11.5946,11.66,11.55,25536,1661868000000
11.56,11.53,11.56,11.53,2628,1661871600000
11.56,11.525,11.56,11.51,5124,1661875200000
11.525,11.53,11.53,11.48,13027,1661878800000
11.505,11.545,11.59,11.48,21334,1661882400000
11.52,11.44,11.52,11.44,13520,1661886000000
11.46,11.48,11.52,11.46,13754,1661954400000
11.48,11.45,11.49,11.45,7079,1661958000000
11.45,11.45,11.47,11.45,4600,1661961600000
11.45,11.45,11.4852,11.45,7150,1661965200000
11.47,11.47,11.49,11.47,4800,1661968800000
11.47,11.45,11.4732,11.45,24008,1661972400000
11.35,11.31,11.35,11.31,6994,1662040800000
11.3,11.27,11.3,11.27,5944,1662044400000
11.27,11.26,11.2939,11.26,10386,1662048000000
11.26,11.23,11.26,11.23,3936,1662051600000
11.23,11.25,11.2573,11.23,6352,1662055200000
11.25,11.29,11.29,11.24,13343,1662058800000
11.26,11.3,11.325,11.26,13214,1662127200000
11.27,11.265,11.33,11.26,9568,1662130800000
11.27,11.215,11.2799,11.21,12560,1662134400000
11.21,11.21,11.26,11.2,8956,1662138000000
11.21,11.25,11.25,11.19,7142,1662141600000
11.22,11.2,11.25,11.2,8878,1662145200000
11.2432,11.2163,11.26,11.2,8555,1662472800000
11.23,11.235,11.235,11.23,2550,1662476400000
