o,c,h,l,v,t
137.7,137.17,138.05,136.305,33508,1657720800000
137.07,137.15,137.72,136.87,23770,1657724400000
137.095,137.55,137.77,137.07,13701,1657728000000
137.61,137.48,138.09,137.405,29519,1657731600000
137.18,137.17,137.46,136.42,38489,1657735200000
137.19,137.12,137.79,136.79,107079,1657738800000
132.65,131.785,132.82,131.57,54936,1657807200000
131.82,132.845,133.2,131.78,34973,1657810800000
132.76,131.52,132.76,131.52,47143,1657814400000
131.325,131.89,131.955,131.16,14382,1657818000000
132,133.01,133.25,132,24562,1657821600000
133.08,132.44,133.29,132.26,63653,1657825200000
132.2,133.87,134.18,132.2,28821,1657893600000
133.9196,134.59,134.66,133.9196,14830,1657897200000
134.44,133.77,134.54,133.77,9259,1657900800000
133.9,133.27,134.025,133.27,8256,1657904400000
133.34,133.04,133.49,133,16256,1657908000000
133.04,132.93,133.42,132.73,84049,1657911600000
132.97,133.85,134.2,132.97,20898,1658152800000
133.56,133.17,133.93,133.12,25116,1658156400000
133.1,132.88,133.17,132.77,24009,1658160000000
132.88,132.935,133.24,132.695,19834,1658163600000
132.935,131.56,133,131.405,32878,1658167200000
131.5424,130.32,131.75,130.1,110317,1658170800000
132.14,132.96,133.62,132.07,49102,1658239200000
133.05,132.7973,133.15,132.5,15469,1658242800000
132.925,133.27,133.3267,132.69,23391,1658246400000
133.215,133.71,133.789,132.89,23902,1658250000000
133.85,133.96,134,133.61,24751,1658253600000
133.85,134.11,134.705,133.72,90535,1658257200000
132.49,133.44,133.63,132.49,14190,1658325600000
133.43,133.15,133.73,132.93,13896,1658329200000
133.13,132.78,133.4,132.54,15439,1658332800000
132.7,132.22,132.82,132.22,13518,1658336400000
132.3,132.79,132.94,132.25,14553,1658340000000
132.74,132.88,133.01,132.63,53996,1658343600000
132.26,131.87,132.26,131.05,14403,1658412000000
131.9,132.29,132.53,131.54,20258,1658415600000
132.35,133.05,133.17,132.29,11516,1658419200000
133.02,132.98,133.18,132.815,13462,1658422800000
132.955,132.95,133.2,132.8,20990,1658426400000
133.01,134.07,134.09,133,101468,1658430000000
133.2,133.82,134.07,133.16,42466,1658498400000
133.89,133.285,134,132.955,53807,1658502000000
133.37,133.435,133.885,132.9,23664,1658505600000
133.27,132.09,133.37,132.08,15412,1658509200000
131.95,132.1,132.1,131.67,24882,1658512800000
132,131.91,132.1,131.345,116124,1658516400000
133.88,134.49,135.45,133.69,41620,1658757600000
134.37,134.46,134.56,134.07,17497,1658761200000
134.41,133.66,134.74,133.66,18308,1658764800000
133.605,133.1,133.785,133.1,19578,1658768400000
133.13,133.18,133.325,133,24656,1658772000000
133.18,133.11,133.54,132.99,149996,1658775600000
