o,c,h,l,v,t
19.48,19.48,19.48,19.48,143,1657724400000
19.68,19.68,19.68,19.68,300,1657814400000
19.62,19.6,19.62,19.6,250,1657821600000
19.83,19.83,19.83,19.83,300,1658152800000
19.75,19.75,19.75,19.75,300,1658156400000
19.76,19.76,19.76,19.76,100,1658160000000
19.775,19.79,19.79,19.775,300,1658163600000
19.8132,19.82,19.82,19.8132,529,1658167200000
19.84,19.95,19.95,19.84,851,1658170800000
20.025,20.025,20.025,20.025,100,1658246400000
20.0999,20.0999,20.0999,20.0999,349,1658257200000
20.26,20.26,20.26,20.26,100,1658419200000
20.2881,20.2881,20.2881,20.2881,282,1658422800000
20.29,20.29,20.29,20.29,911,1658430000000
20.435,20.435,20.435,20.435,100,1658498400000
20.46,20.46,20.46,20.46,115,1658512800000
20.48,20.48,20.48,20.48,176,1658516400000
20.49,20.49,20.49,20.49,200,1658757600000
20.25,20.25,20.25,20.25,1000,1658764800000
20.3,20.3,20.3,20.3,173,1658768400000
20.25,20.49,20.49,20.25,465,1658772000000
20.78,20.77,20.78,20.77,571,1659103200000
20.77,20.77,20.77,20.77,350,1659106800000
20.8601,21.01,21.01,20.8601,2219,1659121200000
21.33,21.33,21.33,21.33,603,1659369600000
21.0016,21.0016,21.0016,21.0016,108,1659376800000
21.02,21.06,21.06,21.02,467,1659380400000
21.4,21.4,21.4,21.4,161,1659448800000
21.4,21.4,21.4,21.4,483,1659452400000
21.59,21.59,21.59,21.59,980,1659456000000
21.8,21.8,21.8,21.8,1300,1659463200000
21.8,21.85,21.8605,21.8,1563,1659466800000
21.85,21.85,21.85,21.85,500,1659535200000
22,22,22,22,500,1659538800000
22.1,22.1,22.1,22.1,491,1659542400000
22.02,22.04,22.06,22.02,978,1659553200000
22.04,22.04,22.04,22.04,401,1659621600000
22.04,22.02,22.04,22.02,557,1659628800000
22.05,22.0251,22.28,22.0251,651,1659639600000
22.13,22.13,22.34,22.13,2913,1659711600000
22.13,22.18,22.18,22.13,440,1659715200000
22.12,21.97,22.12,21.97,10596,1659722400000
21.96,21.92,21.96,21.735,1273,1659726000000
22.2,22.2,22.2,22.2,3450,1659967200000
22.07,21.96,22.1486,21.96,724,1659970800000
22.05,22.08,22.08,22.05,486,1659985200000
22.0549,22.0549,22.0549,22.0549,900,1660057200000
22.0068,21.85,22.0068,21.85,1895,1660154400000
21.9,21.9,21.9,21.855,428,1660158000000
22.33,22.33,22.33,22.33,214,1660226400000
22.09,21.87,22.09,21.87,304,1660233600000
22.06,22.01,22.06,22.01,312,1660237200000
21.96,21.96,21.96,21.96,176,1660240800000
