o,c,h,l,v,t
54.655,54.69,54.8,54.07,290030,1657720800000
54.7,54.65,54.88,54.595,261908,1657724400000
54.64,54.94,55,54.581,137185,1657728000000
54.93,54.9,55.07,54.767,153665,1657731600000
54.89,54.98,54.98,54.51,179150,1657735200000
54.98,54.59,54.99,54.58,460088,1657738800000
53.3725,53.2506,53.46,53.04,321645,1657807200000
53.27,53.77,53.8,53.24,206473,1657810800000
53.78,53.375,53.795,53.31,152758,1657814400000
53.38,53.455,53.51,53.249,155507,1657818000000
53.47,53.72,53.895,53.455,176623,1657821600000
53.73,53.43,53.77,53.39,580970,1657825200000
53.85,54.37,54.575,53.85,211648,1657893600000
54.37,54.44,54.56,54.35,162721,1657897200000
54.45,54.3213,54.57,54.28,134621,1657900800000
54.33,54.47,54.505,54.3,131117,1657904400000
54.45,54.41,54.536,54.38,130962,1657908000000
54.419,54.28,54.49,54.12,524288,1657911600000
54.865,55,55.13,54.83,222756,1658152800000
55,54.88,55,54.71,128163,1658156400000
54.88,54.598,54.9,54.57,101759,1658160000000
54.6,54.45,54.6221,54.44,132648,1658163600000
54.45,54.39,54.6,54.33,226739,1658167200000
54.395,54.16,54.525,53.94,544056,1658170800000
54.975,55.05,55.42,54.94,184865,1658239200000
55.08,55.15,55.27,54.97,165239,1658242800000
55.15,55.11,55.27,54.97,142203,1658246400000
55.105,55.195,55.195,55,192354,1658250000000
55.195,55.015,55.24,55,398403,1658253600000
55.015,54.96,55.215,54.87,1417746.0,1658257200000
54.55,55.01,55.08,54.52,208707,1658325600000
54.99,54.9,55.04,54.78,198385,1658329200000
54.91,54.77,55.05,54.67,182519,1658332800000
54.765,54.58,54.8,54.52,198238,1658336400000
54.58,54.79,54.9,54.57,338843,1658340000000
54.785,54.71,54.87,54.615,855312,1658343600000
54.595,54.29,54.61,54.01,172859,1658412000000
54.28,54.41,54.5,54.17,126915,1658415600000
54.41,54.77,54.8,54.41,145607,1658419200000
54.77,54.71,54.83,54.57,118582,1658422800000
54.7,54.69,54.81,54.65,241867,1658426400000
54.69,55.02,55.085,54.69,521532,1658430000000
55.09,55.4608,55.5129,55.09,182368,1658498400000
55.47,55.21,55.5,55.17,129774,1658502000000
55.205,55.18,55.29,55.12,111246,1658505600000
55.165,54.9,55.165,54.83,126009,1658509200000
54.92,54.81,54.92,54.75,130746,1658512800000
54.8,55.2712,55.29,54.77,535038,1658516400000
56.02,55.94,56.27,55.86,200816,1658757600000
55.925,56.15,56.18,55.84,144345,1658761200000
56.15,56.14,56.21,56.01,110533,1658764800000
56.14,56.01,56.255,55.995,106479,1658768400000
56.01,55.83,56.06,55.8205,155580,1658772000000
55.835,56.04,56.08,55.82,382390,1658775600000
56.27,56.26,56.3,56.05,135624,1658844000000
56.26,55.7,56.26,55.69,142911,1658847600000
55.71,55.81,55.83,55.64,112768,1658851200000
55.8,55.73,55.88,55.73,111094,1658854800000
55.735,55.525,55.825,55.485,163816,1658858400000
55.53,55.63,55.695,55.46,496651,1658862000000
55.86,55.59,55.865,55.58,200768,1658930400000
55.6,55.55,55.66,55.4,161957,1658934000000
55.55,55.4,55.57,55.38,133176,1658937600000
55.39,55.48,55.57,55.3,129934,1658941200000
55.48,55.88,56.03,55.38,223636,1658944800000
55.91,55.985,56.34,55.88,465089,1658948400000
56,55.81,56,55.215,206391,1659016800000
55.81,55.99,56.18,55.675,174440,1659020400000
56,56,56.075,55.84,138292,1659024000000
56.01,56.22,56.31,55.94,258245,1659027600000
56.21,56.31,56.41,56.14,219469,1659031200000
56.295,56.42,56.475,56.27,664334,1659034800000
57.01,57.41,57.44,56.93,258406,1659103200000
57.39,57.385,57.49,57.22,234918,1659106800000
57.38,57.39,57.43,57.23,164712,1659110400000
57.38,57.24,57.39,57.17,241563,1659114000000
57.24,57.43,57.45,57.19,257121,1659117600000
57.425,57.32,57.54,57.25,848646,1659121200000
56.53,56.595,56.87,56.05,311485,1659362400000
56.595,56.46,56.825,56.43,233053,1659366000000
56.46,56.74,56.828,56.425,167729,1659369600000
56.75,56.58,56.85,56.465,218737,1659373200000
56.59,56.7699,56.78,56.53,199063,1659376800000
56.75,56.7,56.95,56.69,584793,1659380400000
59.4,59.8,59.97,59.17,563342,1659448800000
59.81,59.66,59.92,59.57,441081,1659452400000
59.63,59.58,59.675,59.44,343758,1659456000000
59.58,59.24,59.615,59.05,446249,1659459600000
59.24,59.13,59.32,59.075,301511,1659463200000
59.12,58.77,59.17,58.61,1321862.0,1659466800000
58.05,58.23,58.32,57.91,386529,1659535200000
58.24,58.49,58.57,58.15,294615,1659538800000
58.48,58.7,58.75,58.44,295450,1659542400000
58.71,58.98,59.16,58.71,339142,1659546000000
58.97,58.985,59.075,58.89,302221,1659549600000
58.99,59.02,59.14,58.965,759437,1659553200000
59.34,59.24,59.39,59.16,272616,1659621600000
59.245,59.34,59.425,59.245,304038,1659625200000
59.35,59.32,59.37,59.19,169785,1659628800000
59.315,59.1945,59.42,59.185,225578,1659632400000
59.19,59.16,59.255,59.11,285196,1659636000000
59.15,59.16,59.29,59.115,657123,1659639600000
59.61,59.3,59.75,59.23,209774,1659708000000
59.32,59.24,59.39,59.2,234051,1659711600000
59.22,59.45,59.5,59.22,137961,1659715200000
