o,c,h,l,v,t
12.805,12.76,12.83,12.76,1824,1657720800000
12.805,12.805,12.8142,12.77,4761,1657724400000
12.805,12.815,12.8393,12.805,2724,1657728000000
12.81,12.825,12.8397,12.79,4666,1657731600000
12.825,12.83,12.84,12.8,10140,1657735200000
12.84,12.84,12.88,12.835,13732,1657738800000
12.7401,12.7401,12.7401,12.7401,600,1657807200000
12.775,12.7953,12.7953,12.77,3747,1657810800000
12.78,12.78,12.785,12.78,1435,1657814400000
12.785,12.74,12.785,12.74,2935,1657818000000
12.8,12.765,12.8,12.765,1700,1657821600000
12.75,12.805,12.805,12.75,1772,1657825200000
12.76,12.77,12.8,12.76,7098,1657893600000
12.77,12.77,12.81,12.77,6004,1657897200000
12.8,12.79,12.8,12.76,3001,1657900800000
12.78,12.78,12.79,12.77,5826,1657904400000
12.7801,12.7897,12.795,12.77,5272,1657908000000
12.77,12.8,12.81,12.77,5744,1657911600000
12.84,12.8045,12.86,12.8,11072,1658152800000
12.8,12.76,12.8001,12.76,4508,1658156400000
12.76,12.77,12.7786,12.75,8023,1658160000000
12.7645,12.74,12.7699,12.74,5054,1658163600000
12.74,12.72,12.7499,12.72,2500,1658167200000
12.72,12.72,12.73,12.7,24026,1658170800000
12.7652,12.795,12.81,12.75,6060,1658239200000
12.8,12.8107,12.83,12.78,10759,1658242800000
12.82,12.82,12.83,12.81,1380,1658246400000
12.8,12.81,12.84,12.8,3635,1658250000000
12.84,12.82,12.84,12.81,1153,1658253600000
12.82,12.82,12.835,12.81,11618,1658257200000
12.77,12.85,12.86,12.76,18523,1658325600000
12.87,12.85,12.88,12.85,6802,1658329200000
12.86,12.8344,12.86,12.8344,5994,1658332800000
12.84,12.81,12.84,12.81,4964,1658336400000
12.81,12.8,12.82,12.8,8402,1658340000000
12.8,12.77,12.8099,12.76,15031,1658343600000
12.81,12.81,12.83,12.78,7731,1658412000000
12.8,12.87,12.91,12.8,4848,1658415600000
12.91,12.925,12.93,12.88,5693,1658419200000
12.92,12.9,12.93,12.88,3892,1658422800000
12.9,12.94,12.96,12.9,7081,1658426400000
12.94,12.94,12.98,12.93,20147,1658430000000
13.07,13.07,13.09,13.04,12282,1658498400000
13.07,13.015,13.07,12.97,11720,1658502000000
13.015,12.99,13.0172,12.99,2243,1658505600000
13,12.93,13.02,12.92,13485,1658509200000
12.93,12.93,12.95,12.93,3938,1658512800000
12.93,12.95,12.96,12.93,7193,1658516400000
13,13.01,13.08,13,6979,1658757600000
13.03,13.0318,13.0458,13.01,3180,1658761200000
13.035,13.01,13.05,13.01,2951,1658764800000
13.01,13,13.024,13,6952,1658768400000
13,13,13.01,12.98,14947,1658772000000
13.005,12.94,13.005,12.94,21944,1658775600000
12.941,12.98,12.98,12.93,5937,1658844000000
12.98,12.985,13.02,12.95,12415,1658847600000
12.96,12.96,12.98,12.96,900,1658851200000
12.96,12.98,12.99,12.95,8978,1658854800000
12.99,12.98,13.01,12.98,7622,1658858400000
12.98,12.98,12.99,12.93,15908,1658862000000
13.08,13.03,13.08,13.02,3687,1658930400000
13.03,13.01,13.04,13.01,1181,1658934000000
13.01,13,13.06,13,4113,1658937600000
13,13.025,13.0262,13,2449,1658941200000
13,13.02,13.05,13,3981,1658944800000
13.01,13.02,13.06,13.01,6604,1658948400000
13.015,13.035,13.05,13.015,2896,1659016800000
13.05,13.09,13.12,13.05,4408,1659020400000
13.0993,13.14,13.14,13.09,8308,1659024000000
13.14,13.17,13.18,13.11,12958,1659027600000
13.17,13.16,13.21,13.15,7771,1659031200000
13.2,13.185,13.22,13.17,9913,1659034800000
13.28,13.3,13.32,13.28,7469,1659103200000
13.2979,13.31,13.32,13.295,7722,1659106800000
13.31,13.28,13.32,13.28,8572,1659110400000
13.3,13.2582,13.308,13.25,9790,1659114000000
13.28,13.29,13.2954,13.23,13694,1659117600000
13.26,13.26,13.2999,13.26,7203,1659121200000
13.4299,13.36,13.4299,13.3201,5804,1659362400000
13.37,13.33,13.37,13.33,7113,1659366000000
13.335,13.3534,13.3534,13.31,6056,1659369600000
13.33,13.35,13.36,13.29,3558,1659373200000
13.3,13.33,13.3449,13.27,8926,1659376800000
13.29,13.29,13.32,13.25,15570,1659380400000
13.31,13.29,13.335,13.29,9141,1659448800000
13.3025,13.28,13.3025,13.27,8852,1659452400000
13.285,13.2815,13.29,13.23,24070,1659456000000
13.29,13.31,13.31,13.27,5064,1659459600000
13.31,13.23,13.31,13.23,16398,1659463200000
13.26,13.24,13.26,13.22,9626,1659466800000
13.3,13.2767,13.3331,13.2689,3775,1659535200000
13.29,13.29,13.31,13.26,14767,1659538800000
13.2835,13.32,13.32,13.2835,7491,1659542400000
13.31,13.31,13.31,13.28,9288,1659546000000
13.31,13.305,13.32,13.305,6182,1659549600000
13.315,13.28,13.315,13.28,10405,1659553200000
13.31,13.32,13.325,13.29,17758,1659621600000
13.325,13.35,13.35,13.325,2666,1659625200000
13.35,13.33,13.37,13.33,10236,1659628800000
13.3441,13.33,13.36,13.33,6177,1659632400000
13.345,13.3384,13.345,13.33,2691,1659636000000
13.34,13.34,13.34,13.34,1200,1659639600000
13.3294,13.3599,13.36,13.3294,2521,1659708000000
