o,c,h,l,v,t
6.86,7.105,7.13,6.725,1590025.0,1657720800000
7.11,7.16,7.34,7.09,2181291.0,1657724400000
7.155,7.2095,7.23,7.11,909425,1657728000000
7.2013,7.285,7.29,7.175,797094,1657731600000
7.28,7.2,7.28,7.15,757345,1657735200000
7.2099,7.155,7.21,7.1,956449,1657738800000
6.525,6.685,6.74,6.47,2271896.0,1657807200000
6.69,6.8095,6.865,6.6625,1987471.0,1657810800000
6.81,6.75,6.82,6.72,759401,1657814400000
6.755,6.83,6.84,6.73,769255,1657818000000
6.83,6.84,6.9,6.815,659128,1657821600000
6.85,6.88,6.9,6.815,829599,1657825200000
6.74,6.73,6.81,6.6401,1245495.0,1657893600000
6.73,6.85,6.905,6.725,971759,1657897200000
6.85,6.83,6.86,6.8,430297,1657900800000
6.835,6.845,6.85,6.8,461851,1657904400000
6.85,6.84,6.87,6.8,650255,1657908000000
6.84,6.9,6.9,6.84,962982,1657911600000
7.155,7.2089,7.2487,7.08,698299,1658152800000
7.205,7.2,7.205,7.13,474095,1658156400000
7.2,7.2301,7.26,7.2,317000,1658160000000
7.23,7.14,7.249,7.14,424803,1658163600000
7.14,7.07,7.15,7.07,512317,1658167200000
7.07,7.06,7.1,7.05,622794,1658170800000
7.135,7.145,7.205,7.05,1242781.0,1658239200000
7.149,7.27,7.27,7.115,862988,1658242800000
7.28,7.16,7.28,7.15,573473,1658246400000
7.165,7.1199,7.17,7.11,477210,1658250000000
7.115,7.115,7.155,7.1,395740,1658253600000
7.115,7.14,7.165,7.1,1018288.0,1658257200000
7.1594,7.215,7.26,7.08,678921,1658325600000
7.21,7.2099,7.21,7.125,549579,1658329200000
7.21,7.1007,7.21,7.07,510695,1658332800000
7.1,7.039,7.11,7.03,519654,1658336400000
7.04,7.05,7.07,7.0133,431367,1658340000000
7.055,7.04,7.0799,7.03,625893,1658343600000
6.9,6.84,6.93,6.75,2133783.0,1658412000000
6.845,6.8678,6.93,6.81,1308472.0,1658415600000
6.865,6.83,6.9,6.8,895859,1658419200000
6.825,6.76,6.835,6.74,815010,1658422800000
6.765,6.67,6.785,6.67,1433417.0,1658426400000
6.67,6.765,6.77,6.66,1957837.0,1658430000000
7.095,7.1144,7.23,7.01,1644493.0,1658498400000
7.115,6.91,7.125,6.905,1035095.0,1658502000000
6.91,6.775,6.92,6.77,825820,1658505600000
6.775,6.7256,6.78,6.695,742816,1658509200000
6.72,6.715,6.75,6.66,758893,1658512800000
6.715,6.66,6.715,6.63,1356064.0,1658516400000
6.4,6.405,6.465,6.31,1795018.0,1658757600000
6.405,6.42,6.495,6.385,827074,1658761200000
6.41,6.505,6.51,6.4,613018,1658764800000
6.505,6.49,6.535,6.46,583816,1658768400000
6.49,6.47,6.54,6.47,755611,1658772000000
6.48,6.55,6.56,6.43,1375866.0,1658775600000
6.66,6.6,6.71,6.56,983893,1658844000000
6.6,6.5901,6.645,6.545,569417,1658847600000
6.59,6.625,6.64,6.58,454961,1658851200000
6.63,6.615,6.64,6.595,408209,1658854800000
6.615,6.635,6.655,6.6,396385,1658858400000
6.64,6.68,6.68,6.63,950443,1658862000000
6.74,6.815,6.82,6.65,710914,1658930400000
6.82,6.8801,6.91,6.805,666110,1658934000000
6.885,6.89,6.905,6.855,311904,1658937600000
6.89,6.875,6.91,6.865,396864,1658941200000
6.88,7.08,7.12,6.84,2883152.0,1658944800000
7.0794,7.13,7.15,7.055,1620568.0,1658948400000
7.35,7.35,7.45,7.155,1412979.0,1659016800000
7.35,7.405,7.48,7.31,1186742.0,1659020400000
7.4077,7.48,7.54,7.4,1043820.0,1659024000000
7.49,7.4192,7.5,7.37,630815,1659027600000
7.415,7.386,7.4275,7.335,737758,1659031200000
7.39,7.4613,7.47,7.38,1065580.0,1659034800000
7.345,7.53,7.56,7.325,1153439.0,1659103200000
7.53,7.57,7.615,7.485,804584,1659106800000
7.57,7.6312,7.65,7.5501,855774,1659110400000
7.64,7.6907,7.705,7.62,402378,1659114000000
7.69,7.67,7.72,7.6515,557634,1659117600000
7.665,7.66,7.6952,7.6501,939877,1659121200000
7.605,7.64,7.6889,7.52,639998,1659362400000
7.64,7.67,7.71,7.585,518663,1659366000000
7.67,7.755,7.77,7.6306,462043,1659369600000
7.75,7.68,7.75,7.67,370182,1659373200000
7.68,7.7,7.71,7.631,631275,1659376800000
7.705,7.71,7.725,7.675,814424,1659380400000
7.69,7.645,7.89,7.62,927108,1659448800000
7.65,7.72,7.765,7.61,615794,1659452400000
7.72,7.74,7.76,7.68,467677,1659456000000
7.74,7.69,7.795,7.655,474868,1659459600000
7.69,7.64,7.69,7.62,413280,1659463200000
7.645,7.59,7.66,7.56,841709,1659466800000
7.49,7.295,7.5,7.26,1747402.0,1659535200000
7.295,7.345,7.355,7.25,864875,1659538800000
7.345,7.37,7.37,7.305,571009,1659542400000
7.365,7.33,7.375,7.29,731751,1659546000000
7.33,7.325,7.345,7.3,758106,1659549600000
7.32,7.37,7.37,7.31,1115234.0,1659553200000
7.8599,7.97,8.06,7.815,1554231.0,1659621600000
7.97,7.98,8.0206,7.9,837560,1659625200000
7.99,8.1747,8.18,7.9705,853890,1659628800000
8.175,8.175,8.25,8.15,650923,1659632400000
8.18,8.18,8.22,8.155,696268,1659636000000
8.18,8.05,8.18,8.04,1452771.0,1659639600000
7.62,7.74,7.74,7.6,938347,1659708000000
7.73,7.705,7.735,7.6,792157,1659711600000
7.705,7.795,7.8,7.6804,460743,1659715200000
7.795,7.865,7.88,7.78,667004,1659718800000
7.86,7.895,7.91,7.85,625520,1659722400000
7.9,8.04,8.05,7.89,1051738.0,1659726000000
8.45,8.39,8.48,8.35,1238115.0,1659967200000
8.39,8.42,8.479,8.3201,742403,1659970800000
8.41,8.455,8.46,8.335,663011,1659974400000
8.45,8.52,8.52,8.445,758124,1659978000000
8.51,8.47,8.52,8.425,471000,1659981600000
8.46,8.435,8.475,8.4,990123,1659985200000
8.33,8.12,8.33,8.12,626138,1660053600000
8.12,8.1801,8.205,8.08,500411,1660057200000
8.19,8.245,8.27,8.185,396463,1660060800000
8.25,8.27,8.3,8.22,276209,1660064400000
