o,c,h,l,v,t
91.46,91.92,92.11,90.45,128043,1657720800000
91.93,91.11,92.27,90.95,66674,1657724400000
91.09,91.27,91.4,90.84,36712,1657728000000
91.33,91.62,91.785,91.23,70633,1657731600000
91.58,91.54,91.78,90.99,112394,1657735200000
91.59,91.77,91.81,91.11,330301,1657738800000
89.62,88.99,90.04,88.99,136454,1657807200000
88.99,89.505,89.71,88.615,47256,1657810800000
89.47,89.29,89.74,88.9301,38932,1657814400000
89.175,89.71,89.83,89.115,47780,1657818000000
89.75,89.975,90.05,89.6,60684,1657821600000
89.99,90.24,90.28,89.85,203135,1657825200000
89.41,91.63,91.83,89.41,41787,1657893600000
91.62,91.07,91.88,91.07,43867,1657897200000
91.04,91.68,91.7,90.78,28852,1657900800000
91.68,91.2,91.85,90.99,55304,1657904400000
91.22,91.48,91.75,91.16,51649,1657908000000
91.45,91.92,91.99,91.25,163358,1657911600000
94.48,94.385,95.04,93.88,66290,1658152800000
94.39,94.475,94.51,94,50336,1658156400000
94.485,93.8,94.5397,93.66,47392,1658160000000
93.915,93.455,94.07,93.43,40491,1658163600000
93.44,92.55,93.52,92.4,63026,1658167200000
92.515,91.96,92.56,91.65,270364,1658170800000
94.17,96.15,96.88,94.12,166878,1658239200000
96.17,96.495,96.72,95.98,72606,1658242800000
96.46,96.85,96.88,96.25,37356,1658246400000
96.88,97.21,97.39,96.64,35078,1658250000000
97.22,97.32,97.55,97.02,39586,1658253600000
97.32,97.55,97.68,97.13,100574,1658257200000
97.89,98.99,99.22,97.7,62491,1658325600000
99.04,98.95,99.11,98.62,80693,1658329200000
98.94,98.375,99.24,98.1,33601,1658332800000
98.19,98.15,98.46,97.795,30287,1658336400000
98.21,98.66,98.82,97.81,42651,1658340000000
98.6888,99.19,99.25,98.39,223927,1658343600000
99.225,98.94,99.275,97.5308,37616,1658412000000
98.86,98.09,98.895,97.815,61312,1658415600000
98.06,98.12,98.4,97.9,49252,1658419200000
98.16,98.26,98.26,97.86,44938,1658422800000
98.22,98.28,98.3999,98.16,34939,1658426400000
98.29,98.77,98.8,98.28,191042,1658430000000
98.98,99.5,99.9,98.95,57072,1658498400000
99.48,98.63,99.94,98.565,30060,1658502000000
98.66,98.37,98.72,98.19,17912,1658505600000
98.19,97.44,98.21,97.35,20907,1658509200000
97.41,97.33,97.6,97.07,34718,1658512800000
97.31,97.93,97.94,97.2562,111974,1658516400000
99.26,99.25,100.0325,99.25,71914,1658757600000
99.27,99.73,100,98.61,70220,1658761200000
99.79,100.17,100.33,99.67,19561,1658764800000
100.2356,99.87,100.375,99.87,20898,1658768400000
99.87,100.17,100.47,99.73,27782,1658772000000
100.17,100.6,100.8,99.885,117530,1658775600000
100.69,101.01,101.13,99.87,164324,1658844000000
101.03,99.31,101.055,99.28,57835,1658847600000
99.23,99.4523,99.47,99,80976,1658851200000
99.46,99.34,99.49,99.3,57946,1658854800000
99.41,99.445,99.62,99.17,82583,1658858400000
99.44,99.85,100.015,99.2543,201036,1658862000000
99.21,101.07,101.18,99.1443,33515,1658930400000
101.19,101.395,101.695,100.74,57934,1658934000000
101.33,101.69,101.72,101.19,76331,1658937600000
101.685,102.17,102.37,101.52,81146,1658941200000
102.21,103.41,103.65,101.6268,83837,1658944800000
103.47,103.82,104.07,103.39,195386,1658948400000
102.54,103.39,103.57,99.53,309811,1659016800000
103.4,103.07,103.96,102.76,120748,1659020400000
103.0984,103.35,103.55,102.93,68513,1659024000000
103.32,103.55,103.8,103.1465,63283,1659027600000
103.46,103.07,103.49,102.12,86669,1659031200000
103.075,103.3,103.44,102.67,249882,1659034800000
106.5475,108.67,108.87,106.36,111945,1659103200000
108.65,109.145,109.97,108.65,159435,1659106800000
109.16,109.16,109.22,108.425,58746,1659110400000
109.14,109.73,109.73,108.935,65247,1659114000000
109.78,110.32,110.39,109.76,83454,1659117600000
110.36,108.93,110.54,108.79,281875,1659121200000
107.58,107.95,108.395,106.69,113434,1659362400000
108.01,107.91,108.55,107.48,85006,1659366000000
107.79,107.26,108.08,107.26,76924,1659369600000
107.19,106.69,107.275,106.5,26251,1659373200000
106.83,107.78,107.8,106.53,35533,1659376800000
107.71,107.22,107.81,107.01,109003,1659380400000
105.59,106.97,107.37,105.25,105600,1659448800000
106.725,106.65,106.9,106.31,24931,1659452400000
106.69,106.955,107.165,106.69,27211,1659456000000
106.96,106.35,107.0875,106.055,41765,1659459600000
106.31,106.41,106.84,106.31,34909,1659463200000
106.43,105.44,106.45,105.39,102939,1659466800000
106.19,105.625,106.375,105.425,38859,1659535200000
105.72,106.15,106.43,105.22,30988,1659538800000
106.1,106.09,106.448,105.965,21469,1659542400000
106.09,105.56,106.1,105.41,28196,1659546000000
105.56,105.43,105.92,105.29,74673,1659549600000
105.44,105.34,105.65,105.13,102660,1659553200000
105.715,106.75,107.02,105.505,58102,1659621600000
106.72,106.59,106.9,106.29,33122,1659625200000
106.5,106.62,106.81,106.26,27843,1659628800000
106.6625,107.265,107.33,106.66,24502,1659632400000
107.29,106.41,107.86,106.4,68724,1659636000000
106.46,106.3,107.01,106.15,114844,1659639600000
106.3026,106.38,106.605,105.9256,18088,1659708000000
106.3,105.24,106.3,105.24,36420,1659711600000
