o,c,h,l,v,t
9.32,9.4,9.4,9.32,3716,1657720800000
9.4,9.37,9.41,9.3669,4676,1657724400000
9.37,9.37,9.37,9.37,199,1657728000000
9.393,9.3624,9.41,9.3605,4726,1657731600000
9.4,9.38,9.4,9.38,200,1657735200000
9.4,9.39,9.4,9.3899,1674,1657738800000
9.2368,9.225,9.25,9.21,4121,1657807200000
9.22,9.26,9.26,9.22,2003,1657810800000
9.25,9.25,9.25,9.25,600,1657814400000
9.25,9.24,9.26,9.2305,3835,1657818000000
9.27,9.2845,9.285,9.27,2208,1657821600000
9.28,9.28,9.2891,9.28,2234,1657825200000
9.33,9.4,9.4,9.33,4834,1657893600000
9.38,9.4,9.4,9.38,7874,1657897200000
9.39,9.399,9.399,9.39,710,1657900800000
9.39,9.35,9.4,9.33,20627,1657904400000
9.36,9.36,9.365,9.34,4416,1657908000000
9.3778,9.38,9.39,9.37,2251,1657911600000
9.5,9.49,9.5,9.47,701,1658152800000
9.5,9.46,9.5,9.4559,1426,1658156400000
9.46,9.49,9.49,9.46,1633,1658160000000
9.4599,9.44,9.4643,9.44,4697,1658163600000
9.4089,9.4089,9.4089,9.4089,100,1658167200000
9.4,9.37,9.4001,9.36,3022,1658170800000
9.5197,9.525,9.525,9.505,1184,1658239200000
9.525,9.55,9.55,9.525,1170,1658242800000
9.55,9.5899,9.5899,9.52,4207,1658246400000
9.55,9.5625,9.565,9.55,602,1658250000000
9.58,9.61,9.61,9.58,1282,1658253600000
9.6,9.59,9.62,9.5825,2560,1658257200000
9.5501,9.58,9.61,9.5501,16136,1658325600000
9.64,9.64,9.64,9.64,100,1658329200000
9.66,9.63,9.68,9.63,3210,1658332800000
9.609,9.62,9.63,9.6,15859,1658336400000
9.609,9.609,9.609,9.609,300,1658340000000
9.6,9.65,9.65,9.6,11079,1658343600000
9.54,9.515,9.54,9.49,3637,1658412000000
9.51,9.54,9.54,9.51,1750,1658415600000
9.535,9.5301,9.56,9.5301,2114,1658419200000
9.55,9.57,9.5717,9.54,3667,1658422800000
9.57,9.54,9.59,9.54,1301,1658426400000
9.56,9.61,9.61,9.56,4895,1658430000000
9.58,9.61,9.61,9.56,4067,1658498400000
