o,c,h,l,v,t
7.14,7.33,7.35,7.03,1615903.0,1657720800000
7.325,7.355,7.465,7.31,1542759.0,1657724400000
7.36,7.39,7.4199,7.3001,667033,1657728000000
7.39,7.45,7.485,7.361,1020047.0,1657731600000
7.455,7.4,7.455,7.365,1032034.0,1657735200000
7.405,7.4,7.415,7.325,1108295.0,1657738800000
6.9305,7.01,7.075,6.89,845768,1657807200000
7.01,7.097,7.145,6.975,1417314.0,1657810800000
7.1,7.05,7.1,7.01,873584,1657814400000
7.06,7.125,7.1284,7.02,650194,1657818000000
7.12,7.145,7.18,7.095,1136177.0,1657821600000
7.15,7.15,7.185,7.115,1081664.0,1657825200000
6.945,7.045,7.05,6.845,2173817.0,1657893600000
7.045,7.07,7.14,7.02,1314708.0,1657897200000
7.065,7.065,7.085,6.99,905323,1657900800000
7.06,7.03,7.08,7.01,520243,1657904400000
7.035,7.015,7.045,6.98,617676,1657908000000
7.015,7.07,7.075,7.01,700114,1657911600000
7.29,7.405,7.43,7.22,1017511.0,1658152800000
7.4003,7.405,7.43,7.365,904217,1658156400000
7.41,7.385,7.425,7.36,567752,1658160000000
7.38,7.335,7.395,7.33,277833,1658163600000
7.335,7.325,7.37,7.3,511884,1658167200000
7.325,7.315,7.36,7.28,1686830.0,1658170800000
7.47,7.435,7.51,7.38,1268203.0,1658239200000
7.44,7.5695,7.57,7.4,1043672.0,1658242800000
7.57,7.445,7.57,7.43,950233,1658246400000
7.445,7.395,7.4489,7.375,1085681.0,1658250000000
7.395,7.415,7.46,7.3644,559919,1658253600000
7.42,7.45,7.46,7.395,1191448.0,1658257200000
7.3,7.3699,7.4,7.25,540354,1658325600000
7.36,7.33,7.3601,7.285,249366,1658329200000
7.33,7.275,7.36,7.235,340740,1658332800000
7.275,7.2,7.285,7.2,280809,1658336400000
7.205,7.17,7.22,7.15,596945,1658340000000
7.175,7.17,7.2,7.17,590619,1658343600000
7.22,7.27,7.295,7.15,492265,1658412000000
7.28,7.28,7.325,7.22,363013,1658415600000
