o,c,h,l,v,t
96.155,95.6185,96.155,94.69,1714,1657720800000
95.09,95.89,96.27,95.09,8800,1657724400000
95.79,95.77,96.1,95.6611,3795,1657728000000
95.86,95.52,95.86,95.51,2221,1657731600000
95.1,95.84,95.89,95.1,3600,1657735200000
95.6001,95.6,95.87,95.6,5326,1657738800000
93.57,93.14,93.58,93.14,521,1657807200000
92.95,93.68,93.68,92.6713,3600,1657810800000
93.5,92.52,93.5,92.47,2532,1657814400000
92.43,92.61,92.61,92.43,265,1657818000000
92.87,93.2,93.2,92.81,2118,1657821600000
93.01,93.42,93.62,93.01,8018,1657825200000
95.81,95.86,96.301,95.25,4155,1657893600000
96.3313,96.73,96.73,96.2,952,1657897200000
96.74,96.8,96.9455,96.44,4372,1657900800000
96.8,96.8,96.8,96.8,121,1657904400000
96.87,96.8101,96.87,96.53,4864,1657908000000
96.64,96.55,96.685,96.27,7137,1657911600000
98.0533,98.28,98.28,98.0533,284,1658152800000
97.865,97.26,97.865,97.26,2384,1658160000000
97.58,97.68,97.88,97.44,1841,1658163600000
97.69,97.325,97.7,97.02,5172,1658167200000
97.62,97.85,97.85,97.27,5114,1658170800000
100.19,100.85,101.76,99.91,7547,1658239200000
101.1,100.59,101.1,100.59,1712,1658242800000
100.32,100.27,100.7,100.27,3339,1658246400000
100.5735,101,101.04,100.19,5766,1658250000000
101.16,101.2138,101.23,100.94,2680,1658253600000
101.33,100.9,101.755,100.63,4340,1658257200000
100.79,100.97,100.97,100.13,6185,1658325600000
101.01,101.24,101.4,100.755,3744,1658329200000
101.3138,100.97,101.51,100.7,2531,1658332800000
100.6,100.71,101.18,100.6,5157,1658336400000
100.5,101.72,101.83,100.5,888,1658340000000
101.91,101.92,102.24,101.91,3885,1658343600000
100.19,100.22,100.84,100.19,1453,1658412000000
100.2928,100.41,100.63,100.01,1184,1658415600000
100.74,100.74,100.74,100.74,379,1658419200000
101.24,100.72,101.24,100.72,737,1658422800000
101.05,100.96,101.15,100.79,2645,1658426400000
101.16,101.32,101.69,101.16,2578,1658430000000
100.44,101.26,101.52,100.44,3391,1658498400000
100.71,101.04,101.29,100.71,4457,1658505600000
100.86,100.11,100.86,100.11,2071,1658509200000
100.11,100.14,100.14,100.11,636,1658512800000
99.74,100.73,100.73,99.74,7077,1658516400000
102.36,102.97,102.97,102.02,8832,1658757600000
102.45,102.75,102.75,102.45,714,1658761200000
102.96,102.91,102.96,102.45,4657,1658764800000
102.93,102.95,103.01,102.68,1989,1658768400000
102.8092,103.52,103.52,102.8092,3406,1658772000000
103.62,103.61,103.7,103.13,5951,1658775600000
103.48,103.48,103.66,103.31,904,1658847600000
103.04,104.16,104.16,103.04,561,1658851200000
104.035,103.76,104.04,103.76,1062,1658854800000
103.4,103.4,103.4,103.065,2258,1658858400000
102.94,103.47,103.54,102.94,4343,1658862000000
105.66,105.44,105.94,105.22,1472,1658930400000
105.56,105.48,105.86,105.46,4850,1658934000000
105.79,106.1,106.1,105.5,5776,1658937600000
106.04,106.535,106.535,105.935,3013,1658941200000
106.7,107.51,107.56,106.58,2649,1658944800000
107.28,107.68,108.37,107.21,8129,1658948400000
108.1,107.655,108.4841,107.375,5869,1659016800000
107.855,108.08,108.8,107.495,741,1659020400000
108.06,108.29,108.4,107.965,1112,1659024000000
108.66,108.775,109.0101,108.33,2269,1659027600000
109.13,108.54,109.41,108.49,5685,1659031200000
108.64,109,109.21,108.64,4250,1659034800000
109.9582,110.22,110.22,109.7737,1544,1659103200000
110.22,110.0032,110.22,109.9,688,1659106800000
110.04,109.8164,110.04,109.8164,414,1659110400000
109.62,110.53,110.53,109.6,2429,1659114000000
110.11,110.82,110.82,110.11,4871,1659117600000
110.74,110.29,111.24,110.22,8492,1659121200000
110.16,109.75,110.5,109.35,2870,1659362400000
110.16,109.4,110.26,109.4,3880,1659366000000
109.5802,109.48,110.02,109.245,4027,1659369600000
109.64,107.55,109.735,107.55,6026,1659373200000
107.6,107.84,107.97,107.14,3840,1659376800000
107.93,107.34,108.41,107.17,8959,1659380400000
106.2484,105.9,106.35,105.71,1619,1659448800000
105.71,107.04,107.04,105.68,3613,1659452400000
106.37,106,106.93,106,2066,1659456000000
105.95,105.12,106.19,105.0291,5831,1659459600000
105.16,105.8,105.8,105.16,3262,1659463200000
105.4136,105.63,105.95,105.4136,8127,1659466800000
105.55,105.83,106.12,105.55,2832,1659535200000
106.1266,107.16,107.16,106.1266,915,1659538800000
107.79,107.77,107.79,107.77,229,1659542400000
108.08,108.44,108.44,108.08,520,1659546000000
108.79,108.76,108.79,108.73,737,1659549600000
108.98,108.4,109.04,108.37,4140,1659553200000
106.96,107.09,107.51,106.84,2707,1659621600000
107.6,106.88,107.6,106.88,315,1659625200000
107,107.53,107.56,107,4559,1659628800000
107.15,107.49,107.62,107.15,1006,1659632400000
107.61,107.67,107.8,107.61,1632,1659636000000
107.9,108.49,108.52,107.9,3438,1659639600000
108.9502,108.9502,108.9502,108.9502,129,1659711600000
109.39,109.6,109.6,109.39,253,1659715200000
110.18,110.2,110.2,110.18,201,1659718800000
110.11,110.11,110.12,110.1,911,1659722400000
110.27,109.09,110.29,108.87,5710,1659726000000
110.3096,110.415,110.415,110.3096,808,1659967200000
110.46,109.91,110.46,109.91,987,1659970800000
110.36,110.25,110.4,109.81,5614,1659978000000
109.48,109.91,109.91,109.48,966,1659981600000
110.18,110.26,111.17,109.91,5973,1659985200000
110.5,110.09,110.63,109.67,2335,1660053600000
109.26,109.41,110.15,109.26,1247,1660057200000
109.22,109.38,109.57,109.22,458,1660060800000
110.1899,110.59,110.7,110.1899,840,1660064400000
111.25,111.3457,111.44,111.25,1314,1660068000000
111.34,111.64,111.825,110.8101,8953,1660071600000
113.65,113.34,113.65,113.34,529,1660140000000
113.61,113.56,113.61,113.56,600,1660143600000
113.16,112.66,113.16,112.62,1290,1660147200000
112.66,112.09,112.88,112.09,3078,1660150800000
112.135,112.19,112.62,112.06,3411,1660154400000
112.91,112.06,112.91,112.04,2255,1660158000000
111.92,112.695,112.92,111.92,1598,1660226400000
112.39,112.49,112.75,112.01,3916,1660230000000
112.79,113.91,113.91,112.79,399,1660233600000
113.78,113.35,113.78,113.35,596,1660237200000
113.48,113.48,113.48,113.48,105,1660240800000
113.48,113.4,113.92,113.4,2247,1660244400000
113.17,114.7199,114.72,113.17,1254,1660312800000
114.72,114.49,114.72,114.49,401,1660316400000
115.5,115.9,115.9,115.24,636,1660320000000
115.93,115.72,116.07,115.64,865,1660323600000
115.94,115.62,116,115.34,3180,1660327200000
115.34,115.64,115.9,115.29,8758,1660330800000
114.755,115.047,115.193,114.755,648,1660575600000
115.37,115.36,115.37,114.92,587,1660579200000
115.7,115.59,115.82,115.21,3181,1660582800000
115.38,115.59,115.76,114.89,5598,1660586400000
115.77,114.84,115.77,114.42,5415,1660590000000
114.49,115.47,115.47,114.49,5489,1660658400000
115.5,116.02,116.02,115.5,2815,1660662000000
116.3,115.42,116.3,115.42,1484,1660665600000
115.29,116.6,116.6,115.29,2653,1660669200000
116.71,116.7,116.71,116.49,457,1660672800000
115.87,116.48,116.48,115.87,4249,1660676400000
114.78,115.2,115.2,114.78,1610,1660744800000
115.37,115.2,115.47,114.98,3154,1660748400000
114.57,115.11,115.11,114.57,382,1660752000000
116,116,116,116,434,1660755600000
116.0548,116.1443,116.68,116.0548,813,1660759200000
115.81,116.02,116.44,115.81,4549,1660762800000
116.05,116.2,116.39,115.52,3253,1660831200000
116.08,115.59,116.08,115.31,2619,1660834800000
116.05,115.8866,116.05,115.8866,1710,1660838400000
116.35,116.0896,116.35,116.0896,226,1660842000000
115.93,116.07,116.08,115.71,2607,1660845600000
116.22,116.48,116.6,116.2,3140,1660849200000
114.76,114.03,114.76,113.45,2343,1660917600000
114.22,114.07,114.75,113.8,4959,1660921200000
113.89,114.37,114.37,113.89,1015,1660924800000
113.98,113.98,113.98,113.98,295,1660928400000
113.62,113.66,114,113.49,3579,1660932000000
113.57,114.39,114.39,113.28,4138,1660935600000
112.445,113.16,113.16,112.15,3118,1661176800000
113.27,113.11,113.47,112.92,3198,1661180400000
113.325,113.44,113.44,113.14,434,1661184000000
113.2601,113.79,113.88,113.2601,468,1661187600000
113.19,113.125,113.74,113.125,7135,1661191200000
113.33,113.09,113.33,112.84,2864,1661194800000
112.895,113.08,113.6198,112.895,3416,1661263200000
113,113.5,113.5,112.3547,5253,1661266800000
113,113,113,113,103,1661270400000
113.37,113.22,113.37,112.61,6221,1661277600000
112.905,113.1,113.12,112.905,3598,1661281200000
112.51,113.09,113.31,112.51,5891,1661349600000
113.17,113.53,113.53,113.17,373,1661356800000
113.16,113.46,113.47,113.16,3023,1661364000000
113.2,113.84,114.08,113.2,3895,1661367600000
115,115,115,115,236,1661436000000
115.2,115.2,115.2,115.2,112,1661439600000
114.5981,114.45,114.5981,114.45,976,1661443200000
114.37,115.01,115.11,114.3219,1863,1661446800000
115.1,115.15,115.15,115.1,454,1661450400000
114.85,114.88,115.13,114.771,5427,1661454000000
115.1,113.45,115.1,113.09,2140,1661522400000
112.73,112.73,112.73,112.73,610,1661526000000
112.72,112.66,113.14,112.48,2327,1661529600000
112.23,111.6256,112.62,111.6256,2056,1661533200000
111.6501,111.7,111.91,111.6501,621,1661536800000
111.455,111.43,111.455,111.17,2047,1661540400000
109.89,110.18,110.8675,109.71,1241,1661781600000
110.355,111.215,111.215,110.355,593,1661785200000
111.32,111.38,111.38,111.32,414,1661788800000
111.35,111.45,111.45,111.27,523,1661792400000
111.16,111.33,111.78,111.16,4216,1661796000000
111.08,110.79,111.08,110.72,2413,1661799600000
109.71,109.78,110.2,109.285,2651,1661868000000
109.94,110.15,110.44,109.62,3374,1661871600000
110.15,110.15,110.15,110.15,495,1661875200000
109.69,109.24,109.69,109.175,547,1661878800000
109.2,110.0921,110.0921,109.2,5000,1661882400000
110.04,110.24,110.54,109.97,1445,1661886000000
110.01,110.185,110.3,110.01,735,1661954400000
110.13,110.2,110.59,110.13,2619,1661958000000
110.39,110.43,110.74,110.19,1765,1661961600000
110.4,110.455,110.455,110.09,1701,1661965200000
110.3,109.95,110.62,109.95,4248,1661968800000
109.75,109.14,109.79,109.01,6591,1661972400000
108.59,108.08,109.019,107.5,2008,1662040800000
108.3627,108.8466,109.469,108.3627,2117,1662044400000
108.73,109.3,109.47,108.73,2451,1662048000000
109.08,109.08,109.11,108.68,1172,1662051600000
