o,c,h,l,v,t
54.92,54.605,55.06,54.44,21682,1657720800000
54.63,54.62,54.7818,54.39,17032,1657724400000
54.63,54.94,55.04,54.61,19312,1657728000000
54.89,54.97,55.13,54.87,24203,1657731600000
55,55.07,55.21,54.78,34612,1657735200000
55.06,54.89,55.14,54.82,87948,1657738800000
53.4599,53.485,53.59,53.155,13785,1657807200000
53.53,53.805,53.86,53.41,19520,1657810800000
53.77,53.51,53.78,53.4,13384,1657814400000
53.49,53.56,53.69,53.35,22028,1657818000000
53.67,53.955,54.0273,53.67,39490,1657821600000
53.99,53.75,54.09,53.75,76298,1657825200000
54.245,54.7,54.86,54.2,34802,1657893600000
54.69,54.625,54.92,54.58,24917,1657897200000
54.61,54.83,55.01,54.61,39236,1657900800000
54.83,54.96,55.06,54.79,21095,1657904400000
54.97,55.005,55.12,54.9,27916,1657908000000
54.99,54.66,55.02,54.535,71365,1657911600000
55.15,55.38,55.53,55.12,20952,1658152800000
55.39,55.33,55.43,55.18,19805,1658156400000
55.33,54.83,55.39,54.7891,32661,1658160000000
54.9,54.82,55.06,54.81,20149,1658163600000
54.79,54.545,54.87,54.51,30183,1658167200000
54.53,54.35,54.735,54.2,66688,1658170800000
55.63,55.845,56.01,55.525,33498,1658239200000
55.95,56.005,56.065,55.85,25024,1658242800000
56.03,56.26,56.376,55.83,33986,1658246400000
56.2568,55.85,56.2699,55.85,46720,1658250000000
55.87,55.72,56.105,55.65,63651,1658253600000
55.715,55.83,56.07,55.66,143043,1658257200000
55.51,56.21,56.21,55.42,32967,1658325600000
56.165,56.07,56.165,55.94,28321,1658329200000
56.07,55.785,56.25,55.71,19059,1658332800000
55.775,55.76,55.93,55.52,31021,1658336400000
55.85,56.09,56.2,55.71,58472,1658340000000
56.07,56.24,56.3,56.03,115566,1658343600000
55.95,55.6,55.95,55.2,17187,1658412000000
55.69,55.825,55.89,55.42,13908,1658415600000
55.85,56.06,56.11,55.82,15658,1658419200000
56.02,55.69,56.04,55.64,22680,1658422800000
55.71,55.64,55.83,55.59,35481,1658426400000
55.66,55.78,55.93,55.66,83234,1658430000000
55.54,55.98,56.125,55.525,22796,1658498400000
55.85,55.83,56.21,55.72,22563,1658502000000
55.84,55.905,56.12,55.83,30785,1658505600000
55.88,55.63,55.93,55.475,27926,1658509200000
55.63,55.52,55.77,55.435,40930,1658512800000
55.5,55.89,55.92,55.44,81295,1658516400000
56.56,56.97,57,56.56,29123,1658757600000
56.99,57.135,57.195,56.86,26852,1658761200000
57.14,56.9,57.14,56.86,26168,1658764800000
56.92,56.895,57.1,56.89,68506,1658768400000
56.91,56.795,57.01,56.755,39430,1658772000000
56.82,57,57.01,56.7,156627,1658775600000
57.1,57.33,57.41,57.04,21384,1658844000000
57.31,56.95,57.355,56.86,25708,1658847600000
56.91,57.115,57.26,56.82,34744,1658851200000
57.08,57.12,57.22,56.99,18237,1658854800000
57.1005,56.74,57.18,56.64,38467,1658858400000
56.715,56.62,56.83,56.62,124895,1658862000000
56.93,57.18,57.3,56.87,19596,1658930400000
57.18,57.1,57.25,56.89,15358,1658934000000
57.12,56.95,57.16,56.9,7938,1658937600000
56.93,56.96,57.04,56.9,15839,1658941200000
57.015,57.03,57.32,56.745,45230,1658944800000
57.06,57.12,57.4225,57.02,180094,1658948400000
57.36,56.94,57.36,56.6,25895,1659016800000
56.94,57.33,57.37,56.85,23502,1659020400000
57.315,57.355,57.39,57.22,19867,1659024000000
57.32,57.315,57.36,57.08,21897,1659027600000
57.29,57.245,57.45,57.14,43063,1659031200000
57.22,57.32,57.47,57.17,95282,1659034800000
58.13,58.32,58.35,57.91,14257,1659103200000
58.3,58.43,58.535,58.2,26328,1659106800000
58.43,58.5,58.5,58.38,14944,1659110400000
58.51,58.805,58.83,58.48,23592,1659114000000
58.77,58.99,59.015,58.6,39228,1659117600000
58.95,58.4,59.04,58.32,109995,1659121200000
57.69,57.97,57.98,57.41,23975,1659362400000
58.04,57.86,58.08,57.82,18782,1659366000000
57.83,58.37,58.45,57.82,31669,1659369600000
58.38,58.13,58.415,58.015,23580,1659373200000
58.09,58.37,58.37,58.05,30438,1659376800000
58.36,58.24,58.51,58.24,70827,1659380400000
58.04,58.45,58.5,58.02,10352,1659448800000
58.355,58.73,58.77,58.32,16321,1659452400000
58.68,58.92,59.02,58.6,23045,1659456000000
58.93,58.6381,59.06,58.6,19941,1659459600000
58.64,58.87,59.005,58.61,26001,1659463200000
58.85,58.21,59.005,58.19,89664,1659466800000
58.25,58.77,58.79,58.15,21280,1659535200000
58.76,58.91,58.91,58.72,20973,1659538800000
58.88,58.92,58.95,58.77,17842,1659542400000
59.01,58.8,59.09,58.79,12984,1659546000000
58.8,58.9,59.03,58.78,42242,1659549600000
58.88,58.88,59.11,58.76,130684,1659553200000
52.565,53.03,53.425,52.19,222843,1659621600000
53.02,52.25,53.175,52.25,278924,1659625200000
52.315,51.725,52.78,51.72,201149,1659628800000
51.71,51.1101,52.1,51.1101,136607,1659632400000
51.11,50.26,51.13,50,169584,1659636000000
50.27,50.07,50.71,50.06,280186,1659639600000
51.66,51.885,52.05,51.25,115608,1659708000000
51.885,52.095,52.29,51.885,65940,1659711600000
52.11,52.35,52.41,51.91,41065,1659715200000
52.39,51.885,52.42,51.885,49174,1659718800000
51.885,51.825,52.1,51.74,58963,1659722400000
51.825,51.68,52.05,51.59,163147,1659726000000
52.175,51.93,52.33,51.8,39851,1659967200000
51.96,52.395,52.56,51.96,62107,1659970800000
52.39,51.81,52.405,51.81,36070,1659974400000
51.82,52.03,52.08,51.77,28820,1659978000000
52.04,51.66,52.04,51.5,36387,1659981600000
51.665,51.62,51.92,51.55,110714,1659985200000
52.905,53.375,53.59,52.905,32686,1660053600000
53.24,52.62,53.28,52.5277,49233,1660057200000
52.65,52.8,52.86,52.64,20638,1660060800000
