o,c,h,l,v,t
7.49,7.52,7.53,7.39,81486,1657720800000
7.51,7.495,7.57,7.485,63604,1657724400000
7.49,7.49,7.505,7.477,40746,1657728000000
7.49,7.495,7.515,7.47,36163,1657731600000
7.49,7.46,7.5,7.455,46489,1657735200000
7.47,7.46,7.47,7.43,104190,1657738800000
7.16,7.05,7.16,6.96,235246,1657807200000
7.06,7.085,7.1,7.02,77584,1657810800000
7.085,7.01,7.095,7,62316,1657814400000
7.01,7.14,7.14,7,77711,1657818000000
7.135,7.125,7.17,7.11,71350,1657821600000
7.125,7.095,7.135,7.08,123664,1657825200000
7.04,7.2,7.23,7.04,108874,1657893600000
7.195,7.215,7.2404,7.19,85858,1657897200000
7.21,7.25,7.265,7.2,80052,1657900800000
7.25,7.185,7.2699,7.17,119705,1657904400000
7.1893,7.205,7.215,7.1837,82266,1657908000000
7.21,7.23,7.2491,7.19,282600,1657911600000
7.55,7.64,7.65,7.5097,103292,1658152800000
7.64,7.54,7.65,7.53,55686,1658156400000
7.545,7.52,7.55,7.515,87889,1658160000000
7.5299,7.46,7.545,7.46,48462,1658163600000
7.465,7.41,7.48,7.41,37948,1658167200000
7.42,7.39,7.455,7.385,91657,1658170800000
7.52,7.545,7.6,7.51,93534,1658239200000
7.545,7.555,7.57,7.485,174139,1658242800000
7.55,7.55,7.575,7.535,41544,1658246400000
7.545,7.5474,7.568,7.52,100580,1658250000000
7.549,7.535,7.56,7.525,136724,1658253600000
7.54,7.57,7.585,7.54,125836,1658257200000
7.625,7.69,7.69,7.57,69164,1658325600000
7.69,7.66,7.7,7.65,38067,1658329200000
7.66,7.65,7.68,7.6,37212,1658332800000
7.65,7.615,7.65,7.605,40419,1658336400000
7.62,7.67,7.675,7.62,50901,1658340000000
7.67,7.65,7.695,7.63,350635,1658343600000
7.58,7.515,7.58,7.43,151171,1658412000000
7.52,7.44,7.52,7.415,63631,1658415600000
7.445,7.515,7.52,7.43,59092,1658419200000
7.51,7.5,7.52,7.48,45874,1658422800000
7.51,7.515,7.52,7.47,96355,1658426400000
7.515,7.535,7.55,7.49,318262,1658430000000
7.55,7.62,7.63,7.545,78408,1658498400000
7.62,7.56,7.63,7.55,68437,1658502000000
7.56,7.53,7.58,7.53,72054,1658505600000
7.53,7.5,7.56,7.5,104502,1658509200000
7.5,7.515,7.52,7.48,72716,1658512800000
7.515,7.52,7.56,7.49,243653,1658516400000
7.66,7.73,7.745,7.65,63048,1658757600000
7.73,7.745,7.79,7.72,48796,1658761200000
7.75,7.7591,7.77,7.73,45970,1658764800000
7.75,7.755,7.755,7.715,37352,1658768400000
7.75,7.765,7.78,7.745,35619,1658772000000
7.765,7.8,7.83,7.76,134038,1658775600000
7.8,7.71,7.81,7.7,53087,1658844000000
7.71,7.606,7.71,7.59,42011,1658847600000
7.6,7.58,7.615,7.58,31576,1658851200000
7.58,7.59,7.62,7.58,26600,1658854800000
7.58,7.56,7.61,7.555,31961,1658858400000
7.565,7.57,7.62,7.56,108533,1658862000000
7.565,7.59,7.6,7.515,41834,1658930400000
7.6,7.62,7.63,7.6,20239,1658934000000
7.615,7.64,7.66,7.59,21464,1658937600000
7.64,7.675,7.675,7.64,17889,1658941200000
7.68,7.73,7.755,7.66,48677,1658944800000
7.74,7.8,7.835,7.74,115937,1658948400000
7.85,7.852,7.87,7.75,127315,1659016800000
7.855,7.985,8.02,7.825,101014,1659020400000
7.99,8.015,8.02,7.97,67039,1659024000000
8.01,8,8.02,7.98,69085,1659027600000
8.005,7.99,8.015,7.94,99535,1659031200000
7.99,8.1,8.12,7.985,228984,1659034800000
8.11,8.185,8.245,8.11,61541,1659103200000
8.185,8.14,8.195,8.135,45722,1659106800000
8.14,8.1,8.14,8.095,28377,1659110400000
8.1,8.12,8.13,8.08,31993,1659114000000
8.11,8.17,8.18,8.11,37231,1659117600000
8.175,8.2,8.255,8.175,158485,1659121200000
8.14,8.13,8.16,8.04,35243,1659362400000
8.13,8.12,8.14,8.09,24576,1659366000000
8.12,8.11,8.145,8.0925,18961,1659369600000
8.1,8.06,8.1,8.03,19713,1659373200000
8.06,8.12,8.12,8.035,56406,1659376800000
8.11,8.1,8.14,8.085,63319,1659380400000
8.04,8.175,8.195,8.04,48037,1659448800000
8.18,8.1792,8.195,8.15,21242,1659452400000
8.18,8.175,8.205,8.16,19840,1659456000000
8.175,8.135,8.1791,8.1,17528,1659459600000
8.1357,8.16,8.18,8.13,28714,1659463200000
8.16,8.11,8.17,8.1,68918,1659466800000
8.2035,8.2,8.305,8.195,67375,1659535200000
8.2,8.2,8.25,8.155,22408,1659538800000
8.1905,8.22,8.22,8.19,16931,1659542400000
8.225,8.23,8.245,8.185,39797,1659546000000
8.225,8.265,8.27,8.225,24578,1659549600000
8.265,8.18,8.2699,8.18,147689,1659553200000
8.14,8.17,8.19,8.13,38640,1659621600000
8.1606,8.185,8.19,8.15,30453,1659625200000
8.19,8.13,8.19,8.115,34240,1659628800000
8.139,8.135,8.155,8.125,39932,1659632400000
8.131,8.16,8.17,8.12,55046,1659636000000
8.165,8.14,8.23,8.14,125629,1659639600000
8.34,8.325,8.395,8.31,108829,1659708000000
8.32,8.235,8.335,8.225,37316,1659711600000
8.24,8.345,8.35,8.24,24925,1659715200000
8.3401,8.34,8.3905,8.34,46835,1659718800000
8.35,8.33,8.35,8.31,17945,1659722400000
8.325,8.37,8.405,8.325,107929,1659726000000
8.615,8.535,8.63,8.475,81638,1659967200000
8.54,8.575,8.62,8.52,56543,1659970800000
8.575,8.53,8.585,8.515,36144,1659974400000
8.535,8.6249,8.635,8.535,61814,1659978000000
8.6211,8.615,8.65,8.6,76615,1659981600000
8.615,8.64,8.67,8.615,150508,1659985200000
8.67,8.6401,8.68,8.59,55873,1660053600000
8.6408,8.615,8.665,8.615,30388,1660057200000
8.615,8.595,8.63,8.575,23802,1660060800000
