o,c,h,l,v,t
35.24,35.47,35.48,35.11,5662,1657720800000
35.46,35.36,35.59,35.36,4881,1657724400000
35.3625,35.59,35.6,35.3625,3169,1657728000000
35.54,35.445,35.575,35.37,8186,1657731600000
35.44,35.29,35.46,35.07,8369,1657735200000
35.29,35.11,35.3,35.01,26262,1657738800000
34.55,34.84,34.84,34.55,7412,1657807200000
34.79,34.6,34.79,34.5,4041,1657810800000
34.51,34.41,34.53,34.25,5585,1657814400000
34.3,34.69,34.69,34.22,5350,1657818000000
34.57,34.83,34.91,34.57,5682,1657821600000
34.745,34.86,34.92,34.61,24739,1657825200000
34.78,35.18,35.32,34.645,7591,1657893600000
35.18,35.18,35.3,35.1,6845,1657897200000
35.22,35.35,35.49,35.18,5718,1657900800000
35.44,35.44,35.65,35.44,6683,1657904400000
35.43,35.375,35.46,35.34,4401,1657908000000
35.352,35.37,35.49,35.29,26480,1657911600000
35.65,35.93,35.93,35.52,4682,1658152800000
35.92,35.6,35.92,35.6,5458,1658156400000
35.59,35.6,35.6,35.515,2408,1658160000000
35.56,35.26,35.5925,35.26,5701,1658163600000
35.26,34.97,35.285,34.84,9259,1658167200000
34.905,34.82,35.1,34.758,19656,1658170800000
35.52,35.845,35.95,35.52,6171,1658239200000
35.78,35.8,35.8,35.695,3433,1658242800000
35.715,35.835,35.85,35.71,1743,1658246400000
35.83,35.85,35.85,35.74,4357,1658250000000
35.93,35.825,35.94,35.76,4436,1658253600000
35.87,36.01,36.12,35.82,31290,1658257200000
35.63,35.99,35.99,35.63,2390,1658325600000
35.99,35.74,35.99,35.605,11502,1658329200000
35.75,35.69,35.75,35.63,2099,1658332800000
35.61,35.57,35.62,35.53,2215,1658336400000
35.51,35.77,35.77,35.51,2182,1658340000000
35.82,35.9,36.04,35.79,15001,1658343600000
35.34,35.32,35.3899,35.25,5526,1658412000000
35.4291,35.65,35.65,35.42,3049,1658415600000
35.59,35.695,35.695,35.59,1251,1658419200000
35.66,35.66,35.67,35.61,3331,1658422800000
35.85,35.8539,35.91,35.83,3421,1658426400000
35.82,36.17,36.235,35.82,14936,1658430000000
36.36,36.59,36.59,36.23,7113,1658498400000
36.63,36.81,36.81,36.6,2474,1658502000000
36.81,36.45,36.85,36.41,8343,1658505600000
36.45,36.32,36.55,36.27,6412,1658509200000
36.32,36.37,36.37,36.15,5699,1658512800000
36.27,36.15,36.27,35.84,17665,1658516400000
35.9,36.18,36.36,35.9,2716,1658757600000
36.17,36.14,36.205,36.06,3395,1658761200000
36.12,35.96,36.14,35.94,4244,1658764800000
36.09,36.08,36.2182,36.05,3048,1658768400000
36.0946,35.92,36.0946,35.91,3390,1658772000000
35.92,35.95,36.035,35.92,12086,1658775600000
36.34,36.165,36.42,36.06,5862,1658844000000
36.02,35.955,36.11,35.87,3647,1658847600000
35.955,36.09,36.3099,35.955,5298,1658851200000
36.155,36.17,36.205,36.04,5639,1658854800000
36.15,36.17,36.22,36.1023,1936,1658858400000
36.17,36.1,36.17,35.92,18102,1658862000000
36.57,36.5979,36.67,36.4965,5822,1658930400000
36.72,36.4,36.72,36.4,5316,1658934000000
36.39,36.55,36.59,36.39,2521,1658937600000
36.56,36.4,36.56,36.31,3959,1658941200000
36.46,36.5,36.64,36.3,11970,1658944800000
36.52,36.75,36.83,36.4,26500,1658948400000
36.81,36.91,36.91,36.77,1657,1659016800000
36.98,37.13,37.22,36.98,5987,1659020400000
37.05,37.12,37.12,36.965,3463,1659024000000
37.07,37.14,37.1404,37,3269,1659027600000
37.09,37.09,37.11,37.01,3170,1659031200000
37.09,37.07,37.18,37.04,8950,1659034800000
37.3156,37.25,37.3156,37.24,1268,1659103200000
37.18,37.28,37.28,37.12,1733,1659106800000
37.21,37.25,37.29,37.21,1421,1659110400000
37.22,37.28,37.41,37.12,2030,1659114000000
37.3908,37.4,37.5,37.3,6707,1659117600000
37.43,37.12,37.43,37,14376,1659121200000
37.04,36.77,37.2109,36.77,3261,1659362400000
36.84,36.83,36.995,36.63,5272,1659366000000
36.83,37.255,37.255,36.75,9635,1659369600000
37.2,37.27,37.3,37.09,5074,1659373200000
37.18,37.55,37.55,37.18,4992,1659376800000
37.5,37.43,37.69,37.34,18640,1659380400000
36.93,36.92,37.0965,36.84,1302,1659448800000
36.93,36.87,37.08,36.755,3543,1659452400000
36.87,36.825,37.04,36.825,4325,1659456000000
36.835,36.7946,36.91,36.67,5264,1659459600000
36.98,36.9,37.0862,36.895,4155,1659463200000
36.84,36.38,36.95,36.35,15336,1659466800000
36.1,36.56,36.56,35.97,7396,1659535200000
36.5,36.88,36.93,36.5,6834,1659538800000
36.87,36.88,36.9,36.75,2688,1659542400000
36.93,37.06,37.06,36.84,4631,1659546000000
36.94,36.93,37.12,36.9,2650,1659549600000
36.93,36.55,37.01,36.49,13424,1659553200000
36.58,36.3,36.58,36.3,1981,1659621600000
36.16,36.04,36.17,36.01,9288,1659625200000
36,35.72,36.04,35.72,2906,1659628800000
35.67,35.51,35.79,35.51,7018,1659632400000
35.35,35.57,35.66,35.35,13731,1659636000000
35.56,35.25,35.66,35.16,32646,1659639600000
35.19,35.4456,35.535,35.19,1810,1659708000000
35.31,35.18,35.31,35.18,1096,1659711600000
35.15,35.19,35.21,35.12,1755,1659715200000
35.14,35.505,35.54,35.14,7702,1659718800000
35.53,35.48,35.53,35.37,6155,1659722400000
35.5,35.56,35.62,35.4201,10409,1659726000000
35.77,35.9,35.97,35.76,1913,1659967200000
35.82,35.73,35.82,35.58,2818,1659970800000
35.8,36,36.09,35.77,8423,1659974400000
35.97,35.95,35.97,35.92,1040,1659978000000
35.95,35.85,35.97,35.81,2913,1659981600000
35.95,36.14,36.23,35.92,14517,1659985200000
35.71,35.805,35.89,35.65,2447,1660053600000
35.77,35.71,35.77,35.5,2640,1660057200000
35.55,35.3009,35.63,35.3009,5183,1660060800000
35.39,35.49,35.61,35.155,9503,1660064400000
35.515,35.22,35.515,35.13,10186,1660068000000
35.265,35.69,35.74,35.24,20164,1660071600000
36.34,36.02,36.34,35.98,1363,1660140000000
36.14,36.16,36.16,36.14,863,1660143600000
36.19,36.17,36.2238,36.17,1094,1660147200000
36.25,36.21,36.3,36.21,1058,1660150800000
36.215,36.13,36.22,36.04,3954,1660154400000
36.09,36.26,36.305,36.07,9211,1660158000000
36.74,36.73,37.0069,36.7,2725,1660226400000
36.73,36.65,36.81,36.56,5477,1660230000000
36.77,36.975,37.06,36.71,3265,1660233600000
37,37.07,37.15,37,3644,1660237200000
37.08,36.86,37.1,36.86,2117,1660240800000
36.92,36.85,36.95,36.81,12571,1660244400000
36.63,37.14,37.14,36.63,2249,1660312800000
37.14,37.26,37.39,37.09,3743,1660316400000
37.22,37.2139,37.25,37.14,1557,1660320000000
37.36,37.32,37.37,37.22,2288,1660323600000
37.38,37.3516,37.38,37.2,7763,1660327200000
37.335,37.35,37.57,37.27,12283,1660330800000
37.03,36.855,37.1373,36.855,1688,1660572000000
36.8615,37.04,37.061,36.8615,2208,1660575600000
37.06,37.335,37.48,37.05,5765,1660579200000
37.46,37.6,37.6,37.37,3370,1660582800000
37.475,37.87,37.87,37.47,10671,1660586400000
37.86,37.79,37.92,37.68,17630,1660590000000
37.89,37.72,37.89,37.67,2364,1660658400000
37.74,37.52,37.74,37.47,1751,1660662000000
37.6,37.57,37.72,37.485,3530,1660665600000
37.58,37.745,37.7899,37.58,4113,1660669200000
37.825,38.03,38.03,37.72,5609,1660672800000
37.9621,37.75,37.975,37.67,11196,1660676400000
37.32,37.33,37.37,37.16,3045,1660744800000
37.31,37.1,37.38,37.1,8360,1660748400000
37.21,37.325,37.35,37.08,3361,1660752000000
37.26,37.385,37.4,37.24,5231,1660755600000
37.385,37.365,37.44,37.3,15466,1660759200000
37.355,37.27,37.385,37.27,20270,1660762800000
