o,c,h,l,v,t
12.79,12.76,12.79,12.67,16250,1657720800000
12.78,12.7,12.81,12.7,20738,1657724400000
12.715,12.71,12.75,12.71,29522,1657728000000
12.72,12.7,12.74,12.69,32434,1657731600000
12.68,12.6501,12.68,12.61,31798,1657735200000
12.665,12.625,12.71,12.62,43423,1657738800000
12.5,12.4,12.5,12.4,23729,1657807200000
12.4,12.529,12.529,12.4,17442,1657810800000
12.49,12.448,12.49,12.4,16353,1657814400000
12.43,12.48,12.49,12.41,10591,1657818000000
12.495,12.54,12.56,12.48,15990,1657821600000
12.54,12.53,12.56,12.475,41540,1657825200000
12.75,12.79,12.81,12.705,23404,1657893600000
12.79,12.88,12.93,12.79,45399,1657897200000
12.8769,12.885,12.96,12.87,61855,1657900800000
12.87,12.892,12.97,12.86,29940,1657904400000
12.9,12.93,12.94,12.871,33835,1657908000000
12.92,12.95,12.98,12.91,80497,1657911600000
12.998,13.01,13.03,12.93,29178,1658152800000
12.99,13.01,13.05,12.99,12369,1658156400000
12.98,12.9813,13.025,12.98,9206,1658160000000
12.99,13.005,13.02,12.97,12752,1658163600000
13,12.97,13,12.935,13319,1658167200000
12.98,12.97,13.01,12.91,30394,1658170800000
13.2,13.23,13.29,13.17,16366,1658239200000
13.2301,13.28,13.292,13.21,12818,1658242800000
13.28,13.31,13.34,13.241,14905,1658246400000
13.3,13.3411,13.35,13.27,20265,1658250000000
13.35,13.41,13.42,13.35,18871,1658253600000
13.405,13.39,13.44,13.38,50100,1658257200000
13.34,13.48,13.5,13.3315,21716,1658325600000
13.4879,13.49,13.49,13.435,11038,1658329200000
13.5,13.44,13.5,13.41,10870,1658332800000
13.43,13.39,13.445,13.39,12576,1658336400000
13.39,13.475,13.49,13.39,15915,1658340000000
13.48,13.41,13.51,13.41,36174,1658343600000
13.37,13.36,13.38,13.255,17717,1658412000000
13.37,13.39,13.4099,13.33,10567,1658415600000
13.4,13.42,13.43,13.38,15879,1658419200000
13.43,13.4,13.43,13.38,17167,1658422800000
13.4,13.405,13.46,13.4,16606,1658426400000
13.4,13.49,13.5,13.4,54522,1658430000000
13.3649,13.47,13.49,13.3649,15678,1658498400000
13.47,13.44,13.51,13.43,17786,1658502000000
13.43,13.4,13.45,13.4,12254,1658505600000
13.4,13.26,13.4,13.25,18372,1658509200000
13.25,13.28,13.285,13.23,16916,1658512800000
13.28,13.36,13.37,13.25,47096,1658516400000
13.46,13.355,13.46,13.33,43331,1658757600000
13.355,13.4,13.41,13.35,96487,1658761200000
13.41,13.38,13.43,13.365,17058,1658764800000
13.37,13.29,13.375,13.29,8231,1658768400000
13.29,13.28,13.31,13.25,15906,1658772000000
13.28,13.3,13.33,13.245,49331,1658775600000
13.44,13.5,13.53,13.425,27974,1658844000000
13.51,13.4,13.51,13.4,17325,1658847600000
13.4,13.465,13.5,13.4,19191,1658851200000
13.465,13.47,13.5,13.45,19443,1658854800000
13.48,13.47,13.5,13.43,17626,1658858400000
13.475,13.415,13.475,13.39,57619,1658862000000
13.425,13.45,13.47,13.42,15689,1658930400000
13.45,13.44,13.5,13.44,10332,1658934000000
13.46,13.44,13.47,13.44,7830,1658937600000
13.45,13.475,13.475,13.4001,10102,1658941200000
13.49,13.505,13.54,13.42,17239,1658944800000
13.51,13.52,13.6,13.49,52827,1658948400000
13.78,13.81,13.81,13.732,26833,1659016800000
13.8,13.84,13.87,13.79,26490,1659020400000
13.85,13.86,13.88,13.85,14109,1659024000000
13.85,13.89,13.895,13.8426,14554,1659027600000
13.88,13.91,13.92,13.86,25266,1659031200000
13.91,13.95,13.96,13.91,42951,1659034800000
14.09,14.15,14.19,14.09,73433,1659103200000
14.16,14.21,14.2189,14.14,27882,1659106800000
14.215,14.23,14.23,14.17,16425,1659110400000
14.21,14.245,14.28,14.19,22863,1659114000000
14.245,14.275,14.29,14.23,22264,1659117600000
14.28,14.18,14.32,14.15,99770,1659121200000
13.97,14.07,14.07,13.93,34241,1659362400000
14.05,14.05,14.06,13.99,19120,1659366000000
14.04,14.1701,14.25,14.01,55310,1659369600000
14.1899,14.12,14.1899,14.1,24100,1659373200000
14.11,14.15,14.17,14.07,32620,1659376800000
14.17,14.08,14.17,14.07,55939,1659380400000
14.005,13.99,14.03,13.98,24878,1659448800000
13.99,13.992,14,13.97,17121,1659452400000
13.995,14.055,14.06,13.985,16633,1659456000000
14.05,14.08,14.08,14.02,21999,1659459600000
14.09,14.07,14.0975,14.04,22812,1659463200000
14.06,13.96,14.07,13.92,44318,1659466800000
14.025,14.02,14.08,14,19976,1659535200000
14.02,13.975,14.02,13.95,38988,1659538800000
