o,c,h,l,v,t
7.45,7.69,7.75,7.415,109112,1657720800000
7.7,7.74,7.78,7.625,127376,1657724400000
7.7399,7.855,7.8898,7.73,136177,1657728000000
7.86,7.89,7.91,7.82,111901,1657731600000
7.88,7.915,7.93,7.83,101385,1657735200000
7.915,7.91,7.955,7.825,231373,1657738800000
7.88,7.7005,7.91,7.68,95568,1657807200000
7.71,7.742,7.742,7.535,122639,1657810800000
7.74,7.76,7.76,7.6489,48081,1657814400000
7.74,7.84,7.845,7.7,38897,1657818000000
7.84,7.835,7.95,7.785,64552,1657821600000
7.85,7.86,7.88,7.78,101860,1657825200000
7.73,7.63,7.79,7.5041,157754,1657893600000
7.63,7.795,7.82,7.63,45931,1657897200000
7.79,7.765,7.91,7.76,93003,1657900800000
7.765,7.76,7.84,7.72,61793,1657904400000
7.7591,7.665,7.76,7.6601,62412,1657908000000
7.66,7.8,7.83,7.64,127719,1657911600000
8.12,8.4286,8.45,8.0701,186505,1658152800000
8.43,8.51,8.6,8.43,186431,1658156400000
8.5,8.325,8.52,8.315,78832,1658160000000
8.33,8.4546,8.51,8.29,143617,1658163600000
8.46,8.21,8.48,8.19,81272,1658167200000
8.2,8.14,8.27,8.13,129772,1658170800000
8.63,8.56,8.73,8.54,104506,1658239200000
8.56,8.55,8.6783,8.48,73794,1658242800000
8.54,8.61,8.62,8.505,61533,1658246400000
8.61,8.765,8.765,8.56,157158,1658250000000
8.77,8.63,8.79,8.63,98290,1658253600000
8.63,8.68,8.73,8.62,136102,1658257200000
8.785,9.12,9.1307,8.75,140402,1658325600000
9.12,9.16,9.2,9.04,169136,1658329200000
9.145,9.11,9.18,9,80760,1658332800000
9.11,9.08,9.12,9.0235,54997,1658336400000
9.08,9.08,9.142,9,122027,1658340000000
9.09,9.1527,9.18,9.09,195895,1658343600000
8.34,8.47,8.565,8.2,172040,1658412000000
8.47,8.56,8.577,8.42,39960,1658415600000
8.565,8.555,8.59,8.52,59399,1658419200000
8.56,8.47,8.65,8.43,79790,1658422800000
8.48,8.42,8.56,8.42,49865,1658426400000
8.41,8.52,8.5299,8.36,194505,1658430000000
8.11,7.93,8.1299,7.93,137879,1658498400000
7.922,7.8329,7.9482,7.735,130898,1658502000000
7.8456,7.61,7.8456,7.61,116708,1658505600000
7.6245,7.6,7.65,7.52,99813,1658509200000
7.59,7.81,7.8101,7.58,112830,1658512800000
7.805,7.76,7.8304,7.695,112175,1658516400000
7.82,7.85,7.92,7.71,41048,1658757600000
7.85,8.015,8.0626,7.83,80663,1658761200000
8.015,7.98,8.03,7.93,27361,1658764800000
7.97,7.98,8.02,7.915,44702,1658768400000
7.9501,7.94,8.03,7.905,38087,1658772000000
7.95,8.02,8.03,7.935,66217,1658775600000
7.949,7.97,8,7.86,49434,1658844000000
7.97,7.89,7.9738,7.87,19498,1658847600000
7.899,7.96,7.96,7.89,28647,1658851200000
7.9415,7.94,7.96,7.87,18017,1658854800000
7.95,7.9082,7.97,7.85,21680,1658858400000
7.92,7.915,8.005,7.88,90772,1658862000000
8.0816,8.172,8.172,8.039,27992,1658930400000
8.18,8.12,8.18,8.05,24646,1658934000000
8.12,8.045,8.14,8.03,24126,1658937600000
8.02,8.04,8.09,7.98,16169,1658941200000
8.04,8.19,8.24,8,66771,1658944800000
8.21,8.26,8.33,8.16,155090,1658948400000
8.665,8.405,8.69,8.29,103637,1659016800000
8.41,8.66,8.72,8.4,63779,1659020400000
8.66,8.5005,8.665,8.49,23919,1659024000000
8.5,8.48,8.53,8.4449,31473,1659027600000
8.46,8.5501,8.57,8.43,43777,1659031200000
8.56,8.77,8.78,8.555,151490,1659034800000
8.69,8.79,8.82,8.665,42044,1659103200000
8.77,8.7,8.8,8.65,19322,1659106800000
8.68,8.68,8.7,8.63,15566,1659110400000
8.68,8.73,8.73,8.61,19562,1659114000000
8.73,8.72,8.7799,8.71,39688,1659117600000
8.71,8.73,8.755,8.67,147504,1659121200000
8.44,8.71,8.71,8.44,34323,1659362400000
8.72,8.8705,8.9,8.72,67986,1659366000000
8.86,8.92,8.93,8.81,23243,1659369600000
8.92,8.73,8.93,8.69,42234,1659373200000
8.72,8.855,8.87,8.7,68394,1659376800000
8.855,8.69,8.87,8.65,95715,1659380400000
8.8026,8.97,9.04,8.8026,60608,1659448800000
8.96,9.09,9.1,8.94,65030,1659452400000
9.08,9.03,9.1,9,53563,1659456000000
9.01,9.02,9.02,8.85,56067,1659459600000
9.03,9.07,9.19,9.02,107516,1659463200000
9.08,9.25,9.31,9.05,202441,1659466800000
9.625,9.82,9.86,9.55,159769,1659535200000
9.84,9.92,9.92,9.72,153971,1659538800000
9.91,10.32,10.34,9.88,283360,1659542400000
10.32,10.2,10.4,10.0947,240703,1659546000000
10.2,9.94,10.255,9.9,202872,1659549600000
9.94,9.92,9.97,9.79,145070,1659553200000
10.09,10.22,10.28,9.93,258025,1659621600000
10.235,10.155,10.27,10.1025,63037,1659625200000
10.1491,10.1815,10.19,10.08,57990,1659628800000
10.19,10.49,10.6,10.185,288964,1659632400000
10.49,10.37,10.52,10.345,71186,1659636000000
10.3642,10.5,10.55,10.345,149945,1659639600000
10.7063,10.8,10.83,10.66,122458,1659708000000
10.805,10.39,10.805,10.37,124769,1659711600000
10.4,10.39,10.5,10.31,131432,1659715200000
10.37,10.48,10.49,10.32,110292,1659718800000
10.49,10.51,10.588,10.45,104136,1659722400000
10.52,10.62,10.72,10.515,113211,1659726000000
10.66,10.74,10.81,10.4,197769,1659967200000
10.75,10.615,10.78,10.53,63981,1659970800000
10.6,10.5,10.6,10.31,110307,1659974400000
10.5,10.64,10.64,10.47,109281,1659978000000
10.65,10.63,10.71,10.565,85952,1659981600000
10.62,10.53,10.64,10.52,123677,1659985200000
10.5,10.34,10.5,10.23,80357,1660053600000
10.33,10.2,10.33,10.1826,46818,1660057200000
10.19,10.2154,10.25,10.17,15086,1660060800000
10.21,10.36,10.37,10.21,40976,1660064400000
10.3502,10.4801,10.575,10.35,83014,1660068000000
10.5,10.5,10.56,10.43,199497,1660071600000
10.81,10.785,10.87,10.62,68692,1660140000000
10.805,10.96,10.97,10.79,43461,1660143600000
10.96,10.96,10.98,10.82,79035,1660147200000
10.96,10.96,10.99,10.91,52159,1660150800000
10.96,10.88,10.98,10.87,65876,1660154400000
10.8894,10.85,10.95,10.84,115528,1660158000000
