o,c,h,l,v,t
18.5864,19.39,19.43,18.465,233982,1657720800000
19.41,19.33,19.59,19.2001,187000,1657724400000
19.32,19.38,19.41,19.1786,118422,1657728000000
19.38,19.4,19.47,19.27,121191,1657731600000
19.39,19.43,19.43,19.195,117428,1657735200000
19.42,19.29,19.45,19.23,284342,1657738800000
18.52,18.7299,18.865,18.28,258109,1657807200000
18.735,18.84,18.95,18.73,198592,1657810800000
18.8501,18.57,18.88,18.49,95411,1657814400000
18.58,18.5802,18.6736,18.51,109157,1657818000000
18.6,18.71,18.8,18.58,94226,1657821600000
18.71,18.68,18.8,18.58,202300,1657825200000
18.57,18.7237,18.78,18.3201,252476,1657893600000
18.71,19,19.02,18.7,153099,1657897200000
18.99,19.09,19.13,18.97,96297,1657900800000
19.0916,19.17,19.18,19.04,109001,1657904400000
19.18,19.2,19.22,19.034,85810,1657908000000
19.18,19.11,19.26,19.01,314957,1657911600000
20.06,19.75,20.08,19.53,178138,1658152800000
19.7648,20.005,20.02,19.75,108285,1658156400000
19.99,19.86,20.04,19.82,110913,1658160000000
19.87,19.6352,19.93,19.55,78493,1658163600000
19.61,19.44,19.6825,19.36,85171,1658167200000
19.41,19.315,19.5,19.18,222597,1658170800000
19.66,19.74,19.75,19.26,207774,1658239200000
19.74,19.84,19.8599,19.64,146617,1658242800000
19.84,19.785,19.86,19.71,80341,1658246400000
19.77,19.77,19.8,19.6,84665,1658250000000
19.77,19.6456,19.86,19.6,125346,1658253600000
19.65,19.63,19.74,19.608,274492,1658257200000
19.72,20.2836,20.32,19.57,395552,1658325600000
20.2601,20.67,20.7999,20.09,945049,1658329200000
20.67,20.76,20.89,20.53,392061,1658332800000
20.755,20.43,20.77,20.26,161452,1658336400000
20.43,20.64,20.69,20.43,139497,1658340000000
20.65,20.65,20.79,20.55,380283,1658343600000
20.745,20.49,20.92,20.1907,229608,1658412000000
20.48,21.005,21.1,20.45,362087,1658415600000
21.01,21.11,21.22,21.005,308690,1658419200000
21.11,21.13,21.2,20.97,230997,1658422800000
21.125,21.205,21.275,21.12,219475,1658426400000
21.2,21.45,21.47,21.155,534097,1658430000000
20.28,19.349,20.29,19.34,746433,1658498400000
