o,c,h,l,v,t
9.94,9.94,9.94,9.94,292901,1657724400000
9.94,9.94,9.94,9.94,2000,1657893600000
9.97,9.97,9.97,9.97,500,1658941200000
9.99,9.99,9.99,9.99,23500,1659636000000
9.99,9.99,9.99,9.99,10049,1659715200000
9.98,9.98,9.98,9.98,10300,1660057200000
9.98,9.98,9.98,9.98,69170,1660060800000
9.98,9.9802,9.9802,9.98,300,1660140000000
9.99,9.99,9.99,9.99,100,1660143600000
9.99,9.98,9.99,9.98,5800,1660590000000
10,10,10,9.99,22073,1661536800000
10.04,10.04,10.04,10.04,290,1661792400000
10.02,10.02,10.02,10.02,100,1662490800000
10.0236,10.0236,10.0236,10.0236,2000,1662746400000
10.04,10.04,10.04,10.04,100,1663959600000
10.05,10.05,10.05,10.04,3129,1664200800000
10.05,10.04,10.05,10.04,200,1664208000000
10.04,10.04,10.04,10.04,7900,1664388000000
10.04,10.04,10.04,10.04,186,1664391600000
10.04,10.04,10.04,10.04,8839,1664460000000
10.04,10.04,10.04,10.04,300,1664463600000
10.045,10.05,10.05,10.045,7000,1664470800000
10.05,10.05,10.05,10.05,356,1664474400000
10.05,10.05,10.05,10.05,200,1664478000000
10.06,10.06,10.06,10.06,1390,1665072000000
10.2009,10.2009,10.2009,10.2009,151,1665428400000
10.08,10.08,10.08,10.08,200,1666119600000
10.09,10.09,10.09,10.09,210,1666188000000
10.09,10.09,10.09,10.09,11070,1666191600000
10.09,10.09,10.09,10.09,106,1666195200000
10.08,10.09,10.09,10.08,8400,1666360800000
10.09,10.08,10.09,10.08,31200,1666371600000
10.08,10.08,10.08,10.08,100,1667242800000
10.08,10.08,10.08,10.08,100,1667329200000
10.08,10.08,10.08,10.08,4512,1667408400000
10.09,10.1,10.1,10.09,400,1667415600000
10.11,10.11,10.11,10.11,20000,1667494800000
10.11,10.11,10.11,10.11,20000,1667498400000
10.11,10.11,10.11,10.11,1371,1668013200000
10.11,10.11,10.11,10.11,806,1668020400000
10.11,10.11,10.11,10.11,1857,1668024000000
10.13,10.13,10.13,10.1299,9399,1668106800000
10.135,10.135,10.135,10.135,388125,1668456000000
10.13,10.13,10.13,10.13,100,1668524400000
10.13,10.13,10.13,10.13,106,1668704400000
10.16,10.16,10.16,10.16,400,1669215600000
10.17,10.17,10.17,10.17,220,1669734000000
10.17,10.17,10.17,10.17,300,1669737600000
10.17,10.17,10.17,10.17,300,1669741200000
10.17,10.17,10.17,10.17,200,1669744800000
10.17,10.17,10.17,10.17,299,1669748400000
10.18,10.18,10.18,10.18,400,1670871600000
10.18,10.18,10.18,10.18,200,1670875200000
10.18,10.18,10.18,10.18,100,1670954400000
10.18,10.18,10.18,10.18,100,1670958000000
10.18,10.18,10.18,10.18,100,1670961600000
10.18,10.18,10.18,10.18,300,1671123600000
10.18,10.18,10.18,10.18,100,1671127200000
10.18,10.18,10.18,10.18,300,1671130800000
10.18,10.18,10.18,10.18,100,1671134400000
10.17,10.17,10.17,10.17,6000,1671220800000
10.19,10.19,10.19,10.19,2129,1671721200000
10.205,10.2,10.205,10.2,7629,1671814800000
10.205,10.2,10.205,10.2,2000,1671825600000
10.2,10.2,10.2,10.2,9200,1672171200000
10.2,10.2,10.2,10.2,2153,1672344000000
10.23,10.23,10.23,10.23,4099,1672765200000
10.23,10.23,10.23,10.23,5054,1672776000000
10.25,10.25,10.25,10.25,3994,1673017200000
10.25,10.24,10.25,10.24,29807,1673020800000
10.2496,10.26,10.26,10.2496,8000,1673276400000
10.255,10.26,10.26,10.255,16500,1673287200000
10.27,10.3,10.42,10.27,12133,1673290800000
10.26,10.26,10.26,10.26,100,1673294400000
10.25,10.25,10.25,10.25,7500,1673362800000
10.27,10.27,10.27,10.27,10100,1673366400000
10.27,10.27,10.27,10.27,10033,1673373600000
10.27,10.27,10.27,10.265,5700,1673377200000
10.27,10.265,10.27,10.265,1400,1673380800000
10.27,10.26,10.27,10.26,4734,1673452800000
10.35,10.34,10.35,10.34,3009,1673546400000
10.3,10.3,10.3,10.3,100,1673550000000
10.3,10.2808,10.3,10.28,8000,1673553600000
10.27,10.27,10.27,10.27,4534,1673622000000
10.31,10.2999,10.41,10.27,4250,1673967600000
10.35,10.35,10.35,10.3482,1691,1673974800000
10.3,10.3,10.3,10.3,1400,1673978400000
10.2701,10.3416,10.35,10.2701,1624,1673982000000
10.51,10.5,10.55,10.5,500,1673985600000
10.3,10.32,10.32,10.3,300,1674068400000
10.44,10.36,10.45,10.36,700,1674072000000
10.3,10.3,10.3,10.3,1000,1674140400000
10.3201,10.3226,10.3226,10.32,5600,1674572400000
10.36,10.36,10.36,10.36,201,1674586800000
10.4,10.4,10.4,10.4,2745,1674590400000
10.425,10.425,10.425,10.425,580,1674745200000
10.42,10.42,10.42,10.42,400,1674763200000
10.42,10.41,10.42,10.41,79997,1674831600000
10.39,10.39,10.39,10.39,164,1674838800000
10.4,10.4,10.405,10.4,2237,1674846000000
10.42,10.42,10.42,10.42,141,1675191600000
10.4,10.4,10.4,10.4,800,1675195200000
10.41,10.41,10.41,10.41,100,1675274400000
10.42,10.42,10.42,10.41,20379,1675278000000
10.41,10.41,10.41,10.41,100,1675972800000
10.4,10.4,10.4,10.4,1000,1676059200000
10.31,10.31,10.31,10.31,700,1676307600000
10.38,10.38,10.38,10.38,100,1676318400000
10.38,10.38,10.38,10.38,100,1677096000000
10.38,10.38,10.38,10.38,100,1677182400000
10.42,10.42,10.42,10.42,20200,1677261600000
10.42,10.42,10.42,10.42,200,1677265200000
10.42,10.42,10.42,10.42,300,1677268800000
10.44,10.44,10.49,10.44,1500,1677510000000
10.485,10.5,10.5,10.485,500,1677607200000
10.49,10.49,10.49,10.49,25200,1677614400000
10.46,10.47,10.47,10.46,1000,1677700800000
10.5,10.5,10.5,10.485,4700,1678132800000
10.47,10.47,10.47,10.47,200,1678294800000
10.47,10.47,10.47,10.47,200,1678298400000
10.47,10.47,10.47,10.47,400,1678302000000
10.47,10.47,10.47,10.47,200,1678305600000
10.5,10.47,10.51,10.47,6008,1678377600000
10.4922,10.51,10.51,10.49,13997,1678392000000
10.47,10.47,10.47,10.47,200,1678464000000
10.5195,10.52,10.52,10.495,4205,1678478400000
10.47,10.47,10.47,10.47,1035,1678716000000
10.47,10.52,10.52,10.47,5900,1678719600000
10.52,10.495,10.52,10.48,6300,1678726800000
10.52,10.52,10.52,10.5195,1595,1678734000000
10.47,10.5,10.5,10.47,11721,1678802400000
10.47,10.47,10.47,10.47,207,1678806000000
10.47,10.47,10.47,10.47,200,1678809600000
10.47,10.47,10.47,10.47,200,1678813200000
10.4932,10.4999,10.5,10.4932,900,1678820400000
10.47,10.47,10.47,10.47,200,1678888800000
10.493,10.47,10.493,10.47,700,1678892400000
10.47,10.47,10.47,10.47,110,1678896000000
10.4948,10.5,10.5,10.4948,1900,1678903200000
10.5,10.4704,10.5,10.4704,1000,1678906800000
10.52,10.47,10.52,10.47,9095,1678975200000
10.485,10.5,10.5,10.485,2234,1678993200000
10.4916,10.47,10.5,10.47,1612,1679065200000
10.495,10.47,10.5,10.47,45554,1679076000000
10.47,10.4701,10.4703,10.47,2739,1679079600000
