o,c,h,l,v,t
12.32,12.3058,12.36,12.26,10669,1657720800000
12.31,12.32,12.35,12.306,3038,1657724400000
12.32,12.32,12.34,12.3,10921,1657728000000
12.315,12.335,12.35,12.3,5120,1657731600000
12.335,12.355,12.355,12.32,3463,1657735200000
12.3594,12.39,12.39,12.33,9252,1657738800000
12.31,12.2939,12.31,12.29,2495,1657807200000
12.3,12.33,12.33,12.3,2368,1657810800000
12.31,12.3057,12.31,12.3057,220,1657814400000
12.3035,12.3077,12.31,12.3,2024,1657818000000
12.31,12.325,12.325,12.31,333,1657821600000
12.3246,12.3492,12.35,12.3246,2916,1657825200000
12.35,12.3717,12.3838,12.35,1142,1657893600000
12.38,12.37,12.39,12.3504,6846,1657897200000
12.37,12.345,12.37,12.345,3100,1657900800000
12.375,12.36,12.38,12.36,2686,1657904400000
12.355,12.3535,12.355,12.3535,406,1657908000000
12.36,12.355,12.36,12.35,1657,1657911600000
12.375,12.405,12.43,12.37,8111,1658152800000
12.4,12.33,12.4,12.33,2911,1658156400000
12.33,12.34,12.3442,12.33,5038,1658160000000
12.34,12.34,12.3461,12.34,2123,1658163600000
12.345,12.34,12.345,12.34,2228,1658167200000
12.34,12.32,12.35,12.29,5148,1658170800000
12.4,12.44,12.44,12.4,10241,1658239200000
12.44,12.46,12.47,12.44,5627,1658242800000
12.46,12.5025,12.5057,12.45,14702,1658246400000
12.5,12.52,12.52,12.5,8108,1658250000000
12.525,12.51,12.53,12.51,1498,1658253600000
12.51,12.53,12.54,12.51,7579,1658257200000
12.48,12.5,12.52,12.48,4047,1658325600000
12.5,12.53,12.54,12.5,11251,1658329200000
12.53,12.53,12.535,12.52,13318,1658332800000
12.53,12.51,12.5375,12.5,7890,1658336400000
12.51,12.51,12.53,12.5,19882,1658340000000
12.51,12.506,12.54,12.48,13114,1658343600000
12.52,12.43,12.56,12.41,9475,1658412000000
12.4301,12.49,12.5,12.43,9219,1658415600000
12.49,12.55,12.6,12.49,3916,1658419200000
12.55,12.54,12.56,12.52,8142,1658422800000
12.54,12.54,12.56,12.54,4374,1658426400000
12.54,12.53,12.55,12.51,10521,1658430000000
12.55,12.57,12.5997,12.55,12513,1658498400000
12.59,12.53,12.59,12.5,14820,1658502000000
12.5334,12.52,12.5334,12.49,9300,1658505600000
12.5,12.5,12.51,12.47,7334,1658509200000
12.45,12.455,12.47,12.42,7797,1658512800000
12.44,12.46,12.4877,12.44,6603,1658516400000
12.49,12.51,12.51,12.48,2838,1658757600000
12.5,12.5,12.51,12.5,932,1658761200000
12.5,12.49,12.5,12.49,900,1658764800000
12.49,12.491,12.5,12.47,12298,1658768400000
12.485,12.48,12.5,12.47,7100,1658772000000
12.48,12.47,12.49,12.47,6587,1658775600000
12.49,12.49,12.51,12.48,12732,1658844000000
12.49,12.5,12.5,12.48,7994,1658847600000
12.48,12.5,12.5,12.48,3064,1658851200000
12.495,12.49,12.4999,12.49,4342,1658854800000
12.4925,12.49,12.4951,12.47,8605,1658858400000
12.48,12.48,12.5,12.47,9385,1658862000000
12.57,12.57,12.59,12.57,2709,1658930400000
12.58,12.59,12.6,12.57,5965,1658934000000
12.59,12.6,12.61,12.59,9280,1658937600000
12.6,12.59,12.6,12.59,2600,1658941200000
12.595,12.65,12.65,12.57,7152,1658944800000
12.66,12.63,12.66,12.61,9429,1658948400000
12.635,12.67,12.67,12.63,6460,1659016800000
12.67,12.695,12.695,12.6685,2177,1659020400000
12.68,12.7,12.715,12.68,1833,1659024000000
12.7,12.73,12.73,12.7,5120,1659027600000
12.72,12.73,12.758,12.72,2463,1659031200000
12.73,12.73,12.76,12.72,5338,1659034800000
12.8,12.83,12.8399,12.8,2347,1659103200000
12.83,12.85,12.85,12.8296,5525,1659106800000
12.85,12.86,12.86,12.85,6062,1659110400000
12.8512,12.8599,12.86,12.8507,2224,1659114000000
12.855,12.86,12.865,12.851,5034,1659117600000
12.8572,12.8701,12.92,12.8572,8824,1659121200000
12.9248,12.9408,12.9999,12.9248,9283,1659362400000
12.98,12.97,13.01,12.9535,3152,1659366000000
13.0174,13.01,13.02,12.97,6548,1659369600000
13,12.96,13,12.96,4446,1659373200000
12.9651,12.96,12.9651,12.95,543,1659376800000
12.9665,12.99,12.99,12.9665,3217,1659380400000
13.0165,13.02,13.04,13,4517,1659448800000
13.02,13.03,13.0374,13.02,805,1659452400000
13.03,13.1,13.11,13.03,10673,1659456000000
13.084,13.09,13.11,13.0545,2225,1659459600000
13.09,13.06,13.09,13.05,5981,1659463200000
13.0635,13.0419,13.0635,13.03,4264,1659466800000
13.12,13.17,13.18,13.12,2597,1659535200000
13.1579,13.17,13.18,13.15,1802,1659538800000
13.17,13.16,13.17,13.157,1088,1659542400000
13.1632,13.1632,13.1632,13.1632,482,1659546000000
13.16,13.1201,13.16,13.1201,1436,1659549600000
13.12,13.16,13.16,13.12,5148,1659553200000
13.15,13.24,13.24,13.14,2576,1659621600000
13.225,13.22,13.225,13.21,1179,1659625200000
13.22,13.21,13.22,13.1701,3105,1659628800000
13.21,13.21,13.21,13.1727,5080,1659632400000
13.2,13.144,13.2,13.144,7063,1659636000000
13.151,13.15,13.1699,13.13,1799,1659639600000
13.1,13.185,13.2,13.1,9132,1659708000000
13.19,13.09,13.19,13.03,2428,1659711600000
13.09,13,13.0942,13,2212,1659715200000
13.1,13.13,13.14,13.1,3988,1659722400000
13.13,13.18,13.24,13.09,20762,1659726000000
13.25,13.252,13.2681,13.2196,1246,1659967200000
13.24,13.22,13.39,13.22,11277,1659970800000
13.1916,13.22,13.22,13.191,2678,1659974400000
13.2074,13.2104,13.2104,13.2074,1443,1659978000000
13.19,13.22,13.22,13.19,370,1659981600000
13.22,13.2061,13.24,13.2,5994,1659985200000
13.2388,13.2,13.25,13.19,4320,1660053600000
13.2,13.245,13.245,13.2,963,1660057200000
13.26,13.265,13.265,13.24,3758,1660060800000
13.265,13.32,13.32,13.265,1872,1660064400000
13.27,13.281,13.281,13.27,1240,1660068000000
13.29,13.29,13.29,13.29,466,1660071600000
13.35,13.33,13.35,13.33,1742,1660140000000
13.3322,13.34,13.37,13.33,3420,1660143600000
13.35,13.3586,13.365,13.34,1742,1660150800000
13.3592,13.34,13.3592,13.34,1051,1660154400000
13.34,13.3127,13.345,13.3127,4183,1660158000000
13.3752,13.3899,13.39,13.3543,2944,1660226400000
13.38,13.3728,13.38,13.3728,360,1660230000000
13.38,13.37,13.39,13.37,2827,1660233600000
13.375,13.36,13.375,13.36,361,1660237200000
13.35,13.3499,13.35,13.345,650,1660240800000
13.34,13.325,13.35,13.27,23830,1660244400000
13.3372,13.345,13.3489,13.3372,2450,1660312800000
13.368,13.4,13.41,13.35,5818,1660316400000
13.4097,13.4,13.4097,13.4,2259,1660320000000
13.42,13.3942,13.43,13.3942,1614,1660327200000
13.43,13.4,13.43,13.4,2211,1660330800000
13.35,13.35,13.35,13.35,111,1660572000000
13.3895,13.36,13.39,13.35,2009,1660575600000
13.4,13.36,13.4,13.36,1642,1660579200000
13.36,13.34,13.42,13.34,8742,1660582800000
13.33,13.3567,13.39,13.31,6440,1660586400000
13.32,13.3501,13.41,13.32,5279,1660590000000
13.3951,13.39,13.4494,13.39,2400,1660658400000
13.39,13.43,13.43,13.39,6736,1660662000000
13.4155,13.44,13.44,13.4155,1209,1660665600000
13.4,13.435,13.435,13.3935,1750,1660669200000
13.435,13.405,13.435,13.405,1192,1660672800000
13.405,13.38,13.432,13.38,6588,1660676400000
13.4,13.37,13.41,13.31,9874,1660744800000
13.37,13.3695,13.4,13.35,8933,1660748400000
13.36,13.36,13.37,13.36,1757,1660752000000
