o,c,h,l,v,t
50.625,50.49,50.71,49.98,448423,1657720800000
50.5,50.455,50.63,50.2315,280707,1657724400000
50.46,50.87,50.88,50.395,190883,1657728000000
50.88,50.95,51.04,50.69,324914,1657731600000
50.95,50.92,50.95,50.455,387034,1657735200000
50.93,50.66,50.93,50.6,975363,1657738800000
48.8862,48.635,49.09,48.42,575781,1657807200000
48.65,49.045,49.08,48.52,495071,1657810800000
49.06,48.605,49.06,48.53,265624,1657814400000
48.605,48.705,48.825,48.52,298592,1657818000000
48.71,48.87,49.11,48.71,359508,1657821600000
48.88,48.43,48.94,48.395,1438677.0,1657825200000
48.98,49.57,49.81,48.97,536721,1657893600000
49.57,49.9,50,49.57,373347,1657897200000
49.895,49.86,50.04,49.81,281951,1657900800000
49.86,50.15,50.165,49.85,289481,1657904400000
50.16,50.39,50.53,50.04,541499,1657908000000
50.39,50.065,50.4076,49.8501,1140491.0,1657911600000
50.74,50.91,51.045,50.59,434027,1658152800000
50.915,50.69,51.09,50.61,379819,1658156400000
50.695,50.295,50.74,50.24,428886,1658160000000
50.295,50.14,50.33,50.11,286676,1658163600000
50.14,50.015,50.27,49.94,272673,1658167200000
50.01,49.86,50.16,49.655,740925,1658170800000
51.185,51.55,51.8025,51.085,354599,1658239200000
51.56,51.8,51.8,51.53,406036,1658242800000
51.8,51.85,51.89,51.62,239178,1658246400000
51.85,51.98,51.99,51.69,241904,1658250000000
51.97,51.83,52.095,51.7402,305211,1658253600000
51.825,51.71,52.04,51.64,923726,1658257200000
51.565,51.79,51.91,51.43,304849,1658325600000
51.8,51.625,51.84,51.45,320443,1658329200000
51.61,51.25,51.61,51.14,350887,1658332800000
51.24,51.085,51.37,51.015,466090,1658336400000
51.08,51.445,51.55,51.075,320387,1658340000000
51.445,51.51,51.63,51.41,853100,1658343600000
51.475,51.115,51.49,50.7231,304101,1658412000000
51.11,50.99,51.23,50.86,295898,1658415600000
50.96,51.41,51.47,50.96,192397,1658419200000
51.41,51.35,51.485,51.21,229665,1658422800000
51.37,51.28,51.4,51.22,205130,1658426400000
51.285,51.64,51.65,51.28,692710,1658430000000
51.43,51.76,51.835,51.29,381091,1658498400000
51.77,51.54,51.83,51.415,299689,1658502000000
51.53,51.35,51.57,51.32,271630,1658505600000
51.33,51.04,51.33,50.93,301688,1658509200000
51.0418,51.055,51.08,50.85,320394,1658512800000
51.05,51.34,51.35,50.995,726693,1658516400000
52.065,52.13,52.43,51.995,424519,1658757600000
52.11,52.22,52.36,51.84,637818,1658761200000
52.22,52.07,52.22,51.92,215701,1658764800000
52.06,51.802,52.12,51.765,245578,1658768400000
