o,c,h,l,v,t
77.18,78.175,78.175,77.01,3963,1657720800000
78.3,77.83,78.3,77.62,4993,1657724400000
77.92,78.47,78.48,77.92,5443,1657728000000
78.386,78.44,78.54,78.279,4018,1657731600000
78.34,78.55,78.83,78.08,6142,1657735200000
78.75,78.04,78.8,78.04,10880,1657738800000
77.14,77.62,77.79,77.14,3330,1657807200000
77.15,77.46,77.55,76.85,4931,1657810800000
77.49,77.17,77.49,76.89,2847,1657814400000
77.23,77.72,77.72,77.14,2691,1657818000000
77.71,78.02,78.2,77.71,6854,1657821600000
77.89,78.25,78.31,77.71,11733,1657825200000
78.56,78.75,79.24,78.55,5066,1657893600000
78.81,79.11,79.16,78.81,2692,1657897200000
79.46,79.5972,79.5972,79.45,1159,1657900800000
79.68,79.52,79.88,79.51,4851,1657904400000
79.46,79.5883,79.7,79.46,5733,1657908000000
79.52,79.44,79.62,79.24,15940,1657911600000
80.2777,79.99,80.2777,79.96,3813,1658152800000
79.8598,80.02,80.02,79.65,3212,1658156400000
80.24,79.73,80.25,79.7,7241,1658160000000
79.6769,79.43,79.745,79.35,4431,1658163600000
79.295,78.88,79.295,78.82,5493,1658167200000
78.93,78.68,79.02,78.34,17405,1658170800000
81.04,81.67,81.935,80.93,13498,1658239200000
81.535,81.64,81.87,81.47,4265,1658242800000
81.7,82.46,82.46,81.7,6997,1658246400000
82.4599,82.6801,82.9,82.34,9649,1658250000000
82.9,82.785,83.14,82.29,12799,1658253600000
82.59,82.06,82.8,82.06,31366,1658257200000
81.8,82.0025,82.43,81.8,5726,1658325600000
82.01,81.9,82.08,81.69,5424,1658329200000
82.04,81.98,82.36,81.87,5715,1658332800000
81.73,81.4,82.175,81.4,9911,1658336400000
81.62,82.01,82.2254,81.51,8428,1658340000000
82.02,82.04,82.395,81.925,38615,1658343600000
81.54,81.385,81.91,81.28,5435,1658412000000
81.42,81.37,81.66,81.16,6369,1658415600000
81.575,81.745,81.745,81.3,5641,1658419200000
81.68,81.28,81.7125,81.28,2179,1658422800000
81.35,81.435,81.93,81.29,4467,1658426400000
81.51,82.3,82.3,81.3901,29066,1658430000000
81.51,82.0357,82.175,81.51,5975,1658498400000
82.05,81.9,82.27,81.9,3898,1658502000000
81.89,81.28,81.91,81.28,5156,1658505600000
81.13,80.55,81.18,80.55,4797,1658509200000
80.32,80.37,80.65,80.32,5407,1658512800000
80.51,81.19,81.19,80.51,20733,1658516400000
81.4,81.445,82.01,81.37,6908,1658757600000
81.5,81.61,81.61,81.27,6305,1658761200000
81.6,81.42,81.6,81.03,7472,1658764800000
81.42,81.32,81.45,81.065,8154,1658768400000
81.275,81.33,81.45,81.19,6767,1658772000000
81.3358,82.01,82.2,81.0642,26398,1658775600000
85.08,84.985,85.25,84.03,21129,1658844000000
84.7967,84.39,84.985,84.17,12030,1658847600000
84.51,86,86,84.25,19149,1658851200000
86.16,85.21,86.24,85.21,11681,1658854800000
85.365,85.63,85.63,84.98,18548,1658858400000
85.77,85.61,86.47,85.36,44735,1658862000000
