o,c,h,l,v,t
41.12,41.09,41.375,40.76,17685,1657720800000
41.17,41.11,41.33,40.91,10924,1657724400000
41.13,41.32,41.4333,41.13,12413,1657728000000
41.26,41.305,41.44,41.21,8001,1657731600000
41.3,41.38,41.57,41.14,19377,1657735200000
41.41,41.16,41.41,41.09,40508,1657738800000
40.46,40.71,40.8,40.29,23351,1657807200000
40.76,41.07,41.07,40.625,10534,1657810800000
40.91,40.75,40.9125,40.61,5436,1657814400000
40.81,41.02,41.02,40.73,6138,1657818000000
41.045,41.28,41.42,41.045,7051,1657821600000
41.25,41.43,41.535,41.2,32054,1657825200000
41.165,41.67,41.67,41.1,15229,1657893600000
41.58,41.61,41.68,41.43,9534,1657897200000
41.51,41.4,41.71,41.3,11695,1657900800000
41.43,41.29,41.545,41.2,11222,1657904400000
41.31,41.44,41.53,41.31,12459,1657908000000
41.425,41.66,41.81,41.425,68897,1657911600000
42.28,42.5,42.59,42.28,8701,1658152800000
42.45,42.455,42.765,42.3775,20320,1658156400000
42.41,42,42.41,42,13987,1658160000000
42,42.1,42.32,41.94,17260,1658163600000
42.07,42.01,42.15,41.875,15905,1658167200000
41.98,41.84,42.1,41.68,56825,1658170800000
43,43.54,43.54,42.97,28915,1658239200000
43.57,43.66,43.67,43.3033,51493,1658242800000
43.615,43.93,43.93,43.54,14516,1658246400000
43.9,44.01,44.04,43.7,33195,1658250000000
44.01,44.15,44.2,44,28537,1658253600000
44.18,44.26,44.6,44.17,112483,1658257200000
43.795,44.24,44.56,43.64,34311,1658325600000
44.25,44.27,44.412,44.23,14522,1658329200000
44.25,44.42,44.44,44.21,10530,1658332800000
44.4,44.5,44.54,44.29,22990,1658336400000
44.5,44.95,44.95,44.5,23378,1658340000000
44.97,45,45.14,44.92,54412,1658343600000
42.99,43.22,43.27,41.89,128957,1658412000000
43.18,43.26,43.54,43.14,63411,1658415600000
43.19,43.83,43.85,43.17,46998,1658419200000
43.87,42.925,43.87,42.71,83053,1658422800000
42.89,42.54,43.12,42.19,51337,1658426400000
42.53,43.54,43.54,42.51,216936,1658430000000
42.37,41.835,42.37,41.38,34558,1658498400000
41.85,41.75,42.085,41.46,30897,1658502000000
41.74,42.3218,42.425,41.67,28500,1658505600000
42.29,41.4,42.29,41.32,29297,1658509200000
41.38,41.225,41.48,41.225,38629,1658512800000
41.21,41.36,41.42,41.13,136547,1658516400000
42.23,42.67,42.73,42.17,32522,1658757600000
42.56,42.665,42.74,42.13,65621,1658761200000
42.7,42.53,42.97,42.29,44626,1658764800000
42.53,42.17,42.74,42.09,34906,1658768400000
42.09,42.2,42.33,41.99,39848,1658772000000
42.2,42.33,42.34,41.96,101687,1658775600000
43.26,43.92,43.93,43.25,39525,1658844000000
43.94,42.89,43.96,42.87,24694,1658847600000
42.825,42.97,43.055,42.6,34589,1658851200000
43,42.9,43.06,42.755,31122,1658854800000
42.92,42.76,43.015,42.64,43604,1658858400000
42.76,42.3,42.76,42.27,102754,1658862000000
42.995,42.99,43.06,42.46,37314,1658930400000
42.95,42.9,43,42.675,22765,1658934000000
42.87,43,43.05,42.79,39824,1658937600000
42.99,42.92,43.02,42.68,19422,1658941200000
42.98,43.7,43.7,42.87,39529,1658944800000
43.755,43.61,43.94,43.61,64782,1658948400000
43.49,43.79,43.88,43.17,21315,1659016800000
43.79,43.61,43.86,43.55,28337,1659020400000
43.61,43.831,43.915,43.51,24379,1659024000000
43.83,43.89,43.92,43.77,33971,1659027600000
43.89,43.7,43.91,43.67,27545,1659031200000
43.7,44.18,44.22,43.63,52456,1659034800000
44.35,44.53,44.5725,44.35,8576,1659103200000
44.42,44.18,44.605,44.18,19522,1659106800000
44.18,44.6,44.68,44.1,59049,1659110400000
44.56,44.78,44.93,44.53,27998,1659114000000
44.78,44.7025,44.9,44.62,64034,1659117600000
44.7,44.5,44.71,44.29,83920,1659121200000
44.65,44.53,45.2299,44.07,50866,1659362400000
44.62,44.82,45.02,44.5,20846,1659366000000
44.9,45.08,45.15,44.6,34246,1659369600000
45.03,44.7,45.17,44.49,50296,1659373200000
44.73,45.34,45.39,44.685,24919,1659376800000
45.35,44.84,45.38,44.69,86148,1659380400000
44.55,44.72,44.96,44.295,19630,1659448800000
44.78,44.93,45.16,44.71,21027,1659452400000
44.93,45.06,45.12,44.88,12435,1659456000000
45.1,45.11,45.11,44.715,16714,1659459600000
45.11,45.08,45.405,45.08,21477,1659463200000
45.125,44.79,45.27,44.7,60574,1659466800000
44.16,44.05,44.42,44.02,18928,1659535200000
43.98,44.06,44.06,43.72,9759,1659538800000
44.15,44.86,44.86,44.11,23456,1659542400000
44.88,44.89,45.03,44.61,27747,1659546000000
44.89,44.89,45.01,44.8,22354,1659549600000
44.87,44.77,45.1,44.73,55659,1659553200000
45.0858,45.495,45.495,44.89,16307,1659621600000
45.315,45.26,45.57,45.095,14888,1659625200000
45.34,45.33,45.37,45.07,18971,1659628800000
45.35,45.18,45.42,45.04,19150,1659632400000
45.18,45.08,45.31,45.08,18529,1659636000000
45.13,45.03,45.27,44.85,48079,1659639600000
44.79,44.6352,44.95,44.54,21249,1659708000000
44.63,44.62,44.83,44.52,15836,1659711600000
44.66,45.12,45.13,44.66,15902,1659715200000
45.12,45.115,45.17,45.01,11824,1659718800000
45.13,45.1,45.25,44.99,21206,1659722400000
45.1,45.09,45.3,45,46568,1659726000000
45.85,45.355,45.85,45.35,14048,1659967200000
45.35,45.1,45.39,44.96,20625,1659970800000
45.1,44.85,45.1,44.645,12025,1659974400000
44.85,44.96,44.97,44.75,13228,1659978000000
44.89,44.785,44.93,44.59,22084,1659981600000
44.805,45.04,45.18,44.805,74730,1659985200000
44.76,45.09,45.2,44.705,14491,1660053600000
45.02,45.13,45.22,44.78,15527,1660057200000
45.11,45.13,45.22,44.9,23456,1660060800000
45.13,45.44,45.44,44.97,18947,1660064400000
45.44,45.4,45.47,45.325,20463,1660068000000
45.365,45.54,45.56,45.05,69655,1660071600000
46.5,46.79,46.94,46.5,47308,1660140000000
46.82,46.83,46.9,46.755,14287,1660143600000
46.84,46.83,46.88,46.64,28923,1660147200000
46.83,46.875,46.95,46.75,18325,1660150800000
46.9,46.96,47,46.76,35629,1660154400000
46.96,46.6,47.23,46.59,111438,1660158000000
46.76,47.06,47.28,46.76,13872,1660226400000
46.97,46.61,46.97,46.5,6649,1660230000000
46.68,46.72,46.78,46.55,5622,1660233600000
46.67,46.59,46.725,46.54,5136,1660237200000
46.58,46.4,46.67,46.29,10244,1660240800000
46.39,46.33,46.5,46.12,36435,1660244400000
46.3,46.2864,46.7,46.18,5198,1660312800000
46.41,46.85,46.85,46.4,4561,1660316400000
46.82,46.6,46.92,46.6,4800,1660320000000
