o,c,h,l,v,t
90.93,91.17,91.395,90.79,3807,1657720800000
91.145,90.8,91.53,90.42,7581,1657724400000
90.925,90.77,91.045,90.75,2516,1657728000000
90.88,90.555,90.88,90.5,3006,1657731600000
90.48,91.29,91.29,90.25,11036,1657735200000
91.245,90.71,91.38,90.63,31279,1657738800000
89.07,88.385,89.07,88.18,13602,1657807200000
88.47,88.605,88.99,88.2,10730,1657810800000
88.74,88.41,88.82,88.09,13513,1657814400000
88.21,88.885,88.94,88.11,10887,1657818000000
88.84,89.48,89.93,88.84,21102,1657821600000
89.56,89.72,89.785,89.075,71853,1657825200000
89.95,90.21,90.68,89.745,40752,1657893600000
90.32,90.18,90.38,90.06,20906,1657897200000
90.27,90.29,90.81,89.89,43413,1657900800000
90.32,90.32,90.745,90.32,24023,1657904400000
90.5,90.255,90.5,90.255,10712,1657908000000
90.28,90.4,90.59,90.14,62784,1657911600000
91.6783,91.74,92.02,91.35,10593,1658152800000
91.43,91.52,91.65,91,7152,1658156400000
91.41,90.4318,91.41,90.4318,7113,1658160000000
90.57,90.39,90.795,90.33,8685,1658163600000
90.22,90.17,90.54,90.075,7414,1658167200000
90.3563,89.79,90.47,89.77,39698,1658170800000
91.98,92.35,92.55,91.98,18810,1658239200000
92.265,92.25,92.35,92,10988,1658242800000
92.25,92.74,92.755,92.12,9380,1658246400000
92.63,92.815,92.83,92.55,14555,1658250000000
92.82,93.37,93.55,92.78,16378,1658253600000
93.35,93.68,93.87,93.3,45389,1658257200000
93.77,94.305,94.415,93.5,8611,1658325600000
94.44,94.19,94.88,94.03,6878,1658329200000
94.36,94.285,94.71,94.25,7602,1658332800000
94.17,94.23,94.61,94.01,6756,1658336400000
94.45,94.94,95,94.27,11749,1658340000000
94.84,95.37,95.57,94.81,36735,1658343600000
94.54,93.81,94.54,93.68,9781,1658412000000
93.88,93.7185,93.97,93.4,8009,1658415600000
93.72,93.59,93.81,93.37,8151,1658419200000
93.61,93.07,93.61,93.06,11722,1658422800000
93.09,93.36,93.78,93.09,16564,1658426400000
93.4,94.63,94.71,93.25,51007,1658430000000
94.43,95.21,95.62,94.43,7812,1658498400000
94.97,95.05,95.71,94.97,7835,1658502000000
95.105,94.6,95.105,94.43,6807,1658505600000
94.49,93.79,94.49,93.66,3314,1658509200000
93.66,93.95,93.96,93.6114,4861,1658512800000
93.77,94.54,94.54,93.67,33543,1658516400000
94.73,94.955,95.205,94.72,7103,1658757600000
95.02,95.39,95.5,94.8,5493,1658761200000
95.46,95.07,95.46,94.8,3884,1658764800000
95.135,94.98,95.29,94.98,6582,1658768400000
95.125,95.1,95.36,94.935,6942,1658772000000
95.1,95.22,95.42,94.89,21390,1658775600000
95.38,95.87,95.95,95.35,2910,1658844000000
95.725,94.91,95.725,94.91,5100,1658847600000
94.84,95.285,95.3,94.84,3685,1658851200000
95.37,95.475,95.55,95.09,8319,1658854800000
95.46,95.38,95.515,95.25,5162,1658858400000
95.38,95.44,95.78,95.3,25535,1658862000000
95.45,96.31,96.49,95.375,9696,1658930400000
96.48,96.31,96.63,96.2187,5820,1658934000000
96.31,96.285,96.435,96.22,3233,1658937600000
96.23,96.31,96.55,96.15,4209,1658941200000
96.44,97.2,97.5,96.21,10371,1658944800000
97.11,97.34,98.42,97.11,33131,1658948400000
97.95,98.29,98.42,97.77,2111,1659016800000
98.51,98.46,98.59,98.14,4441,1659020400000
98.48,98.58,98.73,98.47,3032,1659024000000
98.815,99.17,99.3,98.7,4165,1659027600000
99.16,98.945,99.17,98.83,3591,1659031200000
99,98.86,99.07,98.64,16005,1659034800000
99.6,100.1825,100.33,99.6,7500,1659103200000
100.31,100.09,100.39,99.86,12742,1659106800000
100.175,100.04,100.29,99.94,4567,1659110400000
100.11,100.175,100.3,99.72,4975,1659114000000
100.28,100.73,100.73,100.28,4224,1659117600000
100.82,100.53,100.95,100.27,22598,1659121200000
100.028,101.58,101.62,99.97,11793,1659362400000
101.775,102.32,102.43,101.48,21761,1659366000000
102.31,103.49,103.74,102.31,29352,1659369600000
103.525,103.13,103.525,103.13,13901,1659373200000
103.15,104.02,104.1275,103.11,18908,1659376800000
104.08,103.36,104.36,103.18,51921,1659380400000
101.735,102.825,102.825,101.45,5951,1659448800000
102.42,102.145,102.59,101.66,6762,1659452400000
101.95,102.24,102.43,101.95,2884,1659456000000
102.14,101.445,102.14,101.43,3322,1659459600000
101.5,101.72,101.925,101.46,4435,1659463200000
101.62,100.87,101.62,100.66,19680,1659466800000
101,100.77,101.04,100.55,15726,1659535200000
100.775,101.275,101.275,100.775,5312,1659538800000
101.17,101.195,101.28,101.12,3705,1659542400000
101.4,101.665,101.69,101.27,5526,1659546000000
101.78,102.04,102.04,101.75,3705,1659549600000
101.95,102.54,103.16,101.95,45273,1659553200000
102.17,102.32,102.91,102.17,4174,1659621600000
102.27,102.02,102.29,101.68,4648,1659625200000
102.09,102.12,102.19,101.99,3017,1659628800000
102.15,102.37,102.51,102.13,6257,1659632400000
102.38,102.48,102.562,102.24,5720,1659636000000
102.42,102.26,102.63,102.25,21574,1659639600000
102.12,102.31,102.64,101.945,4043,1659708000000
102.38,102.23,102.41,101.965,7131,1659711600000
102.375,102.6,102.66,102.19,2700,1659715200000
102.75,102.99,103.005,102.75,2656,1659718800000
102.49,102.74,102.8,102.465,8365,1659722400000
102.8,103.44,103.55,102.75,26005,1659726000000
104.95,104.83,105.005,104.443,8665,1659967200000
104.99,104.68,104.99,103.83,9720,1659970800000
104.6,104.42,104.8,103.99,11334,1659974400000
104.47,104.55,104.63,104.205,8522,1659978000000
