o,c,h,l,v,t
6.715,6.815,6.83,6.67,170618,1657720800000
6.81,6.815,6.85,6.8,79132,1657724400000
6.82,6.88,6.89,6.82,98306,1657728000000
6.88,6.875,6.89,6.8625,62717,1657731600000
6.87,6.87,6.875,6.83,156701,1657735200000
6.865,6.895,6.9,6.85,299403,1657738800000
6.885,6.85,6.885,6.8225,56864,1657807200000
6.85,6.88,6.895,6.85,95897,1657810800000
6.885,6.85,6.885,6.805,80940,1657814400000
6.84,6.855,6.87,6.82,86142,1657818000000
6.855,6.9,6.92,6.855,113864,1657821600000
6.895,6.85,6.92,6.85,391777,1657825200000
6.895,6.98,7,6.895,115114,1657893600000
6.975,7.045,7.05,6.965,40517,1657897200000
7.05,7.015,7.065,7.015,54714,1657900800000
7.015,6.99,7.04,6.99,86177,1657904400000
6.99,7.02,7.02,6.97,67589,1657908000000
7.015,7.03,7.05,7,383289,1657911600000
7.05,7.11,7.11,7.01,68345,1658152800000
7.105,7.08,7.11,7.08,48471,1658156400000
7.09,7.115,7.14,7.075,83796,1658160000000
7.115,7.075,7.12,7.04,145855,1658163600000
7.07,7.065,7.09,7.055,133073,1658167200000
7.065,7.05,7.08,7.005,392030,1658170800000
7.185,7.16,7.19,7.15,95865,1658239200000
7.16,7.185,7.2,7.14,68287,1658242800000
7.185,7.22,7.22,7.17,58773,1658246400000
7.215,7.265,7.265,7.195,67484,1658250000000
7.265,7.29,7.29,7.26,78031,1658253600000
7.29,7.29,7.31,7.26,371921,1658257200000
7.295,7.4275,7.43,7.29,59489,1658325600000
7.42,7.4,7.435,7.36,45453,1658329200000
7.405,7.345,7.415,7.33,30687,1658332800000
7.345,7.3,7.36,7.3,44759,1658336400000
7.31,7.3707,7.39,7.31,53026,1658340000000
7.375,7.34,7.39,7.33,174933,1658343600000
7.33,7.365,7.375,7.28,70328,1658412000000
7.365,7.395,7.415,7.335,68696,1658415600000
7.39,7.43,7.45,7.39,51435,1658419200000
7.44,7.43,7.46,7.41,52535,1658422800000
7.43,7.45,7.48,7.425,61249,1658426400000
7.445,7.5,7.5,7.44,157951,1658430000000
7.535,7.595,7.605,7.53,74910,1658498400000
7.595,7.615,7.6263,7.58,112259,1658502000000
7.615,7.6,7.62,7.585,49578,1658505600000
7.59,7.54,7.6,7.54,57473,1658509200000
7.55,7.54,7.56,7.52,74290,1658512800000
7.53,7.56,7.58,7.52,170689,1658516400000
7.63,7.68,7.705,7.63,94304,1658757600000
7.68,7.725,7.73,7.675,43671,1658761200000
7.7292,7.672,7.74,7.67,55215,1658764800000
7.68,7.66,7.69,7.655,28349,1658768400000
7.65,7.675,7.6998,7.65,84743,1658772000000
7.675,7.655,7.68,7.63,217645,1658775600000
7.665,7.68,7.695,7.61,110184,1658844000000
7.69,7.66,7.69,7.655,23127,1658847600000
7.65,7.69,7.71,7.65,35553,1658851200000
7.69,7.675,7.69,7.66,27768,1658854800000
7.675,7.68,7.695,7.665,38716,1658858400000
7.685,7.7,7.715,7.66,105931,1658862000000
7.78,7.7563,7.789,7.735,22893,1658930400000
7.76,7.8,7.81,7.76,32881,1658934000000
7.8,7.765,7.8,7.765,21326,1658937600000
7.765,7.81,7.82,7.755,30191,1658941200000
7.81,7.825,7.85,7.76,65343,1658944800000
7.825,7.8408,7.87,7.81,214017,1658948400000
7.955,8.06,8.065,7.94,97117,1659016800000
8.06,8.065,8.08,8.05,120094,1659020400000
8.065,8.075,8.085,8.05,55139,1659024000000
8.07,8.085,8.09,8.055,63778,1659027600000
8.08,8.1,8.1,8.07,50849,1659031200000
8.095,8.09,8.14,8.0716,384142,1659034800000
8.325,8.4,8.5,8.3101,234346,1659103200000
8.4,8.415,8.45,8.4,142138,1659106800000
8.41,8.425,8.475,8.39,169393,1659110400000
8.425,8.36,8.435,8.36,101486,1659114000000
8.3607,8.325,8.365,8.3,144373,1659117600000
8.325,8.31,8.37,8.28,331594,1659121200000
8.275,8.3,8.36,8.24,115118,1659362400000
8.3,8.245,8.31,8.245,101475,1659366000000
8.24,8.255,8.26,8.22,156757,1659369600000
8.25,8.235,8.26,8.21,87004,1659373200000
8.235,8.22,8.25,8.2,199345,1659376800000
8.2129,8.155,8.22,8.14,450515,1659380400000
8.09,8.085,8.13,8.07,167177,1659448800000
8.09,8.085,8.11,8.05,190519,1659452400000
8.085,8.125,8.17,8.07,158770,1659456000000
8.125,8.11,8.125,8.07,136995,1659459600000
8.105,8.055,8.1075,8.05,178947,1659463200000
8.055,8,8.0675,7.96,584603,1659466800000
8.02,7.975,8.04,7.96,300799,1659535200000
7.975,7.895,7.98,7.855,427665,1659538800000
7.895,7.845,7.9,7.79,785811,1659542400000
7.85,7.755,7.855,7.695,299451,1659546000000
7.755,7.685,7.76,7.6699,274265,1659549600000
7.685,7.63,7.685,7.595,708734,1659553200000
7.63,7.785,7.815,7.62,260164,1659621600000
7.79,7.755,7.805,7.725,369737,1659625200000
7.76,7.75,7.78,7.73,269736,1659628800000
7.75,7.75,7.82,7.74,463208,1659632400000
7.76,7.81,7.81,7.73,256038,1659636000000
7.81,7.9,7.9,7.8,1095121.0,1659639600000
8,8.0221,8.085,7.89,150342,1659708000000
8.03,8.115,8.15,8.02,133559,1659711600000
8.12,8.11,8.15,8.095,82794,1659715200000
8.11,8.1,8.14,8.05,138872,1659718800000
8.1,8.135,8.155,8.075,123487,1659722400000
8.135,8.27,8.28,8.12,300724,1659726000000
8.45,8.335,8.455,8.305,272397,1659967200000
