o,c,h,l,v,t
173.8,174.2,174.35,173.29,43820,1657720800000
174.36,174.21,174.93,173.9,54140,1657724400000
174.22,175.23,175.34,174.1,18313,1657728000000
175.26,175.26,175.57,175.04,18118,1657731600000
175.11,175.685,175.685,174.35,34511,1657735200000
175.75,174.58,175.75,174.25,115506,1657738800000
170.13,168.06,170.17,168.06,25828,1657807200000
168.145,168.33,168.49,167.67,20377,1657810800000
168.32,166.365,168.47,166.365,35648,1657814400000
166.33,166.95,167.19,166.18,20219,1657818000000
167.21,167.85,168.18,167.1317,29057,1657821600000
167.96,167.5,168.18,167.37,96860,1657825200000
168,168.79,169.295,167.92,20455,1657893600000
168.75,168.54,168.81,168.42,27436,1657897200000
168.52,167.5,168.73,167.435,21974,1657900800000
167.5,167.615,167.97,167.37,25793,1657904400000
167.615,166.97,167.77,166.97,26590,1657908000000
166.84,166.88,167.47,166.45,112934,1657911600000
167.005,166.84,167.33,166.58,55284,1658152800000
166.72,165.73,166.72,165.57,29465,1658156400000
165.69,165.23,165.69,165.17,19848,1658160000000
165.27,165.29,165.61,165.23,24333,1658163600000
165.43,164.74,165.46,164.57,24939,1658167200000
164.72,164.27,164.91,163.48,107689,1658170800000
167.12,167.14,167.685,166.79,19480,1658239200000
167.09,167.305,167.39,166.95,18630,1658242800000
167.33,167.89,167.89,167,19637,1658246400000
167.87,168.04,168.04,167.5,14532,1658250000000
168.07,168.05,168.4001,167.93,25025,1658253600000
168.05,168.22,168.91,167.89,66073,1658257200000
166.915,167.8008,167.88,166.82,27774,1658325600000
167.835,168.73,168.87,167.83,28728,1658329200000
168.73,168.32,168.91,167.82,13633,1658332800000
168.305,168.1525,168.685,167.9,18635,1658336400000
168.18,168.57,168.97,168.18,23688,1658340000000
168.52,168.44,168.91,168.265,85605,1658343600000
167.37,166.665,167.385,166.26,14513,1658412000000
166.6,166.78,167.19,166.6,32286,1658415600000
166.815,167.54,167.67,166.76,16516,1658419200000
167.63,167.45,167.78,167.36,14221,1658422800000
167.39,167.705,167.835,167.32,16917,1658426400000
167.73,168.79,168.88,167.73,60941,1658430000000
169.1,169.685,169.72,169.08,12954,1658498400000
169.72,169.55,169.73,169.035,13886,1658502000000
169.64,169.795,170.04,169.36,25069,1658505600000
169.72,169.3,169.72,169.01,20780,1658509200000
169.235,168.875,169.45,168.875,22590,1658512800000
168.76,169.75,169.81,168.73,50855,1658516400000
171.36,172.01,172.181,171.2,9486,1658757600000
171.96,172.11,172.21,171.45,11662,1658761200000
172.115,171.69,172.33,171.69,13652,1658764800000
171.79,171.51,171.99,171.5,10900,1658768400000
171.48,171.19,171.75,171.19,15740,1658772000000
171.28,171.96,172.13,171.15,51472,1658775600000
172.625,172.1,172.99,171.84,37039,1658844000000
172.065,171.68,172.32,171.68,22180,1658847600000
171.66,172.35,172.4,171.51,21163,1658851200000
172.26,172.215,172.655,172.215,22363,1658854800000
172.23,172.12,172.48,171.795,30831,1658858400000
172.11,171.94,172.34,171.77,97028,1658862000000
171.84,170.495,171.84,170.345,39973,1658930400000
170.45,170.64,170.72,169.8,26351,1658934000000
170.59,170.67,171.02,170.265,50827,1658937600000
170.705,171.26,171.61,170.66,33735,1658941200000
171.3,171.16,171.63,170.68,50087,1658944800000
171.25,172.01,172.76,171.12,122951,1658948400000
169.89,169.55,169.89,167.91,17357,1659016800000
169.4,169.685,169.96,168.62,13773,1659020400000
169.69,170.33,170.35,169.43,35920,1659024000000
170.33,171.7,171.86,170.21,34057,1659027600000
171.66,171.88,172.0418,171.3477,37116,1659031200000
171.81,172.12,172.24,171.29,112464,1659034800000
174.73,175.02,175.42,174.585,35529,1659103200000
174.99,175.55,175.56,174.81,44367,1659106800000
175.55,175.285,175.6,174.82,25513,1659110400000
175.24,175.26,175.295,174.88,41243,1659114000000
175.225,175.79,175.9,175.18,46443,1659117600000
175.8,175.78,176.31,175.61,121661,1659121200000
174.1,174.03,174.62,173.1375,48007,1659362400000
174.03,174.39,174.76,174.03,33439,1659366000000
174.2,175.2,175.33,174.04,35223,1659369600000
175.15,174.32,175.229,174.14,36156,1659373200000
174.39,174.85,174.86,174.13,34634,1659376800000
174.83,174.61,175.52,174.52,122373,1659380400000
173.955,174.63,175.01,173.585,81230,1659448800000
174.375,174.405,174.705,174.2,26555,1659452400000
174.4,174.835,174.92,174.17,29175,1659456000000
174.82,173.68,174.84,173.45,57353,1659459600000
173.64,173.51,173.98,173.4,36619,1659463200000
173.46,171.43,173.515,170.94,148284,1659466800000
155.24,155.76,157.815,155.19,190903,1659535200000
155.7275,156.6,157.4898,155.31,129646,1659538800000
156.49,156.58,156.765,156.125,88307,1659542400000
156.59,157.55,157.77,156.59,79251,1659546000000
157.555,156.995,157.77,156.685,100054,1659549600000
157.02,154.0963,157.09,153.78,307637,1659553200000
151.5,153.85,154.58,151.05,79084,1659621600000
153.85,152.94,153.85,152.855,81923,1659625200000
153.06,153.15,153.52,152.6701,56445,1659628800000
153.2,154.35,154.45,152.985,73846,1659632400000
154.44,155.88,155.88,154.415,132711,1659636000000
155.87,156.24,156.24,155.27,271104,1659639600000
156.905,157.2,157.725,155.98,63706,1659708000000
157.19,155.91,157.28,155.91,52547,1659711600000
155.87,156,156.2,155.65,36914,1659715200000
156.04,155.93,156.1,155.685,55784,1659718800000
155.93,153.9,155.93,153.81,52540,1659722400000
153.94,155.33,155.4,153.83,152082,1659726000000
156.92,158.005,158.11,156.9,45281,1659967200000
158.02,157.45,158.65,157.45,46974,1659970800000
157.48,158.195,158.26,157.29,41504,1659974400000
158.26,158.17,158.415,157.985,23191,1659978000000
158.1,157.92,158.285,157.655,44920,1659981600000
157.91,158.12,158.36,157.79,151075,1659985200000
159.04,157.26,159.375,157.05,76153,1660053600000
157.17,157.855,158.16,157.17,80895,1660057200000
157.82,157.96,158.105,157.68,35824,1660060800000
158.01,157.86,158.09,157.82,26059,1660064400000
157.93,157.735,158.26,157.575,46481,1660068000000
157.77,158.15,158.21,157.52,155920,1660071600000
160.58,161.105,161.32,160.4,30919,1660140000000
161.17,161.13,161.51,160.89,26106,1660143600000
161.21,161.5,161.54,160.76,30444,1660147200000
161.505,161.37,161.73,161.345,23438,1660150800000
161.37,160.995,161.4,160.98,27582,1660154400000
161,161.91,161.97,160.97,68635,1660158000000
163.48,163.81,163.94,162.87,54761,1660226400000
163.62,163.85,163.96,163.42,42194,1660230000000
163.785,163.32,163.83,163.1,27091,1660233600000
163.28,163.18,163.33,162.85,20364,1660237200000
163.14,163.14,163.19,162.775,24693,1660240800000
163.16,163.45,163.585,162.8,145089,1660244400000
164.81,164.675,164.88,164.23,29412,1660312800000
164.63,165.045,165.09,164.42,38477,1660316400000
