o,c,h,l,v,t
163.76,164.77,164.785,163.29,75380,1657720800000
164.82,164.76,165.61,164.67,110503,1657724400000
164.85,165.49,165.66,164.57,34830,1657728000000
165.45,165.12,165.8,164.91,32269,1657731600000
165,165.69,165.69,164.2,75452,1657735200000
165.61,164.68,165.61,164.66,323938,1657738800000
161.56,160.8976,161.59,160.6,53014,1657807200000
161.07,161.955,162.05,160.76,45130,1657810800000
162.06,161.19,162.155,160.88,66939,1657814400000
161.16,162.31,162.35,160.92,52493,1657818000000
162.23,163.04,163.23,162.23,36779,1657821600000
163.08,162.78,163.32,162.62,98927,1657825200000
166.12,165.705,166.3,165.43,41855,1657893600000
165.695,165.575,166.06,165.515,27861,1657897200000
165.64,165.48,166.03,165.45,41757,1657900800000
165.52,165.31,165.985,165.045,36280,1657904400000
165.23,165.49,165.6,165.048,49721,1657908000000
165.46,165.71,165.77,165.16,181103,1657911600000
165.15,165.925,166.04,164.93,48324,1658152800000
165.91,165.16,165.91,165.04,34374,1658156400000
165.1,164.57,165.18,164.46,33970,1658160000000
164.57,163.96,164.57,163.8643,34192,1658163600000
164.01,163.34,164.24,163.24,38926,1658167200000
163.29,161.9,163.46,161.335,151733,1658170800000
164.4,165.4559,165.63,164.255,44605,1658239200000
165.5025,165.79,166.06,165.4775,55283,1658242800000
165.78,165.85,166.015,165.39,52245,1658246400000
165.87,166.15,166.15,165.555,65613,1658250000000
166.21,166.21,166.42,166.01,72345,1658253600000
166.08,166.44,166.81,165.97,195796,1658257200000
165.2,166.57,166.89,165.13,26189,1658325600000
166.5,166.7,166.85,165.99,30816,1658329200000
166.67,166.36,166.97,165.91,31037,1658332800000
166.29,165.9,166.7689,165.72,44057,1658336400000
166,166.5,166.78,165.96,31830,1658340000000
166.43,166.59,166.97,166.17,159103,1658343600000
168.47,168.365,168.9,167.76,49292,1658412000000
168.44,168.96,169.19,167.99,41935,1658415600000
169.01,169.45,169.86,169.01,56888,1658419200000
169.51,169.435,169.66,169.01,60312,1658422800000
169.41,169.63,170.14,169.41,62414,1658426400000
169.63,169.65,169.94,169.02,268670,1658430000000
169.38,169.78,169.96,168.75,84016,1658498400000
169.68,169.14,170.01,168.36,64690,1658502000000
169.1,168.69,169.215,168.58,34725,1658505600000
168.51,167.85,168.81,167.65,38799,1658509200000
167.71,167.44,167.71,167.09,28167,1658512800000
167.36,168.26,168.27,167.3,110377,1658516400000
169.535,169.75,170.155,169.475,70102,1658757600000
169.65,169.785,170.15,169.38,57025,1658761200000
