o,c,h,l,v,t
15.93,16.04,16.06,15.82,53810,1657720800000
16.04,15.95,16.09,15.9,37478,1657724400000
15.96,15.91,16,15.9,39045,1657728000000
15.9,15.925,15.97,15.855,31045,1657731600000
15.925,15.885,15.93,15.83,66488,1657735200000
15.885,15.88,15.96,15.88,205950,1657738800000
15.74,15.63,15.78,15.63,106173,1657807200000
15.64,15.73,15.75,15.48,149756,1657810800000
15.73,15.56,15.75,15.5,64789,1657814400000
15.56,15.565,15.58,15.52,48691,1657818000000
15.56,15.705,15.705,15.545,49887,1657821600000
15.71,15.61,15.78,15.555,231585,1657825200000
15.75,15.85,15.9,15.7,43216,1657893600000
15.85,15.98,16,15.83,118553,1657897200000
15.98,15.945,16.06,15.945,53608,1657900800000
15.95,15.93,16,15.9296,33233,1657904400000
15.93,15.935,15.965,15.885,64587,1657908000000
15.93,15.98,16.01,15.885,206231,1657911600000
16.2031,16.31,16.32,16.13,28416,1658152800000
16.3,16.33,16.415,16.29,32150,1658156400000
16.32,16.28,16.34,16.27,81413,1658160000000
16.28,16.29,16.335,16.26,74485,1658163600000
16.29,16.285,16.36,16.26,91799,1658167200000
16.28,16.345,16.4,16.2,345331,1658170800000
16.55,16.53,16.595,16.49,51604,1658239200000
16.54,16.61,16.61,16.495,32377,1658242800000
16.605,16.64,16.67,16.555,36732,1658246400000
16.63,16.805,16.805,16.625,73415,1658250000000
16.805,16.795,16.815,16.78,66579,1658253600000
16.8,16.715,16.845,16.69,185983,1658257200000
16.62,16.9,16.92,16.565,109707,1658325600000
16.89,16.88,16.93,16.79,57920,1658329200000
16.88,16.795,16.89,16.75,51422,1658332800000
16.78,16.67,16.8,16.67,49831,1658336400000
16.675,16.78,16.785,16.66,121552,1658340000000
16.78,16.78,16.84,16.76,203275,1658343600000
16.47,16.43,16.475,16.29,48256,1658412000000
16.43,16.46,16.51,16.4,45647,1658415600000
16.46,16.45,16.5,16.43,28898,1658419200000
16.46,16.47,16.52,16.445,39520,1658422800000
16.48,16.52,16.61,16.48,89655,1658426400000
16.525,16.79,16.79,16.52,175824,1658430000000
16.74,16.815,16.83,16.7,56652,1658498400000
16.82,16.765,16.83,16.685,55061,1658502000000
16.765,16.72,16.78,16.7,39914,1658505600000
16.71,16.565,16.71,16.54,68836,1658509200000
16.57,16.53,16.575,16.485,77100,1658512800000
16.525,16.61,16.62,16.485,192072,1658516400000
16.61,16.58,16.63,16.505,54910,1658757600000
16.58,16.715,16.74,16.56,77687,1658761200000
16.72,16.62,16.73,16.62,41350,1658764800000
16.62,16.6,16.66,16.6,39168,1658768400000
16.59,16.58,16.665,16.56,54817,1658772000000
16.585,16.66,16.69,16.54,192550,1658775600000
16.57,16.55,16.59,16.48,40815,1658844000000
16.55,16.35,16.56,16.33,38417,1658847600000
16.33,16.46,16.47,16.33,52492,1658851200000
16.46,16.485,16.51,16.415,45582,1658854800000
16.49,16.455,16.51,16.4,56012,1658858400000
16.46,16.4,16.46,16.35,167352,1658862000000
16.46,16.545,16.55,16.45,47271,1658930400000
16.55,16.55,16.59,16.52,43701,1658934000000
16.55,16.5,16.57,16.49,27338,1658937600000
16.5,16.61,16.635,16.47,42465,1658941200000
16.63,16.69,16.75,16.55,85588,1658944800000
16.685,16.76,16.845,16.645,190979,1658948400000
16.88,16.915,16.975,16.76,40470,1659016800000
16.92,16.94,17.01,16.85,32101,1659020400000
16.93,17,17,16.91,27571,1659024000000
17,17.01,17.03,16.95,35535,1659027600000
17,16.94,17,16.9,38604,1659031200000
16.945,17.06,17.07,16.91,184189,1659034800000
17.01,17.02,17.13,17.01,52251,1659103200000
17.02,17.005,17.06,16.96,53615,1659106800000
17.005,17.04,17.07,16.98,51519,1659110400000
17.05,17.07,17.105,17.02,50160,1659114000000
17.065,17.15,17.175,17.05,55335,1659117600000
17.15,17.125,17.21,17.12,147305,1659121200000
16.97,17.11,17.12,16.95,38883,1659362400000
17.11,17.08,17.12,16.995,22912,1659366000000
17.075,17.11,17.195,17.07,45620,1659369600000
17.1,17.01,17.13,16.995,27338,1659373200000
17.03,17.17,17.19,16.99,34965,1659376800000
17.17,17.1,17.185,17.04,154485,1659380400000
17.04,16.93,17.06,16.9,57220,1659448800000
16.92,16.92,16.97,16.84,29577,1659452400000
16.95,17.01,17.03,16.94,27012,1659456000000
17,16.97,17,16.822,33591,1659459600000
16.95,16.89,16.965,16.89,49462,1659463200000
16.88,16.76,16.91,16.72,183489,1659466800000
16.56,16.48,16.62,16.45,169004,1659535200000
16.48,16.37,16.49,16.33,62136,1659538800000
16.37,16.385,16.44,16.26,416085,1659542400000
16.385,16.62,16.67,16.33,444695,1659546000000
16.61,16.43,16.61,16.4,188603,1659549600000
16.43,16.34,16.46,16.32,406916,1659553200000
16.37,16.13,16.375,16.12,95395,1659621600000
16.14,16.19,16.215,16.14,44884,1659625200000
16.2,16.055,16.205,16.05,77042,1659628800000
16.05,16.045,16.115,16.02,62959,1659632400000
16.04,16.095,16.1,16.02,84550,1659636000000
16.095,16.22,16.24,16.09,220622,1659639600000
16.19,16.07,16.23,16.04,40049,1659708000000
16.07,15.97,16.125,15.96,34789,1659711600000
15.97,16.03,16.03,15.965,23322,1659715200000
16.03,16.08,16.1,16.03,32480,1659718800000
16.07,16.065,16.09,16.05,27910,1659722400000
16.07,16.2,16.22,16.06,100228,1659726000000
16.61,16.72,16.73,16.61,32759,1659967200000
16.725,16.63,16.765,16.58,37114,1659970800000
16.62,16.54,16.62,16.505,25301,1659974400000
16.54,16.59,16.6,16.53,25890,1659978000000
16.58,16.505,16.61,16.5,67860,1659981600000
16.505,16.56,16.65,16.505,215200,1659985200000
16.36,16.305,16.39,16.22,72613,1660053600000
16.31,16.3265,16.39,16.27,33217,1660057200000
16.325,16.35,16.36,16.29,21340,1660060800000
16.36,16.37,16.39,16.33,18685,1660064400000
16.37,16.33,16.38,16.29,24247,1660068000000
16.335,16.48,16.48,16.3,138398,1660071600000
16.8,16.76,16.825,16.715,61306,1660140000000
16.78,16.82,16.835,16.73,62230,1660143600000
16.83,16.92,16.93,16.79,39745,1660147200000
16.93,17,17.02,16.93,46037,1660150800000
17.01,17.05,17.07,17,31371,1660154400000
17.05,17.08,17.15,17.05,202957,1660158000000
17.32,17.44,17.565,17.3,223468,1660226400000
17.45,17.35,17.46,17.34,42076,1660230000000
17.355,17.32,17.45,17.25,183837,1660233600000
17.34,17.3,17.34,17.26,30757,1660237200000
17.3,17.29,17.32,17.25,24758,1660240800000
17.27,17.34,17.35,17.21,179215,1660244400000
17.51,17.575,17.575,17.44,48721,1660312800000
17.575,17.71,17.73,17.57,52845,1660316400000
17.695,17.72,17.77,17.695,40903,1660320000000
17.715,17.7,17.77,17.695,52863,1660323600000
17.7,17.76,17.76,17.7,73887,1660327200000
17.755,17.81,17.815,17.74,189137,1660330800000
17.74,17.815,17.85,17.73,47180,1660572000000
17.8,17.75,17.815,17.75,47940,1660575600000
17.755,17.74,17.79,17.72,15297,1660579200000
17.735,17.66,17.76,17.64,34011,1660582800000
17.64,17.72,17.73,17.64,27823,1660586400000
17.71,17.81,17.81,17.7,111095,1660590000000
17.83,17.87,17.875,17.77,47346,1660658400000
17.88,17.94,17.95,17.85,18154,1660662000000
17.94,17.96,18.02,17.94,20687,1660665600000
17.95,18.05,18.065,17.95,27257,1660669200000
18.04,18.02,18.095,17.97,153204,1660672800000
18,18.1,18.11,18,203280,1660676400000
17.72,17.62,17.78,17.62,34812,1660744800000
17.62,17.59,17.645,17.56,61616,1660748400000
17.58,17.69,17.73,17.58,32204,1660752000000
17.695,17.71,17.74,17.68,24121,1660755600000
17.71,17.67,17.82,17.66,41542,1660759200000
17.65,17.61,17.695,17.56,108689,1660762800000
17.65,17.74,17.77,17.65,26360,1660831200000
17.73,17.725,17.77,17.7,31203,1660834800000
17.725,17.56,17.74,17.56,49814,1660838400000
17.57,17.57,17.63,17.55,32407,1660842000000
17.56,17.64,17.66,17.555,33460,1660845600000
17.63,17.68,17.71,17.605,116358,1660849200000
17.32,17.24,17.37,17.205,35122,1660917600000
17.24,17.24,17.245,17.145,32680,1660921200000
17.24,17.16,17.24,17.16,27533,1660924800000
17.15,17.08,17.16,17.045,37362,1660928400000
17.08,17.125,17.18,17.035,67145,1660932000000
17.12,17.185,17.19,17.08,112050,1660935600000
16.9,16.75,16.9,16.715,46208,1661176800000
16.75,16.81,16.825,16.75,55440,1661180400000
16.81,16.74,16.81,16.72,30760,1661184000000
16.725,16.66,16.725,16.63,69582,1661187600000
16.65,16.755,16.77,16.65,53670,1661191200000
16.76,16.69,16.81,16.64,200503,1661194800000
16.76,16.795,16.83,16.74,54256,1661263200000
16.795,16.625,16.795,16.605,38654,1661266800000
16.62,16.61,16.65,16.57,32905,1661270400000
16.62,16.53,16.635,16.52,36855,1661274000000
16.52,16.59,16.59,16.51,38683,1661277600000
16.595,16.62,16.7,16.59,78211,1661281200000
16.59,16.695,16.75,16.59,19939,1661349600000
16.7,16.725,16.8,16.7,18144,1661353200000
16.73,16.66,16.73,16.66,9653,1661356800000
16.66,16.65,16.715,16.64,16174,1661360400000
16.65,16.65,16.665,16.59,23551,1661364000000
16.66,16.61,16.695,16.61,77919,1661367600000
16.78,16.91,16.99,16.78,74662,1661436000000
16.865,16.83,16.895,16.78,21573,1661439600000
16.835,16.845,16.85,16.765,11837,1661443200000
16.8455,16.865,16.87,16.825,21635,1661446800000
16.87,16.845,16.885,16.835,28770,1661450400000
16.845,16.95,16.97,16.845,107798,1661454000000
16.88,16.56,16.88,16.525,43677,1661522400000
16.56,16.51,16.56,16.46,31910,1661526000000
16.5,16.455,16.5152,16.45,23631,1661529600000
16.45,16.51,16.525,16.441,26193,1661533200000
16.515,16.6,16.67,16.515,87502,1661536800000
16.6,16.6,16.635,16.59,125795,1661540400000
16.37,16.39,16.51,16.33,34335,1661781600000
16.39,16.485,16.49,16.39,31728,1661785200000
16.49,16.46,16.505,16.39,36508,1661788800000
16.46,16.505,16.52,16.415,45681,1661792400000
16.5,16.43,16.5,16.385,50760,1661796000000
16.435,16.27,16.44,16.23,197144,1661799600000
16.34,16.3,16.35,16.22,23479,1661868000000
16.3,16.42,16.435,16.3,32127,1661871600000
16.405,16.33,16.45,16.33,23722,1661875200000
16.33,16.25,16.33,16.19,21985,1661878800000
16.25,16.22,16.27,16.2,33605,1661882400000
16.22,16.22,16.29,16.185,177965,1661886000000
16.24,16.24,16.375,16.23,43805,1661954400000
16.23,16.25,16.28,16.135,40864,1661958000000
16.25,16.17,16.25,16.16,25724,1661961600000
