o,c,h,l,v,t
32.7,32.63,32.895,32.4235,175253,1657720800000
32.65,32.66,32.94,32.47,103113,1657724400000
32.68,32.79,32.85,32.6,82060,1657728000000
32.75,32.766,32.87,32.66,135639,1657731600000
32.73,32.75,32.77,32.515,57791,1657735200000
32.75,32.645,32.86,32.64,295598,1657738800000
32.235,31.92,32.24,31.8988,52955,1657807200000
31.98,32.13,32.22,31.98,154586,1657810800000
32.16,31.92,32.19,31.82,30431,1657814400000
31.94,32.035,32.11,31.83,33973,1657818000000
32.01,32.01,32.2,31.91,330275,1657821600000
32,32.43,32.45,31.87,240419,1657825200000
32.47,33.24,33.34,32.47,47788,1657893600000
33.19,33.34,33.37,33.12,29700,1657897200000
33.325,33.5,33.64,33.31,34163,1657900800000
33.51,33.565,33.635,33.4925,20587,1657904400000
33.58,33.61,33.7,33.45,34169,1657908000000
33.57,33.68,33.69,33.46,107172,1657911600000
34.62,34.58,34.68,34.23,41587,1658152800000
34.61,34.87,34.87,34.51,25684,1658156400000
34.89,34.37,34.92,34.37,17301,1658160000000
34.355,34.14,34.56,34.14,45480,1658163600000
34.12,34.03,34.205,34.015,29857,1658167200000
34.04,34.03,34.15,33.98,130373,1658170800000
34.85,35.09,35.33,34.71,36594,1658239200000
35.09,34.955,35.16,34.89,78235,1658242800000
34.955,34.985,35.01,34.74,66745,1658246400000
34.96,34.97,35,34.76,35100,1658250000000
34.97,34.95,35.14,34.91,57540,1658253600000
34.92,35.08,35.09,34.88,198416,1658257200000
34.82,35.51,35.62,34.7601,39365,1658325600000
35.49,35.38,35.56,35.25,23337,1658329200000
35.38,35.435,35.53,35.335,35703,1658332800000
35.41,35.37,35.56,35.32,43193,1658336400000
35.4,35.63,35.66,35.38,39379,1658340000000
35.625,35.66,35.73,35.54,88909,1658343600000
35.45,35.48,35.48,35.16,36849,1658412000000
35.44,35.23,35.5,35.2,40126,1658415600000
35.215,35.29,35.395,35.175,57966,1658419200000
35.28,35.17,35.32,35.08,56561,1658422800000
35.19,35.19,35.29,35.15,52463,1658426400000
35.19,35.61,35.63,35.13,165631,1658430000000
35.59,35.8351,35.89,35.5,21384,1658498400000
35.88,35.555,35.88,35.52,16386,1658502000000
35.53,35.365,35.55,35.36,17587,1658505600000
35.35,35.11,35.36,35.01,20156,1658509200000
