o,c,h,l,v,t
57.96,57.965,58.12,57.87,13680,1657720800000
58.04,58.475,58.475,58.04,7159,1657724400000
58.47,58.4,58.56,58.4,7344,1657728000000
58.38,58.415,58.54,58.28,11709,1657731600000
58.38,58.65,58.65,58.225,17425,1657735200000
58.63,58.35,58.65,58.17,52462,1657738800000
57.63,57.545,57.705,57.5083,10029,1657807200000
57.56,57.85,57.96,57.51,14410,1657810800000
57.835,57.75,57.84,57.69,13673,1657814400000
57.71,57.66,57.755,57.51,12708,1657818000000
57.69,57.95,58.12,57.675,17229,1657821600000
57.98,58.07,58.14,57.73,49754,1657825200000
57.84,58.48,58.48,57.67,19193,1657893600000
58.49,58.6,58.71,58.4,13511,1657897200000
58.61,58.59,58.81,58.57,11925,1657900800000
58.63,58.68,58.845,58.63,14674,1657904400000
58.56,58.8,58.8,58.56,14500,1657908000000
58.79,58.84,59.03,58.76,113578,1657911600000
58.34,58.51,58.7,58.1,12051,1658152800000
58.435,58.5,58.67,58.36,9936,1658156400000
58.445,58.21,58.57,58.18,14826,1658160000000
58.19,58.19,58.31,58.07,15197,1658163600000
58.195,58.2,58.29,57.94,28593,1658167200000
58.18,58.07,58.55,57.931,59216,1658170800000
58.72,58.94,59.18,58.695,22499,1658239200000
58.99,58.67,59.12,58.67,13155,1658242800000
58.685,58.72,58.79,58.46,12325,1658246400000
58.77,58.59,58.78,58.52,12176,1658250000000
58.725,58.6283,58.91,58.6283,18029,1658253600000
58.6,58.58,58.86,58.55,71978,1658257200000
57.97,58.26,58.33,57.675,19222,1658325600000
58.285,58.22,58.3988,57.975,8535,1658329200000
58.25,58.03,58.44,57.9814,28604,1658332800000
58,57.94,58.14,57.905,28813,1658336400000
57.965,58.06,58.14,57.94,15695,1658340000000
58.06,58,58.17,57.97,63032,1658343600000
57.75,57.72,57.79,57.52,29277,1658412000000
57.7799,57.955,58.06,57.74,12024,1658415600000
57.95,57.91,58.11,57.88,10627,1658419200000
57.905,57.885,57.95,57.79,21393,1658422800000
57.895,57.905,58.01,57.865,21219,1658426400000
57.905,58.14,58.28,57.89,104663,1658430000000
58.13,58.2961,58.345,58.12,13761,1658498400000
58.34,58.26,58.55,58.18,10031,1658502000000
58.3,58.135,58.305,58.03,26433,1658505600000
58.14,58.02,58.18,57.83,23519,1658509200000
58.063,58.07,58.1,57.96,25920,1658512800000
58.05,58.41,58.42,58.015,68412,1658516400000
58.605,58.79,58.8075,58.605,20378,1658757600000
58.785,58.92,58.9693,58.785,7810,1658761200000
58.96,58.6,58.96,58.58,14537,1658764800000
58.58,58.42,58.7,58.39,11207,1658768400000
58.415,58.37,58.46,58.305,14670,1658772000000
58.37,58.92,59.005,58.34,133247,1658775600000
59.51,59.515,59.69,59.34,16827,1658844000000
59.49,59.35,59.65,59.35,21883,1658847600000
59.35,59.505,59.745,59.35,48028,1658851200000
59.49,59.31,59.54,59.3,28364,1658854800000
59.35,59.395,59.41,59.23,23036,1658858400000
59.41,59.58,59.69,59.305,103129,1658862000000
58.9,59.02,59.18,58.9,19099,1658930400000
59.06,59.215,59.25,59.02,11185,1658934000000
59.2,59.21,59.28,59.09,15840,1658937600000
59.21,59.19,59.29,59.06,17043,1658941200000
59.23,59.37,59.48,59.12,25660,1658944800000
59.36,59.55,59.74,59.3,75851,1658948400000
60.16,60.665,60.71,59.7933,15070,1659016800000
60.58,60.685,60.78,60.56,15626,1659020400000
60.61,61.03,61.03,60.57,24881,1659024000000
61,61.24,61.24,60.905,21943,1659027600000
61.22,61.38,61.49,61.17,13690,1659031200000
61.36,61.44,61.5,61.12,99862,1659034800000
61.57,61.66,61.94,61.56,18265,1659103200000
61.71,61.98,62.1,61.71,8785,1659106800000
61.95,62.07,62.16,61.71,40681,1659110400000
62.095,62.1,62.2,61.99,11937,1659114000000
62.13,62.11,62.13,62,10992,1659117600000
62.09,62.06,62.22,61.99,58505,1659121200000
61.2591,61.25,61.39,60.76,40547,1659362400000
61.285,61.47,61.75,60.94,43490,1659366000000
61.46,61.78,61.95,61.38,37645,1659369600000
61.82,61.87,62.045,61.76,17599,1659373200000
61.87,62,62.04,61.8,30098,1659376800000
62.02,61.99,62.05,61.82,86510,1659380400000
62.23,62.26,62.52,62.18,24256,1659448800000
62.26,62.45,62.6,62.26,23889,1659452400000
62.44,62.6215,62.6215,62.37,14082,1659456000000
62.57,62.19,62.65,62.17,17888,1659459600000
62.16,62.45,62.52,62.15,28191,1659463200000
62.42,62.17,62.42,62.045,76046,1659466800000
61.42,62.155,62.5,61.2,51609,1659535200000
62.21,62.14,62.39,61.56,33614,1659538800000
62.21,62.67,62.67,62.2,40359,1659542400000
62.7,62.83,62.93,62.685,33924,1659546000000
62.83,62.76,62.91,62.63,33422,1659549600000
62.77,63.09,63.15,62.72,116800,1659553200000
63.03,63.26,63.55,62.86,35551,1659621600000
63.25,63.22,63.54,63.19,24696,1659625200000
63.25,62.93,63.25,62.93,31039,1659628800000
62.9,62.54,62.97,62.41,31302,1659632400000
62.53,62.64,62.67,62.52,39404,1659636000000
62.64,62.35,62.69,62.1625,130281,1659639600000
61.68,60.855,61.87,60.78,52330,1659708000000
60.87,60.995,61.255,60.85,26692,1659711600000
61.03,61.115,61.17,60.93,19962,1659715200000
61.135,61.31,61.52,61.08,25893,1659718800000
61.28,61.15,61.285,61.08,23426,1659722400000
61.15,61.18,61.41,61.13,84622,1659726000000
61.683,61.49,61.76,61.49,20181,1659967200000
61.45,61.22,61.47,61.1,11696,1659970800000
61.24,61.025,61.25,60.94,18561,1659974400000
61.02,61.16,61.28,60.99,20344,1659978000000
61.161,61.15,61.19,61.02,20634,1659981600000
61.18,61.32,61.45,61.15,61850,1659985200000
61.79,61.58,61.97,61.58,16997,1660053600000
61.61,62.01,62.06,61.61,13413,1660057200000
62.07,62.03,62.09,61.89,20226,1660060800000
62.05,61.98,62.07,61.93,15719,1660064400000
61.97,62.02,62.05,61.88,22983,1660068000000
62.01,62.19,62.19,61.86,63830,1660071600000
62.74,62.455,62.86,62.41,19958,1660140000000
62.38,62.09,62.504,62.09,13699,1660143600000
62.06,62.25,62.29,62.02,15497,1660147200000
62.26,62.36,62.49,62.22,22005,1660150800000
62.28,62.245,62.485,62.22,37424,1660154400000
62.245,62.55,62.63,62.245,60249,1660158000000
63.03,63.14,63.41,63.03,17306,1660226400000
63.15,63.13,63.21,62.805,30170,1660230000000
63.03,63.0658,63.22,63,23727,1660233600000
63.031,62.78,63.07,62.696,23051,1660237200000
62.81,62.52,62.825,62.49,16444,1660240800000
62.5,62.19,62.52,62.13,57245,1660244400000
62.445,62.415,62.65,62.36,14110,1660312800000
62.5,62.86,62.94,62.5,24930,1660316400000
62.875,62.83,62.98,62.61,19267,1660320000000
62.82,62.84,62.97,62.72,30191,1660323600000
62.78,62.96,62.98,62.78,19717,1660327200000
62.98,63.3,63.34,62.96,66928,1660330800000
63.05,62.65,63.07,62.61,15589,1660572000000
62.61,62.79,62.79,62.335,24142,1660575600000
62.79,63.25,63.33,62.76,25125,1660579200000
