o,c,h,l,v,t
17.4,17.34,17.4,17.18,13921,1657720800000
17.33,17.27,17.37,17.23,10586,1657724400000
17.28,17.36,17.36,17.28,13118,1657728000000
17.35,17.35,17.4,17.28,19673,1657731600000
17.35,17.31,17.38,17.24,29341,1657735200000
17.32,17.36,17.4,17.31,43690,1657738800000
17.15,17.097,17.15,17.07,6040,1657807200000
17.1,17.1317,17.15,17.07,6155,1657810800000
17.12,17.15,17.15,17.0688,10554,1657814400000
17.13,17.14,17.1719,17.11,4889,1657818000000
17.17,17.11,17.23,17.11,14275,1657821600000
17.13,17.17,17.22,17.1,60819,1657825200000
17.37,17.43,17.49,17.3,10790,1657893600000
17.435,17.5529,17.57,17.4225,9374,1657897200000
17.56,17.58,17.67,17.56,26243,1657900800000
17.6,17.57,17.62,17.57,13291,1657904400000
17.56,17.5,17.56,17.5,14354,1657908000000
17.472,17.53,17.56,17.4,67170,1657911600000
17.6297,17.69,17.72,17.58,5762,1658152800000
17.68,17.63,17.7,17.63,3882,1658156400000
17.62,17.525,17.6203,17.51,7010,1658160000000
17.535,17.53,17.56,17.47,18416,1658163600000
17.51,17.41,17.51,17.39,21435,1658167200000
17.409,17.37,17.43,17.31,51670,1658170800000
17.74,17.78,17.84,17.71,11603,1658239200000
17.77,17.775,17.83,17.75,9599,1658242800000
17.78,17.84,17.84,17.735,12472,1658246400000
17.84,17.91,17.92,17.7838,22338,1658250000000
17.92,17.8688,17.96,17.86,23166,1658253600000
17.84,17.99,18.02,17.84,90887,1658257200000
17.98,18.22,18.22,17.95,12500,1658325600000
18.21,18.2,18.24,18.09,15846,1658329200000
18.21,18.14,18.23,18.11,7153,1658332800000
18.13,18.085,18.17,18.08,12854,1658336400000
18.09,18.14,18.17,18.08,23424,1658340000000
18.14,18.05,18.17,17.99,86616,1658343600000
17.79,17.67,17.82,17.52,9274,1658412000000
17.72,17.75,17.79,17.66,6470,1658415600000
17.75,17.84,17.84,17.75,3519,1658419200000
17.84,17.71,17.86,17.69,20334,1658422800000
17.72,17.72,17.89,17.71,17588,1658426400000
17.73,18.06,18.06,17.73,48483,1658430000000
18.01,18.07,18.1,17.98,7683,1658498400000
18.09,18.06,18.16,18.035,21723,1658502000000
18.075,18,18.09,18,8574,1658505600000
18.01,17.91,18.0439,17.9,15275,1658509200000
17.9,17.995,18.01,17.88,17273,1658512800000
17.98,18.07,18.09,17.945,41717,1658516400000
18.19,18.25,18.2643,18.172,8314,1658757600000
18.25,18.47,18.47,18.25,14783,1658761200000
18.46,18.41,18.47,18.38,24506,1658764800000
18.4,18.28,18.41,18.28,12357,1658768400000
18.27,18.35,18.425,18.25,19116,1658772000000
18.33,18.38,18.42,18.31,34124,1658775600000
18.52,18.59,18.62,18.51,19526,1658844000000
18.61,18.47,18.625,18.47,7601,1658847600000
18.49,18.56,18.58,18.49,18543,1658851200000
18.56,18.5201,18.585,18.52,15536,1658854800000
18.5473,18.55,18.55,18.46,19478,1658858400000
18.55,18.45,18.56,18.44,47221,1658862000000
18.72,18.76,18.76,18.56,13450,1658930400000
18.77,18.93,18.93,18.75,18523,1658934000000
18.92,18.86,18.96,18.86,7911,1658937600000
18.83,18.84,18.91,18.83,19831,1658941200000
18.85,18.92,18.94,18.81,32812,1658944800000
18.88,19.06,19.16,18.875,59637,1658948400000
19.36,19.28,19.37,19.18,5744,1659016800000
19.29,19.34,19.44,19.29,7377,1659020400000
19.33,19.42,19.42,19.33,5759,1659024000000
19.385,19.39,19.4,19.315,7787,1659027600000
