o,c,h,l,v,t
113.39,112.855,113.39,111.92,9089,1657720800000
112.59,112.57,113.18,112.14,5881,1657724400000
112.49,112.505,112.8,112.32,1122,1657728000000
112.49,112.7,113.23,112.4,3406,1657731600000
112.5,112.74,112.89,112.5,2384,1657735200000
112.9,113.64,113.79,112.9,4339,1657738800000
111.5,111.08,111.94,111,5059,1657807200000
111.75,112.27,112.27,111.62,1306,1657810800000
112.33,112.06,112.33,111.74,2555,1657814400000
111.32,111.44,111.48,110.98,3818,1657818000000
113.25,112.87,113.25,112.84,2056,1657821600000
113.43,113.69,113.88,113.04,4015,1657825200000
114.75,114.74,114.75,114.74,968,1657893600000
114.56,114.99,115.17,113.7,3058,1657897200000
115.05,115.96,116.01,115.05,1088,1657900800000
116.115,115.51,116.15,115.51,990,1657904400000
115.39,115.8,115.91,115.29,3150,1657908000000
116.0062,115.63,116.0062,115.18,3966,1657911600000
116.15,116.15,116.15,116.15,100,1658152800000
116.06,116.19,116.35,115.49,4479,1658156400000
115.61,116.96,116.96,115.61,3391,1658160000000
116.185,116.12,116.33,115.67,5630,1658163600000
116.46,115.65,116.46,115.35,4636,1658167200000
115.91,115.35,115.91,114.65,6432,1658170800000
118.59,119.18,119.18,118.59,545,1658239200000
118.7,119.29,119.5,118.595,4786,1658246400000
119.2,118.63,119.65,118.61,2251,1658250000000
118.92,119.32,119.61,118.91,3918,1658253600000
119.18,118.79,119.46,118.76,5281,1658257200000
119.08,118.74,119.19,118.42,3165,1658325600000
119.665,119.665,119.665,119.665,142,1658329200000
120.23,120.09,120.23,120.05,727,1658332800000
119.73,120.35,120.35,119.73,601,1658336400000
120.44,120.73,120.89,120.44,758,1658340000000
120.88,121.44,121.66,120.88,6543,1658343600000
120.5133,120.19,120.5133,119.735,2967,1658412000000
120.455,120.93,120.93,120.455,926,1658415600000
121.01,121.18,122.245,121.01,1912,1658426400000
121.645,121.75,122.11,121.645,2156,1658430000000
119.65,121.49,121.49,119.65,3377,1658498400000
121.33,120.96,121.33,120.96,752,1658502000000
121.11,121.11,121.11,121.11,573,1658505600000
119.98,119.43,119.98,119.31,1948,1658509200000
119.39,119.95,120.08,119.39,3790,1658512800000
120.14,120.93,120.93,119.78,3139,1658516400000
120.12,122.07,122.38,119.88,3154,1658757600000
121.74,122.15,122.15,121.63,314,1658761200000
122.13,122.44,122.44,122.13,1043,1658764800000
122.61,122.1,122.61,122.1,1335,1658768400000
